ymd,maxTem,minTem,wea,pm,sun,rain
2017-03-01,9,-4,14,1,1,0
2017-03-02,13,-1,14,2,1,0
2017-03-03,14,-4,14,3,1,0
2017-03-04,13,0,1,3,0,0
2017-03-05,12,-3,14,1,1,0
2017-03-06,10,-4,2,1,1,0
2017-03-07,10,-1,14,1,1,0
2017-03-08,14,2,14,1,1,0
2017-03-09,16,1,14,1,1,0
2017-03-10,17,4,3,2,0,0
2017-03-11,21,4,22,2,1,0
2017-03-12,14,1,14,1,1,0
2017-03-13,15,1,14,1,1,0
2017-03-14,16,2,15,1,1,0
2017-03-15,17,2,2,2,1,0
2017-03-16,17,6,1,4,0,0
2017-03-17,18,5,19,4,0,0
2017-03-18,21,4,14,4,1,0
2017-03-19,19,6,3,5,0,0
2017-03-20,12,6,12,4,0,1
2017-03-21,15,4,1,3,0,0
2017-03-22,15,6,20,4,0,1
2017-03-23,7,2,10,4,0,1
2017-03-24,7,0,29,2,0,1
2017-03-25,14,4,1,2,0,0
2017-03-26,16,3,2,1,1,0
2017-03-27,15,5,15,1,1,0
2017-03-28,16,3,2,2,1,0
2017-03-29,20,7,15,4,1,0
2017-03-30,15,4,1,3,0,0
2017-03-31,17,5,14,1,1,0
2017-04-01,22,5,1,2,0,0
2017-04-02,24,8,19,2,0,0
2017-04-03,26,10,3,4,0,0
2017-04-04,20,11,21,4,0,1
2017-04-05,19,9,19,2,0,0
2017-04-06,25,9,3,3,0,0
2017-04-07,20,13,18,3,0,0
2017-04-08,19,7,22,3,1,0
2017-04-09,20,8,1,2,0,0
2017-04-10,20,11,1,2,0,0
2017-04-11,22,7,14,2,1,0
2017-04-12,26,8,15,2,1,0
2017-04-13,21,7,18,2,0,0
2017-04-14,27,10,1,2,0,0
2017-04-15,30,13,15,2,1,0
2017-04-16,27,13,18,3,0,0
2017-04-17,28,11,1,4,0,0
2017-04-18,24,10,16,2,1,0
2017-04-19,20,10,19,2,0,0
2017-04-20,23,10,1,2,0,0
2017-04-21,22,8,2,1,1,0
2017-04-22,27,12,1,2,0,0
2017-04-23,25,10,1,2,0,0
2017-04-24,24,11,1,2,0,0
2017-04-25,20,6,2,1,1,0
2017-04-26,25,10,14,1,1,0
2017-04-27,28,13,14,1,1,0
2017-04-28,31,13,14,2,1,0
2017-04-29,34,17,1,2,0,0
2017-04-30,29,12,15,3,1,0
2017-05-01,27,13,1,2,0,0
2017-05-02,29,16,1,2,0,0
2017-05-03,28,15,18,3,0,0
2017-05-04,28,13,2,6,1,0
2017-05-05,21,10,13,5,1,0
2017-05-06,29,10,14,2,1,0
2017-05-07,30,14,15,2,1,0
2017-05-08,31,15,1,2,0,0
2017-05-09,29,14,17,2,1,1
2017-05-10,30,13,14,2,1,0
2017-05-11,31,12,15,2,1,0
2017-05-12,30,13,15,3,1,0
2017-05-13,29,15,1,2,0,0
2017-05-14,28,13,1,1,0,0
2017-05-15,28,14,1,1,0,0
2017-05-16,32,16,2,2,1,0
2017-05-17,34,18,14,3,1,0
2017-05-18,36,20,14,3,1,0
2017-05-19,36,21,14,3,1,0
2017-05-20,34,19,15,2,1,0
2017-05-21,32,16,23,2,0,1
2017-05-22,18,12,7,2,0,1
2017-05-23,28,13,14,1,1,0
2017-05-24,33,16,2,2,1,0
2017-05-25,31,14,14,2,1,0
2017-05-26,31,16,14,2,1,0
2017-05-27,35,20,14,2,1,0
2017-05-28,37,21,3,3,0,0
2017-05-29,27,17,23,2,0,1
2017-05-30,26,15,27,2,1,1
2017-05-31,34,17,19,2,0,0
2017-06-01,30,16,16,2,1,0
2017-06-02,25,12,25,2,0,1
2017-06-03,28,15,14,2,1,0
2017-06-04,32,18,1,2,0,0
2017-06-05,29,14,21,3,0,1
2017-06-06,20,13,11,2,1,1
2017-06-07,32,18,15,2,1,0
2017-06-08,35,20,2,2,1,0
2017-06-09,37,20,15,2,1,0
2017-06-10,31,16,19,2,0,0
2017-06-11,32,17,19,2,0,0
2017-06-12,27,18,18,2,0,0
2017-06-13,29,16,2,2,1,0
2017-06-14,36,20,14,2,1,0
2017-06-15,38,23,14,2,1,0
2017-06-16,37,23,3,3,0,0
2017-06-17,35,24,25,3,0,1
2017-06-18,35,23,24,3,0,1
2017-06-19,31,20,32,2,0,1
2017-06-20,34,20,3,2,0,0
2017-06-21,33,21,26,2,0,1
2017-06-22,23,19,6,1,0,1
2017-06-23,24,18,30,1,0,1
2017-06-24,25,17,28,1,0,1
2017-06-25,30,19,1,2,0,0
2017-06-26,34,20,2,2,1,0
2017-06-27,35,21,2,3,1,0
2017-06-28,35,22,1,3,0,0
2017-06-29,35,23,31,2,0,1
2017-06-30,35,24,1,3,0,0
2017-09-01,28,18,3,4,0,0
2017-09-02,27,18,12,3,0,1
2017-09-03,29,18,1,2,0,0
2017-09-04,29,19,23,3,0,1
2017-09-05,31,18,19,2,0,0
2017-09-06,31,17,14,2,1,0
2017-09-07,31,18,14,2,1,0
2017-09-08,30,19,1,3,0,0
2017-09-09,31,20,18,3,0,0
2017-09-10,28,18,27,3,1,1
2017-09-11,30,15,14,2,1,0
2017-09-12,30,18,15,2,1,0
2017-09-13,29,19,1,2,0,0
2017-09-14,29,19,18,3,0,0
2017-09-15,29,17,18,2,0,0
2017-09-16,28,17,25,3,0,1
2017-09-17,29,15,14,1,1,0
2017-09-18,30,17,14,2,1,0
2017-09-19,30,14,15,1,1,0
2017-09-20,28,13,14,1,1,0
2017-09-21,30,16,25,2,0,1
2017-09-22,28,14,15,2,1,0
2017-09-23,29,16,3,3,0,0
2017-09-24,29,17,4,3,0,1
2017-09-25,29,17,18,3,0,0
2017-09-26,24,12,12,2,0,1
2017-09-27,24,9,2,2,1,0
2017-09-28,23,10,15,1,1,0
2017-09-29,26,10,14,2,1,0
2017-09-30,28,15,1,3,0,0
2017-10-01,26,12,3,3,0,0
2017-10-02,18,8,12,1,0,1
2017-10-03,20,9,2,1,1,0
2017-10-04,22,9,14,2,1,0
2017-10-05,21,10,1,2,0,0
2017-10-06,22,12,3,2,0,0
2017-10-07,20,12,12,3,0,1
2017-10-08,18,12,21,4,0,1
2017-10-09,15,8,0,1,0,1
2017-10-10,11,5,12,1,0,1
2017-10-11,16,5,15,1,1,0
2017-10-12,13,5,9,1,0,1
2017-10-13,18,8,15,2,1,0
2017-10-14,13,8,8,1,0,1
2017-10-15,16,7,19,2,0,0
2017-10-16,18,6,15,2,1,0
2017-10-17,16,10,21,2,0,1
2017-10-18,15,8,9,2,0,1
2017-10-19,19,8,15,2,1,0
2017-10-20,21,11,15,3,1,0
2017-10-21,18,9,21,3,0,1
2017-10-22,13,7,19,1,0,0
2017-10-23,16,5,2,2,1,0
2017-10-24,19,8,15,2,1,0
2017-10-25,15,9,21,3,0,1
2017-10-26,17,8,19,4,0,0
2017-10-27,18,8,5,5,0,0
2017-10-28,16,4,2,2,1,0
2017-10-29,13,1,14,1,1,0
2017-10-30,15,2,14,1,1,0
2017-10-31,17,3,14,2,1,0
2017-11-01,17,4,16,2,1,0
2017-11-02,17,2,22,2,1,0
2017-11-03,13,-2,14,1,1,0
2017-11-04,15,2,14,2,1,0
2017-11-05,15,3,15,3,1,0
2017-11-06,15,4,1,4,0,0
2017-11-07,18,4,14,3,1,0
2017-11-08,14,3,3,1,0,0
2017-11-09,13,4,19,2,0,0
2017-11-10,12,-1,14,1,1,0
2017-11-11,11,-1,15,1,1,0
2017-11-12,12,-1,2,2,1,0
2017-11-13,13,-1,14,2,1,0
2017-11-14,8,-5,14,1,1,0
2017-11-15,7,-4,14,1,1,0
2017-11-16,8,-2,16,2,1,0
2017-11-17,6,-4,2,2,1,0
2017-11-18,5,-7,14,2,1,0
2017-11-19,7,-5,1,3,0,0
2017-11-20,9,-4,15,3,1,0
2017-11-21,8,-2,2,4,1,0
2017-11-22,8,-6,2,1,1,0
2017-11-23,7,-5,1,1,0,0
2017-11-24,7,-6,1,1,0,0
2017-11-25,7,-4,19,2,0,0
2017-11-26,4,-5,14,1,1,0
2017-11-27,7,-4,1,2,0,0
2017-11-28,7,-6,15,2,1,0
2017-11-29,0,-7,1,1,0,0
2017-11-30,4,-6,14,1,1,0
2017-12-01,5,-5,14,2,1,0
2017-12-02,7,-4,15,4,1,0
