ymd,maxTem,minTem,wea,pm,sun,rain
2017-03-01,9,-4,晴,1,1,0
2017-03-02,13,-1,晴,2,1,0
2017-03-03,14,-4,晴,3,1,0
2017-03-04,13,0,多云,3,0,0
2017-03-05,12,-3,晴,1,1,0
2017-03-06,10,-4,多云~晴,1,1,0
2017-03-07,10,-1,晴,1,1,0
2017-03-08,14,2,晴,1,1,0
2017-03-09,16,1,晴,1,1,0
2017-03-10,17,4,多云~阴,2,0,0
2017-03-11,21,4,阴~晴,2,1,0
2017-03-12,14,1,晴,1,1,0
2017-03-13,15,1,晴,1,1,0
2017-03-14,16,2,晴~多云,1,1,0
2017-03-15,17,2,多云~晴,2,1,0
2017-03-16,17,6,多云,4,0,0
2017-03-17,18,5,阴~多云,4,0,0
2017-03-18,21,4,晴,4,1,0
2017-03-19,19,6,多云~阴,5,0,0
2017-03-20,12,6,小雨~阴,4,0,1
2017-03-21,15,4,多云,3,0,0
2017-03-22,15,6,阴~小到中雨,4,0,1
2017-03-23,7,2,小雨~小到中雨,4,0,1
2017-03-24,7,0,雨夹雪~阴,2,0,1
2017-03-25,14,4,多云,2,0,0
2017-03-26,16,3,多云~晴,1,1,0
2017-03-27,15,5,晴~多云,1,1,0
2017-03-28,16,3,多云~晴,2,1,0
2017-03-29,20,7,晴~多云,4,1,0
2017-03-30,15,4,多云,3,0,0
2017-03-31,17,5,晴,1,1,0
2017-04-01,22,5,多云,2,0,0
2017-04-02,24,8,阴~多云,2,0,0
2017-04-03,26,10,多云~阴,4,0,0
2017-04-04,20,11,阴~小雨,4,0,1
2017-04-05,19,9,阴~多云,2,0,0
2017-04-06,25,9,多云~阴,3,0,0
2017-04-07,20,13,阴,3,0,0
2017-04-08,19,7,阴~晴,3,1,0
2017-04-09,20,8,多云,2,0,0
2017-04-10,20,11,多云,2,0,0
2017-04-11,22,7,晴,2,1,0
2017-04-12,26,8,晴~多云,2,1,0
2017-04-13,21,7,阴,2,0,0
2017-04-14,27,10,多云,2,0,0
2017-04-15,30,13,晴~多云,2,1,0
2017-04-16,27,13,阴,3,0,0
2017-04-17,28,11,多云,4,0,0
2017-04-18,24,10,晴~阴,2,1,0
2017-04-19,20,10,阴~多云,2,0,0
2017-04-20,23,10,多云,2,0,0
2017-04-21,22,8,多云~晴,1,1,0
2017-04-22,27,12,多云,2,0,0
2017-04-23,25,10,多云,2,0,0
2017-04-24,24,11,多云,2,0,0
2017-04-25,20,6,多云~晴,1,1,0
2017-04-26,25,10,晴,1,1,0
2017-04-27,28,13,晴,1,1,0
2017-04-28,31,13,晴,2,1,0
2017-04-29,34,17,多云,2,0,0
2017-04-30,29,12,晴~多云,3,1,0
2017-05-01,27,13,多云,2,0,0
2017-05-02,29,16,多云,2,0,0
2017-05-03,28,15,阴,3,0,0
2017-05-04,28,13,多云~晴,6,1,0
2017-05-05,21,10,扬沙~晴,5,1,0
2017-05-06,29,10,晴,2,1,0
2017-05-07,30,14,晴~多云,2,1,0
2017-05-08,31,15,多云,2,0,0
2017-05-09,29,14,晴~阵雨,2,1,1
2017-05-10,30,13,晴,2,1,0
2017-05-11,31,12,晴~多云,2,1,0
2017-05-12,30,13,晴~多云,3,1,0
2017-05-13,29,15,多云,2,0,0
2017-05-14,28,13,多云,1,0,0
2017-05-15,28,14,多云,1,0,0
2017-05-16,32,16,多云~晴,2,1,0
2017-05-17,34,18,晴,3,1,0
2017-05-18,36,20,晴,3,1,0
2017-05-19,36,21,晴,3,1,0
2017-05-20,34,19,晴~多云,2,1,0
2017-05-21,32,16,阴~阵雨,2,0,1
2017-05-22,18,12,小到中雨~阴,2,0,1
2017-05-23,28,13,晴,1,1,0
2017-05-24,33,16,多云~晴,2,1,0
2017-05-25,31,14,晴,2,1,0
2017-05-26,31,16,晴,2,1,0
2017-05-27,35,20,晴,2,1,0
2017-05-28,37,21,多云~阴,3,0,0
2017-05-29,27,17,阴~阵雨,2,0,1
2017-05-30,26,15,阵雨~晴,2,1,1
2017-05-31,34,17,阴~多云,2,0,0
2017-06-01,30,16,晴~阴,2,1,0
2017-06-02,25,12,阵雨~多云,2,0,1
2017-06-03,28,15,晴,2,1,0
2017-06-04,32,18,多云,2,0,0
2017-06-05,29,14,阴~小雨,3,0,1
2017-06-06,20,13,小雨~晴,2,1,1
2017-06-07,32,18,晴~多云,2,1,0
2017-06-08,35,20,多云~晴,2,1,0
2017-06-09,37,20,晴~多云,2,1,0
2017-06-10,31,16,阴~多云,2,0,0
2017-06-11,32,17,阴~多云,2,0,0
2017-06-12,27,18,阴,2,0,0
2017-06-13,29,16,多云~晴,2,1,0
2017-06-14,36,20,晴,2,1,0
2017-06-15,38,23,晴,2,1,0
2017-06-16,37,23,多云~阴,3,0,0
2017-06-17,35,24,阵雨~多云,3,0,1
2017-06-18,35,23,阴~雷阵雨,3,0,1
2017-06-19,31,20,雷阵雨~阴,2,0,1
2017-06-20,34,20,多云~阴,2,0,0
2017-06-21,33,21,阵雨~小到中雨,2,0,1
2017-06-22,23,19,大雨,1,0,1
2017-06-23,24,18,雷阵雨,1,0,1
2017-06-24,25,17,阵雨~阴,1,0,1
2017-06-25,30,19,多云,2,0,0
2017-06-26,34,20,多云~晴,2,1,0
2017-06-27,35,21,多云~晴,3,1,0
2017-06-28,35,22,多云,3,0,0
2017-06-29,35,23,雷阵雨~多云,2,0,1
2017-06-30,35,24,多云,3,0,0
2017-09-01,28,18,多云~阴,4,0,0
2017-09-02,27,18,小雨~阴,3,0,1
2017-09-03,29,18,多云,2,0,0
2017-09-04,29,19,阴~阵雨,3,0,1
2017-09-05,31,18,阴~多云,2,0,0
2017-09-06,31,17,晴,2,1,0
2017-09-07,31,18,晴,2,1,0
2017-09-08,30,19,多云,3,0,0
2017-09-09,31,20,阴,3,0,0
2017-09-10,28,18,阵雨~晴,3,1,1
2017-09-11,30,15,晴,2,1,0
2017-09-12,30,18,晴~多云,2,1,0
