loc_id,time_stamp,num_of_people
1,2017-12-01 00,750.172453629
2,2017-12-01 00,881.973361627
3,2017-12-01 00,180.230370531
4,2017-12-01 00,201.191617963
5,2017-12-01 00,330.33619151
6,2017-12-01 00,412.567619454
7,2017-12-01 00,211.345415278
8,2017-12-01 00,88.7100344725
9,2017-12-01 00,461.503185783
10,2017-12-01 00,28.526172132
11,2017-12-01 00,408.764656311
12,2017-12-01 00,98.1283724955
13,2017-12-01 00,69.540095857
14,2017-12-01 00,24.0668479526
15,2017-12-01 00,19.8567307284
16,2017-12-01 00,8.41395124778
17,2017-12-01 00,514.623678772
18,2017-12-01 00,678.818997372
19,2017-12-01 00,406.673726215
20,2017-12-01 00,44.6292245441
21,2017-12-01 00,362.504053973
22,2017-12-01 00,6.91251092819
23,2017-12-01 00,489.319068427
24,2017-12-01 00,17.4572661708
25,2017-12-01 00,568.177160153
26,2017-12-01 00,47.1508225127
27,2017-12-01 00,25.2496086727
28,2017-12-01 00,429.387266649
29,2017-12-01 00,32.8862613623
30,2017-12-01 00,569.311687864
31,2017-12-01 00,233.538123789
32,2017-12-01 00,68.728959844
33,2017-12-01 00,19.3616817279
1,2017-12-01 01,437.049527622
2,2017-12-01 01,908.77088116
3,2017-12-01 01,34.9279171105
4,2017-12-01 01,138.500645545
5,2017-12-01 01,172.713846322
6,2017-12-01 01,200.469398156
7,2017-12-01 01,119.977017936
8,2017-12-01 01,26.2932793581
9,2017-12-01 01,342.155071709
10,2017-12-01 01,8.75234826778
11,2017-12-01 01,231.465348527
12,2017-12-01 01,35.3876596795
13,2017-12-01 01,25.785171482
14,2017-12-01 01,21.1894762654
15,2017-12-01 01,14.0946373868
16,2017-12-01 01,5.40896865929
17,2017-12-01 01,186.618101157
18,2017-12-01 01,389.888374486
19,2017-12-01 01,272.756954386
20,2017-12-01 01,26.0036527008
21,2017-12-01 01,395.985778318
22,2017-12-01 01,5.43125858644
23,2017-12-01 01,333.235324306
24,2017-12-01 01,4.84621546204
25,2017-12-01 01,463.169639062
26,2017-12-01 01,25.6323263324
27,2017-12-01 01,26.2493274144
28,2017-12-01 01,212.445423155
29,2017-12-01 01,9.67242981245
30,2017-12-01 01,525.819935449
31,2017-12-01 01,92.3671120735
32,2017-12-01 01,8.80698347212
33,2017-12-01 01,21.9675055809
1,2017-12-01 02,229.09304412
2,2017-12-01 02,931.793499544
3,2017-12-01 02,18.734064632
4,2017-12-01 02,101.204851961
5,2017-12-01 02,142.19547736
6,2017-12-01 02,190.954484004
7,2017-12-01 02,72.4425492084
8,2017-12-01 02,17.423257406
9,2017-12-01 02,263.787107639
10,2017-12-01 02,5.83489884519
11,2017-12-01 02,241.542751457
12,2017-12-01 02,19.4010311976
13,2017-12-01 02,18.5124308076
14,2017-12-01 02,20.4945440469
15,2017-12-01 02,11.7124674403
16,2017-12-01 02,5.10847040044
17,2017-12-01 02,106.697585125
18,2017-12-01 02,179.882430539
19,2017-12-01 02,223.693011576
20,2017-12-01 02,32.1801072789
21,2017-12-01 02,292.160238881
22,2017-12-01 02,3.62083905763
23,2017-12-01 02,331.612951744
24,2017-12-01 02,3.33177313015
25,2017-12-01 02,372.363746173
26,2017-12-01 02,11.7085935099
27,2017-12-01 02,17.7346600105
28,2017-12-01 02,114.38505548
29,2017-12-01 02,5.80345788747
30,2017-12-01 02,399.558085523
31,2017-12-01 02,73.0420779872
32,2017-12-01 02,5.66564714601
33,2017-12-01 02,15.3019742688
1,2017-12-01 03,339.804303165
2,2017-12-01 03,758.704771776
3,2017-12-01 03,15.5587994401
4,2017-12-01 03,53.5352892382
5,2017-12-01 03,185.373938941
6,2017-12-01 03,149.367747153
7,2017-12-01 03,69.4654581451
8,2017-12-01 03,23.2838076244
9,2017-12-01 03,145.59055098
