loc_id,time_stamp,num_of_people
1,2017-12-01 00,741.3013469024773
2,2017-12-01 00,988.9874415616464
3,2017-12-01 00,149.611329124147
4,2017-12-01 00,264.3572166119047
5,2017-12-01 00,411.2412317044495
6,2017-12-01 00,405.51584321984495
7,2017-12-01 00,212.78132186823078
8,2017-12-01 00,69.65270322254725
9,2017-12-01 00,498.75442928593105
10,2017-12-01 00,44.953660512313256
11,2017-12-01 00,432.5887425208309
12,2017-12-01 00,77.88073489374156
13,2017-12-01 00,71.75910585736058
14,2017-12-01 00,27.404276052348635
15,2017-12-01 00,20.044000670116603
16,2017-12-01 00,15.322460066790525
17,2017-12-01 00,523.9738402721674
18,2017-12-01 00,657.2017918474185
19,2017-12-01 00,497.8155429425488
20,2017-12-01 00,45.963799128920535
21,2017-12-01 00,527.0446296549895
22,2017-12-01 00,9.573649114541261
23,2017-12-01 00,494.42549636530623
24,2017-12-01 00,17.836175842690015
25,2017-12-01 00,650.1241103338824
26,2017-12-01 00,57.793959632310994
27,2017-12-01 00,21.081218656927472
28,2017-12-01 00,366.00187283181776
29,2017-12-01 00,47.57965001838336
30,2017-12-01 00,503.44655988900325
31,2017-12-01 00,406.8148949197174
32,2017-12-01 00,22.958197405096364
33,2017-12-01 00,22.20164766001658
1,2017-12-01 01,504.8402375439451
2,2017-12-01 01,984.1811729557293
3,2017-12-01 01,104.30576479540547
4,2017-12-01 01,138.8243286150383
5,2017-12-01 01,241.56582503908717
6,2017-12-01 01,223.82893621037076
7,2017-12-01 01,113.27112897781996
8,2017-12-01 01,32.58249698454548
9,2017-12-01 01,318.2317221534852
10,2017-12-01 01,20.470670750802153
11,2017-12-01 01,308.37361638367537
12,2017-12-01 01,34.13591780163066
13,2017-12-01 01,29.4767695838287
14,2017-12-01 01,21.039281052345785
15,2017-12-01 01,11.168803640115097
16,2017-12-01 01,12.08599824836964
17,2017-12-01 01,219.91831197510484
18,2017-12-01 01,403.87565223914487
19,2017-12-01 01,346.3565662397297
20,2017-12-01 01,22.91380708747165
21,2017-12-01 01,432.2555436140819
22,2017-12-01 01,6.815496501468164
23,2017-12-01 01,436.48413531256926
24,2017-12-01 01,8.932517491446017
25,2017-12-01 01,422.2356718066135
26,2017-12-01 01,26.936341150396643
27,2017-12-01 01,20.298597647833088
28,2017-12-01 01,149.52153006654171
29,2017-12-01 01,15.452464338936403
30,2017-12-01 01,393.79944642967445
31,2017-12-01 01,188.98948667397812
32,2017-12-01 01,7.426646649979925
33,2017-12-01 01,19.311102196767372
1,2017-12-01 02,415.5973086232623
2,2017-12-01 02,851.8640933509558
3,2017-12-01 02,52.48315535151621
4,2017-12-01 02,91.51285629772521
5,2017-12-01 02,160.12096169421596
6,2017-12-01 02,241.403671933015
7,2017-12-01 02,75.54752043415648
8,2017-12-01 02,26.12972858027803
9,2017-12-01 02,261.9241830000107
10,2017-12-01 02,15.706542495332448
11,2017-12-01 02,262.82883988364244
12,2017-12-01 02,27.68041484093445
13,2017-12-01 02,24.426813628301446
14,2017-12-01 02,20.79821459460618
15,2017-12-01 02,10.970586527262338
16,2017-12-01 02,8.915299676360185
17,2017-12-01 02,147.03775651556367
18,2017-12-01 02,309.58349517361177
19,2017-12-01 02,217.08649737326184
20,2017-12-01 02,21.888136168049584
21,2017-12-01 02,334.17083373451953
22,2017-12-01 02,6.542740379618068
23,2017-12-01 02,451.0438732533792
24,2017-12-01 02,8.230531101888332
25,2017-12-01 02,403.62783085771395
26,2017-12-01 02,19.13329655228607
27,2017-12-01 02,20.816632659377966
28,2017-12-01 02,71.58748603221235
29,2017-12-01 02,12.936340953356284
30,2017-12-01 02,391.9304955726725
31,2017-12-01 02,118.72969556379235
32,2017-12-01 02,5.439643039879032
33,2017-12-01 02,18.549602729587868
1,2017-12-01 03,428.83634680067433
2,2017-12-01 03,869.2414578676265
3,2017-12-01 03,43.873667125859136
4,2017-12-01 03,68.09950771211678
5,2017-12-01 03,253.72154674429495
6,2017-12-01 03,226.82000754594404
7,2017-12-01 03,78.90362691271166
8,2017-12-01 03,30.51255218944515
9,2017-12-01 03,146.43786963264807
10,2017-12-01 03,15.758311850850664
11,2017-12-01 03,246.14213015672436
12,2017-12-01 03,27.977428420417567
13,2017-12-01 03,28.185002328050775
14,2017-12-01 03,21.969395868437545
15,2017-12-01 03,11.048178750286276
16,2017-12-01 03,9.536214100159736
