loc_id,time_stamp,num_of_people
1,2017-12-01 00,794.578044211315
2,2017-12-01 00,918.5214792144861
3,2017-12-01 00,200.3948124896746
4,2017-12-01 00,209.52880277000935
5,2017-12-01 00,344.02500173430457
6,2017-12-01 00,437.7134122712595
7,2017-12-01 00,222.54404412686478
8,2017-12-01 00,99.96388819260254
9,2017-12-01 00,480.6274285714286
10,2017-12-01 00,29.70826893760185
11,2017-12-01 00,425.70346577443195
12,2017-12-01 00,110.2993773459925
13,2017-12-01 00,72.64265769897075
14,2017-12-01 00,25.06415470494418
15,2017-12-01 00,20.891432204736923
16,2017-12-01 00,8.762617197292556
17,2017-12-01 00,539.9409640190088
18,2017-12-01 00,723.5308638594089
19,2017-12-01 00,423.5258895705522
20,2017-12-01 00,46.65022184606704
21,2017-12-01 00,377.52586910557113
22,2017-12-01 00,7.19895865237366
23,2017-12-01 00,514.6528003003004
24,2017-12-01 00,18.295512436241257
25,2017-12-01 00,591.7218686022705
26,2017-12-01 00,49.10470670067239
27,2017-12-01 00,28.034164284958187
28,2017-12-01 00,474.2402517372492
29,2017-12-01 00,34.24903602148766
30,2017-12-01 00,622.722360086768
31,2017-12-01 00,243.2157163109396
32,2017-12-01 00,87.78329558323898
33,2017-12-01 00,20.164010971884547
1,2017-12-01 01,455.16043461970776
2,2017-12-01 01,946.4294618719716
3,2017-12-01 01,36.37529599647558
4,2017-12-01 01,146.04519376747902
5,2017-12-01 01,179.8709399930628
6,2017-12-01 01,208.77665487723613
7,2017-12-01 01,128.84128870502698
8,2017-12-01 01,27.382847260679902
9,2017-12-01 01,369.03428571428566
10,2017-12-01 01,9.115037060400569
11,2017-12-01 01,241.05704726056044
12,2017-12-01 01,37.760147199528966
13,2017-12-01 01,26.853683888719043
14,2017-12-01 01,22.410303030303027
15,2017-12-01 01,15.848672707041805
16,2017-12-01 01,5.633111055402357
17,2017-12-01 01,194.3513736139398
18,2017-12-01 01,406.7680748602077
19,2017-12-01 01,284.0597370727432
20,2017-12-01 01,28.470355979585033
21,2017-12-01 01,412.3950435167429
22,2017-12-01 01,5.656324655436447
23,2017-12-01 01,347.0442717717717
24,2017-12-01 01,5.047037913445863
25,2017-12-01 01,502.4053601340034
26,2017-12-01 01,26.694504984929285
27,2017-12-01 01,29.683232772308674
28,2017-12-01 01,245.15809623705258
29,2017-12-01 01,10.07324588867284
30,2017-12-01 01,598.8793868402025
31,2017-12-01 01,96.19471528707568
32,2017-12-01 01,9.753699509248772
33,2017-12-01 01,24.066722772894458
1,2017-12-01 02,238.58643686774073
2,2017-12-01 02,1009.9201224177505
3,2017-12-01 02,19.510386034473267
