loc_id,time_stamp,num_of_people
1,2017-11-01 00,552
2,2017-11-01 00,688
3,2017-11-01 00,122
4,2017-11-01 00,268
5,2017-11-01 00,148
6,2017-11-01 00,333
7,2017-11-01 00,173
8,2017-11-01 00,65
9,2017-11-01 00,518
10,2017-11-01 00,50
11,2017-11-01 00,366
12,2017-11-01 00,74
13,2017-11-01 00,42
14,2017-11-01 00,84
15,2017-11-01 00,12
16,2017-11-01 00,9
17,2017-11-01 00,491
18,2017-11-01 00,603
19,2017-11-01 00,338
20,2017-11-01 00,34
21,2017-11-01 00,591
22,2017-11-01 00,0
23,2017-11-01 00,910
24,2017-11-01 00,4
25,2017-11-01 00,744
26,2017-11-01 00,37
27,2017-11-01 00,18
28,2017-11-01 00,297
29,2017-11-01 00,62
30,2017-11-01 00,556
31,2017-11-01 00,145
32,2017-11-01 00,24
33,2017-11-01 00,20
1,2017-11-01 01,366
2,2017-11-01 01,515
3,2017-11-01 01,99
4,2017-11-01 01,143
5,2017-11-01 01,184
6,2017-11-01 01,275
7,2017-11-01 01,81
8,2017-11-01 01,36
9,2017-11-01 01,318
10,2017-11-01 01,12
11,2017-11-01 01,241
12,2017-11-01 01,25
13,2017-11-01 01,33
14,2017-11-01 01,86
15,2017-11-01 01,12
16,2017-11-01 01,6
17,2017-11-01 01,414
18,2017-11-01 01,259
19,2017-11-01 01,145
20,2017-11-01 01,17
21,2017-11-01 01,555
22,2017-11-01 01,2
23,2017-11-01 01,738
24,2017-11-01 01,5
25,2017-11-01 01,484
26,2017-11-01 01,29
27,2017-11-01 01,13
28,2017-11-01 01,91
29,2017-11-01 01,13
30,2017-11-01 01,234
31,2017-11-01 01,89
32,2017-11-01 01,14
33,2017-11-01 01,14
1,2017-11-01 02,286
2,2017-11-01 02,508
3,2017-11-01 02,84
4,2017-11-01 02,69
5,2017-11-01 02,147
6,2017-11-01 02,473
7,2017-11-01 02,78
8,2017-11-01 02,70
9,2017-11-01 02,206
10,2017-11-01 02,4
11,2017-11-01 02,201
12,2017-11-01 02,33
13,2017-11-01 02,21
14,2017-11-01 02,80
15,2017-11-01 02,11
16,2017-11-01 02,7
17,2017-11-01 02,59
18,2017-11-01 02,169
19,2017-11-01 02,81
20,2017-11-01 02,16
21,2017-11-01 02,376
22,2017-11-01 02,0
23,2017-11-01 02,573
24,2017-11-01 02,2
25,2017-11-01 02,253
26,2017-11-01 02,8
27,2017-11-01 02,10
28,2017-11-01 02,38
29,2017-11-01 02,4
30,2017-11-01 02,235
31,2017-11-01 02,60
32,2017-11-01 02,4
33,2017-11-01 02,13
1,2017-11-01 03,320
2,2017-11-01 03,626
3,2017-11-01 03,91
4,2017-11-01 03,68
5,2017-11-01 03,185
6,2017-11-01 03,120
7,2017-11-01 03,78
8,2017-11-01 03,120
9,2017-11-01 03,93
10,2017-11-01 03,4
11,2017-11-01 03,166
12,2017-11-01 03,13
