loc_id,time_stamp,num_of_people
1,2017-12-01 00,711
2,2017-12-01 00,836
3,2017-12-01 00,192
4,2017-12-01 00,202
5,2017-12-01 00,312
6,2017-12-01 00,407
7,2017-12-01 00,204
8,2017-12-01 00,96
9,2017-12-01 00,431
10,2017-12-01 00,27
11,2017-12-01 00,411
12,2017-12-01 00,105
13,2017-12-01 00,66
14,2017-12-01 00,26
15,2017-12-01 00,18
16,2017-12-01 00,8
17,2017-12-01 00,501
18,2017-12-01 00,658
19,2017-12-01 00,393
20,2017-12-01 00,42
21,2017-12-01 00,357
22,2017-12-01 00,6
23,2017-12-01 00,483
24,2017-12-01 00,18
25,2017-12-01 00,538
26,2017-12-01 00,46
27,2017-12-01 00,26
28,2017-12-01 00,450
29,2017-12-01 00,32
30,2017-12-01 00,564
31,2017-12-01 00,225
32,2017-12-01 00,82
33,2017-12-01 00,19
1,2017-12-01 01,407
2,2017-12-01 01,861
3,2017-12-01 01,34
4,2017-12-01 01,141
5,2017-12-01 01,163
6,2017-12-01 01,193
7,2017-12-01 01,118
8,2017-12-01 01,25
9,2017-12-01 01,331
10,2017-12-01 01,8
11,2017-12-01 01,233
12,2017-12-01 01,36
13,2017-12-01 01,24
14,2017-12-01 01,23
15,2017-12-01 01,13
16,2017-12-01 01,5
17,2017-12-01 01,180
18,2017-12-01 01,369
19,2017-12-01 01,264
20,2017-12-01 01,25
21,2017-12-01 01,390
22,2017-12-01 01,4
23,2017-12-01 01,326
24,2017-12-01 01,4
25,2017-12-01 01,457
26,2017-12-01 01,25
27,2017-12-01 01,28
28,2017-12-01 01,232
29,2017-12-01 01,9
30,2017-12-01 01,542
31,2017-12-01 01,89
32,2017-12-01 01,8
33,2017-12-01 01,22
1,2017-12-01 02,213
2,2017-12-01 02,920
3,2017-12-01 02,18
4,2017-12-01 02,105
5,2017-12-01 02,134
6,2017-12-01 02,184
7,2017-12-01 02,69
8,2017-12-01 02,17
9,2017-12-01 02,250
10,2017-12-01 02,5
11,2017-12-01 02,243
12,2017-12-01 02,19
13,2017-12-01 02,17
14,2017-12-01 02,22
15,2017-12-01 02,10
16,2017-12-01 02,4
17,2017-12-01 02,102
18,2017-12-01 02,170
19,2017-12-01 02,221
20,2017-12-01 02,34
21,2017-12-01 02,287
22,2017-12-01 02,2
23,2017-12-01 02,324
24,2017-12-01 02,2
25,2017-12-01 02,352
26,2017-12-01 02,11
27,2017-12-01 02,17
28,2017-12-01 02,127
29,2017-12-01 02,5
30,2017-12-01 02,384
31,2017-12-01 02,70
32,2017-12-01 02,5
33,2017-12-01 02,15
1,2017-12-01 03,316
2,2017-12-01 03,719
3,2017-12-01 03,15
4,2017-12-01 03,53
5,2017-12-01 03,175
6,2017-12-01 03,143
7,2017-12-01 03,66
8,2017-12-01 03,22
9,2017-12-01 03,137
10,2017-12-01 03,3
11,2017-12-01 03,180
12,2017-12-01 03,20
13,2017-12-01 03,13
14,2017-12-01 03,34
15,2017-12-01 03,11
16,2017-12-01 03,7
17,2017-12-01 03,203
18,2017-12-01 03,263
19,2017-12-01 03,134
20,2017-12-01 03,20
21,2017-12-01 03,184
22,2017-12-01 03,4
23,2017-12-01 03,253
24,2017-12-01 03,2
25,2017-12-01 03,180
26,2017-12-01 03,12
27,2017-12-01 03,23
28,2017-12-01 03,148
29,2017-12-01 03,4
30,2017-12-01 03,477
31,2017-12-01 03,37
32,2017-12-01 03,5
33,2017-12-01 03,24
1,2017-12-01 04,263
2,2017-12-01 04,876
3,2017-12-01 04,20
4,2017-12-01 04,85
5,2017-12-01 04,142
6,2017-12-01 04,173
7,2017-12-01 04,58
8,2017-12-01 04,32
9,2017-12-01 04,115
10,2017-12-01 04,14
11,2017-12-01 04,225
12,2017-12-01 04,33
13,2017-12-01 04,20
14,2017-12-01 04,34
15,2017-12-01 04,12
16,2017-12-01 04,6
17,2017-12-01 04,120
18,2017-12-01 04,264
19,2017-12-01 04,202
20,2017-12-01 04,28
21,2017-12-01 04,343
22,2017-12-01 04,3
23,2017-12-01 04,395
24,2017-12-01 04,2
25,2017-12-01 04,332
26,2017-12-01 04,20
27,2017-12-01 04,31
28,2017-12-01 04,100
29,2017-12-01 04,20
30,2017-12-01 04,518
31,2017-12-01 04,43
32,2017-12-01 04,5
33,2017-12-01 04,29
1,2017-12-01 05,290
2,2017-12-01 05,981
3,2017-12-01 05,25
4,2017-12-01 05,69
5,2017-12-01 05,168
6,2017-12-01 05,210
7,2017-12-01 05,70
8,2017-12-01 05,176
9,2017-12-01 05,97
10,2017-12-01 05,38
11,2017-12-01 05,226
12,2017-12-01 05,149
13,2017-12-01 05,21
14,2017-12-01 05,40
15,2017-12-01 05,16
16,2017-12-01 05,9
17,2017-12-01 05,174
18,2017-12-01 05,313
19,2017-12-01 05,239
20,2017-12-01 05,40
21,2017-12-01 05,371
22,2017-12-01 05,4
23,2017-12-01 05,431
24,2017-12-01 05,12
25,2017-12-01 05,283
26,2017-12-01 05,14
27,2017-12-01 05,23
28,2017-12-01 05,163
29,2017-12-01 05,56
30,2017-12-01 05,514
31,2017-12-01 05,61
32,2017-12-01 05,7
33,2017-12-01 05,23
1,2017-12-01 06,283
2,2017-12-01 06,696
3,2017-12-01 06,116
4,2017-12-01 06,191
5,2017-12-01 06,185
6,2017-12-01 06,222
7,2017-12-01 06,93
8,2017-12-01 06,399
9,2017-12-01 06,110
10,2017-12-01 06,134
11,2017-12-01 06,361
12,2017-12-01 06,400
13,2017-12-01 06,55
14,2017-12-01 06,81
15,2017-12-01 06,52
16,2017-12-01 06,45
17,2017-12-01 06,247
18,2017-12-01 06,340
19,2017-12-01 06,296
20,2017-12-01 06,57
21,2017-12-01 06,287
22,2017-12-01 06,9
23,2017-12-01 06,487
24,2017-12-01 06,108
25,2017-12-01 06,240
26,2017-12-01 06,71
27,2017-12-01 06,65
28,2017-12-01 06,198
29,2017-12-01 06,172
30,2017-12-01 06,476
31,2017-12-01 06,153
32,2017-12-01 06,49
33,2017-12-01 06,72
1,2017-12-01 07,509
2,2017-12-01 07,725
3,2017-12-01 07,718
4,2017-12-01 07,244
5,2017-12-01 07,444
6,2017-12-01 07,599
7,2017-12-01 07,238
8,2017-12-01 07,2049
9,2017-12-01 07,209
10,2017-12-01 07,1012
11,2017-12-01 07,702
12,2017-12-01 07,2231
13,2017-12-01 07,260
14,2017-12-01 07,264
15,2017-12-01 07,334
16,2017-12-01 07,328
17,2017-12-01 07,562
18,2017-12-01 07,404
19,2017-12-01 07,713
20,2017-12-01 07,224
21,2017-12-01 07,314
22,2017-12-01 07,243
23,2017-12-01 07,571
24,2017-12-01 07,471
25,2017-12-01 07,383
26,2017-12-01 07,311
27,2017-12-01 07,236
28,2017-12-01 07,403
29,2017-12-01 07,1298
30,2017-12-01 07,601
31,2017-12-01 07,850
32,2017-12-01 07,245
33,2017-12-01 07,238
1,2017-12-01 08,774
2,2017-12-01 08,508
3,2017-12-01 08,1210
4,2017-12-01 08,584
5,2017-12-01 08,642
6,2017-12-01 08,746
7,2017-12-01 08,303
8,2017-12-01 08,3488
9,2017-12-01 08,261
10,2017-12-01 08,1890
11,2017-12-01 08,518
12,2017-12-01 08,3956
13,2017-12-01 08,499
14,2017-12-01 08,470
15,2017-12-01 08,467
16,2017-12-01 08,653
17,2017-12-01 08,862
18,2017-12-01 08,481
19,2017-12-01 08,490
20,2017-12-01 08,1256
21,2017-12-01 08,789
22,2017-12-01 08,240
23,2017-12-01 08,306
24,2017-12-01 08,777
25,2017-12-01 08,957
26,2017-12-01 08,529
27,2017-12-01 08,610
28,2017-12-01 08,756
29,2017-12-01 08,2336
30,2017-12-01 08,736
31,2017-12-01 08,1251
32,2017-12-01 08,490
33,2017-12-01 08,513
1,2017-12-01 09,679
2,2017-12-01 09,521
3,2017-12-01 09,1121
4,2017-12-01 09,533
5,2017-12-01 09,586
6,2017-12-01 09,781
7,2017-12-01 09,337
8,2017-12-01 09,2798
9,2017-12-01 09,297
10,2017-12-01 09,989
11,2017-12-01 09,686
12,2017-12-01 09,3137
13,2017-12-01 09,462
14,2017-12-01 09,649
15,2017-12-01 09,651
16,2017-12-01 09,897
17,2017-12-01 09,799
18,2017-12-01 09,408
19,2017-12-01 09,452
20,2017-12-01 09,1805
21,2017-12-01 09,739
22,2017-12-01 09,541
23,2017-12-01 09,488
24,2017-12-01 09,1097
25,2017-12-01 09,935
26,2017-12-01 09,533
27,2017-12-01 09,1159
28,2017-12-01 09,718
29,2017-12-01 09,1486
30,2017-12-01 09,704
31,2017-12-01 09,1123
32,2017-12-01 09,393
33,2017-12-01 09,926
1,2017-12-01 10,494
2,2017-12-01 10,446
3,2017-12-01 10,898
4,2017-12-01 10,412
5,2017-12-01 10,426
6,2017-12-01 10,609
7,2017-12-01 10,195
8,2017-12-01 10,2131
9,2017-12-01 10,150
10,2017-12-01 10,742
11,2017-12-01 10,496
12,2017-12-01 10,2141
13,2017-12-01 10,292
14,2017-12-01 10,587
15,2017-12-01 10,386
16,2017-12-01 10,936
17,2017-12-01 10,624
18,2017-12-01 10,329
19,2017-12-01 10,412
20,2017-12-01 10,1596
21,2017-12-01 10,588
22,2017-12-01 10,280
23,2017-12-01 10,287
24,2017-12-01 10,1092
25,2017-12-01 10,826
26,2017-12-01 10,365
27,2017-12-01 10,862
28,2017-12-01 10,547
29,2017-12-01 10,1048
30,2017-12-01 10,546
31,2017-12-01 10,840
32,2017-12-01 10,333
33,2017-12-01 10,653
1,2017-12-01 11,765
2,2017-12-01 11,722
3,2017-12-01 11,1516
4,2017-12-01 11,734
5,2017-12-01 11,663
6,2017-12-01 11,1028
7,2017-12-01 11,332
8,2017-12-01 11,6077
9,2017-12-01 11,252
10,2017-12-01 11,3864
11,2017-12-01 11,715
12,2017-12-01 11,6621
13,2017-12-01 11,447
14,2017-12-01 11,611
15,2017-12-01 11,432
16,2017-12-01 11,920
17,2017-12-01 11,1176
18,2017-12-01 11,392
19,2017-12-01 11,628
20,2017-12-01 11,2320
21,2017-12-01 11,1018
22,2017-12-01 11,381
23,2017-12-01 11,394
24,2017-12-01 11,1269
25,2017-12-01 11,1411
26,2017-12-01 11,618
27,2017-12-01 11,802
28,2017-12-01 11,1023
29,2017-12-01 11,4122
30,2017-12-01 11,682
31,2017-12-01 11,1368
32,2017-12-01 11,580
33,2017-12-01 11,714
1,2017-12-01 12,1204
2,2017-12-01 12,962
3,2017-12-01 12,2123
4,2017-12-01 12,1070
5,2017-12-01 12,1065
6,2017-12-01 12,1433
7,2017-12-01 12,633
8,2017-12-01 12,7694
9,2017-12-01 12,516
10,2017-12-01 12,5222
11,2017-12-01 12,1139
12,2017-12-01 12,8390
13,2017-12-01 12,725
14,2017-12-01 12,648
15,2017-12-01 12,555
16,2017-12-01 12,872
17,2017-12-01 12,1755
18,2017-12-01 12,495
19,2017-12-01 12,875
20,2017-12-01 12,1876
21,2017-12-01 12,1363
22,2017-12-01 12,370
23,2017-12-01 12,638
24,2017-12-01 12,1318
25,2017-12-01 12,2042
26,2017-12-01 12,869
27,2017-12-01 12,565
28,2017-12-01 12,1430
29,2017-12-01 12,5358
30,2017-12-01 12,898
31,2017-12-01 12,2158
32,2017-12-01 12,851
33,2017-12-01 12,534
1,2017-12-01 13,782
2,2017-12-01 13,860
3,2017-12-01 13,1423
4,2017-12-01 13,600
5,2017-12-01 13,654
6,2017-12-01 13,969
7,2017-12-01 13,488
8,2017-12-01 13,3225
9,2017-12-01 13,399
10,2017-12-01 13,1533
11,2017-12-01 13,954
12,2017-12-01 13,3315
13,2017-12-01 13,506
14,2017-12-01 13,578
15,2017-12-01 13,532
16,2017-12-01 13,613
17,2017-12-01 13,1143
18,2017-12-01 13,421
19,2017-12-01 13,808
20,2017-12-01 13,1357
21,2017-12-01 13,816
22,2017-12-01 13,375
23,2017-12-01 13,588
24,2017-12-01 13,1098
25,2017-12-01 13,1175
26,2017-12-01 13,567
27,2017-12-01 13,763
28,2017-12-01 13,943
29,2017-12-01 13,1970
30,2017-12-01 13,695
31,2017-12-01 13,1526
32,2017-12-01 13,544
33,2017-12-01 13,648
1,2017-12-01 14,576
2,2017-12-01 14,491
3,2017-12-01 14,1081
4,2017-12-01 14,573
5,2017-12-01 14,485
6,2017-12-01 14,683
7,2017-12-01 14,294
8,2017-12-01 14,2021
9,2017-12-01 14,259
10,2017-12-01 14,888
11,2017-12-01 14,443
12,2017-12-01 14,2013
13,2017-12-01 14,325
14,2017-12-01 14,516
15,2017-12-01 14,397
16,2017-12-01 14,523
17,2017-12-01 14,819
18,2017-12-01 14,381
19,2017-12-01 14,409
20,2017-12-01 14,1910
21,2017-12-01 14,786
22,2017-12-01 14,243
23,2017-12-01 14,235
24,2017-12-01 14,801
25,2017-12-01 14,967
26,2017-12-01 14,385
27,2017-12-01 14,499
28,2017-12-01 14,719
29,2017-12-01 14,1024
30,2017-12-01 14,538
31,2017-12-01 14,974
32,2017-12-01 14,412
33,2017-12-01 14,389
1,2017-12-01 15,706
2,2017-12-01 15,630
3,2017-12-01 15,1219
4,2017-12-01 15,562
5,2017-12-01 15,594
6,2017-12-01 15,799
7,2017-12-01 15,342
8,2017-12-01 15,2435
9,2017-12-01 15,305
10,2017-12-01 15,896
11,2017-12-01 15,764
12,2017-12-01 15,2262
13,2017-12-01 15,393
14,2017-12-01 15,701
15,2017-12-01 15,774
16,2017-12-01 15,699
17,2017-12-01 15,773
18,2017-12-01 15,290
19,2017-12-01 15,560
20,2017-12-01 15,1972
21,2017-12-01 15,708
22,2017-12-01 15,580
23,2017-12-01 15,513
24,2017-12-01 15,1221
25,2017-12-01 15,982
26,2017-12-01 15,458
27,2017-12-01 15,781
28,2017-12-01 15,626
29,2017-12-01 15,1164
30,2017-12-01 15,470
31,2017-12-01 15,1212
32,2017-12-01 15,373
33,2017-12-01 15,605
1,2017-12-01 16,574
2,2017-12-01 16,460
3,2017-12-01 16,888
4,2017-12-01 16,407
5,2017-12-01 16,531
6,2017-12-01 16,530
7,2017-12-01 16,300
8,2017-12-01 16,2094
9,2017-12-01 16,256
10,2017-12-01 16,898
11,2017-12-01 16,419
12,2017-12-01 16,2059
13,2017-12-01 16,310
14,2017-12-01 16,469
15,2017-12-01 16,567
16,2017-12-01 16,532
17,2017-12-01 16,683
18,2017-12-01 16,319
19,2017-12-01 16,375
20,2017-12-01 16,1645
21,2017-12-01 16,585
22,2017-12-01 16,264
23,2017-12-01 16,275
24,2017-12-01 16,721
25,2017-12-01 16,856
26,2017-12-01 16,477
27,2017-12-01 16,553
28,2017-12-01 16,611
29,2017-12-01 16,1040
30,2017-12-01 16,488
31,2017-12-01 16,814
32,2017-12-01 16,335
33,2017-12-01 16,406
1,2017-12-01 17,696
2,2017-12-01 17,887
3,2017-12-01 17,1860
4,2017-12-01 17,682
5,2017-12-01 17,571
6,2017-12-01 17,961
7,2017-12-01 17,397
