loc_id,time_stamp,num_of_people
1,2017-11-01 00,439
2,2017-11-01 00,601
3,2017-11-01 00,118
4,2017-11-01 00,126
5,2017-11-01 00,292
6,2017-11-01 00,286
7,2017-11-01 00,110
8,2017-11-01 00,13
9,2017-11-01 00,317
10,2017-11-01 00,30
11,2017-11-01 00,436
12,2017-11-01 00,15
13,2017-11-01 00,97
14,2017-11-01 00,23
15,2017-11-01 00,20
16,2017-11-01 00,24
17,2017-11-01 00,374
18,2017-11-01 00,590
19,2017-11-01 00,242
20,2017-11-01 00,15
21,2017-11-01 00,478
22,2017-11-01 00,20
23,2017-11-01 00,559
24,2017-11-01 00,20
25,2017-11-01 00,504
26,2017-11-01 00,71
27,2017-11-01 00,20
28,2017-11-01 00,258
29,2017-11-01 00,19
30,2017-11-01 00,634
31,2017-11-01 00,118
32,2017-11-01 00,41
33,2017-11-01 00,6
1,2017-11-01 01,265
2,2017-11-01 01,808
3,2017-11-01 01,141
4,2017-11-01 01,94
5,2017-11-01 01,157
6,2017-11-01 01,203
7,2017-11-01 01,88
8,2017-11-01 01,9
9,2017-11-01 01,210
10,2017-11-01 01,35
11,2017-11-01 01,298
12,2017-11-01 01,62
13,2017-11-01 01,31
14,2017-11-01 01,13
15,2017-11-01 01,22
16,2017-11-01 01,23
17,2017-11-01 01,198
18,2017-11-01 01,374
19,2017-11-01 01,221
20,2017-11-01 01,47
21,2017-11-01 01,502
22,2017-11-01 01,2
23,2017-11-01 01,404
24,2017-11-01 01,20
25,2017-11-01 01,548
26,2017-11-01 01,37
27,2017-11-01 01,15
28,2017-11-01 01,106
29,2017-11-01 01,30
30,2017-11-01 01,319
31,2017-11-01 01,102
32,2017-11-01 01,75
33,2017-11-01 01,14
1,2017-11-01 02,197
2,2017-11-01 02,909
3,2017-11-01 02,167
4,2017-11-01 02,70
5,2017-11-01 02,123
6,2017-11-01 02,146
7,2017-11-01 02,44
8,2017-11-01 02,20
9,2017-11-01 02,170
10,2017-11-01 02,20
11,2017-11-01 02,188
12,2017-11-01 02,51
13,2017-11-01 02,8
14,2017-11-01 02,11
15,2017-11-01 02,2
16,2017-11-01 02,8
17,2017-11-01 02,183
18,2017-11-01 02,255
19,2017-11-01 02,165
20,2017-11-01 02,36
21,2017-11-01 02,313
22,2017-11-01 02,20
23,2017-11-01 02,355
24,2017-11-01 02,5
25,2017-11-01 02,422
26,2017-11-01 02,7
27,2017-11-01 02,15
28,2017-11-01 02,107
29,2017-11-01 02,20
30,2017-11-01 02,338
31,2017-11-01 02,97
32,2017-11-01 02,54
33,2017-11-01 02,3
1,2017-11-01 03,180
2,2017-11-01 03,779
3,2017-11-01 03,51
4,2017-11-01 03,32
5,2017-11-01 03,94
6,2017-11-01 03,129
7,2017-11-01 03,51
8,2017-11-01 03,1
9,2017-11-01 03,73
10,2017-11-01 03,20
11,2017-11-01 03,156
12,2017-11-01 03,92
13,2017-11-01 03,1
14,2017-11-01 03,4
15,2017-11-01 03,20
16,2017-11-01 03,11
17,2017-11-01 03,100
18,2017-11-01 03,242
19,2017-11-01 03,113
20,2017-11-01 03,27
21,2017-11-01 03,317
22,2017-11-01 03,20
23,2017-11-01 03,271
24,2017-11-01 03,3
25,2017-11-01 03,311
26,2017-11-01 03,3
27,2017-11-01 03,20
28,2017-11-01 03,47
29,2017-11-01 03,20
30,2017-11-01 03,331
31,2017-11-01 03,42
32,2017-11-01 03,62
33,2017-11-01 03,4
1,2017-11-01 04,208
2,2017-11-01 04,736
3,2017-11-01 04,117
4,2017-11-01 04,42
5,2017-11-01 04,88
6,2017-11-01 04,137
7,2017-11-01 04,43
8,2017-11-01 04,20
9,2017-11-01 04,54
10,2017-11-01 04,20
11,2017-11-01 04,141
12,2017-11-01 04,91
13,2017-11-01 04,4
14,2017-11-01 04,14
15,2017-11-01 04,20
16,2017-11-01 04,9
17,2017-11-01 04,90
18,2017-11-01 04,198
19,2017-11-01 04,122
20,2017-11-01 04,15
21,2017-11-01 04,294
22,2017-11-01 04,20
23,2017-11-01 04,280
24,2017-11-01 04,20
25,2017-11-01 04,378
26,2017-11-01 04,5
27,2017-11-01 04,13
28,2017-11-01 04,39
29,2017-11-01 04,20
30,2017-11-01 04,354
31,2017-11-01 04,53
32,2017-11-01 04,59
33,2017-11-01 04,20
1,2017-11-01 05,219
2,2017-11-01 05,763
3,2017-11-01 05,115
4,2017-11-01 05,53
5,2017-11-01 05,82
6,2017-11-01 05,134
7,2017-11-01 05,50
8,2017-11-01 05,74
9,2017-11-01 05,44
10,2017-11-01 05,6
11,2017-11-01 05,157
12,2017-11-01 05,116
13,2017-11-01 05,26
14,2017-11-01 05,20
15,2017-11-01 05,17
16,2017-11-01 05,19
17,2017-11-01 05,97
18,2017-11-01 05,172
19,2017-11-01 05,127
20,2017-11-01 05,43
21,2017-11-01 05,319
22,2017-11-01 05,2
23,2017-11-01 05,362
24,2017-11-01 05,4
25,2017-11-01 05,356
26,2017-11-01 05,25
27,2017-11-01 05,17
28,2017-11-01 05,44
29,2017-11-01 05,25
30,2017-11-01 05,433
31,2017-11-01 05,79
32,2017-11-01 05,56
33,2017-11-01 05,19
1,2017-11-01 06,217
2,2017-11-01 06,600
3,2017-11-01 06,217
4,2017-11-01 06,118
5,2017-11-01 06,159
6,2017-11-01 06,206
7,2017-11-01 06,75
