loc_id,time_stamp,num_of_people
1,2017-11-01 00,504
2,2017-11-01 00,747
3,2017-11-01 00,119
4,2017-11-01 00,191
5,2017-11-01 00,249
6,2017-11-01 00,364
7,2017-11-01 00,149
8,2017-11-01 00,92
9,2017-11-01 00,419
10,2017-11-01 00,52
11,2017-11-01 00,469
12,2017-11-01 00,173
13,2017-11-01 00,39
14,2017-11-01 00,5
15,2017-11-01 00,15
16,2017-11-01 00,20
17,2017-11-01 00,421
18,2017-11-01 00,520
19,2017-11-01 00,265
20,2017-11-01 00,102
21,2017-11-01 00,552
22,2017-11-01 00,20
23,2017-11-01 00,665
24,2017-11-01 00,8
25,2017-11-01 00,735
26,2017-11-01 00,45
27,2017-11-01 00,20
28,2017-11-01 00,223
29,2017-11-01 00,78
30,2017-11-01 00,360
31,2017-11-01 00,204
32,2017-11-01 00,28
33,2017-11-01 00,20
1,2017-11-01 01,311
2,2017-11-01 01,912
3,2017-11-01 01,93
4,2017-11-01 01,116
5,2017-11-01 01,126
6,2017-11-01 01,218
7,2017-11-01 01,104
8,2017-11-01 01,86
9,2017-11-01 01,218
10,2017-11-01 01,83
11,2017-11-01 01,273
12,2017-11-01 01,182
13,2017-11-01 01,16
14,2017-11-01 01,25
15,2017-11-01 01,15
16,2017-11-01 01,20
17,2017-11-01 01,153
18,2017-11-01 01,307
19,2017-11-01 01,164
20,2017-11-01 01,66
21,2017-11-01 01,627
22,2017-11-01 01,14
23,2017-11-01 01,468
24,2017-11-01 01,16
25,2017-11-01 01,774
26,2017-11-01 01,31
27,2017-11-01 01,20
28,2017-11-01 01,83
29,2017-11-01 01,88
30,2017-11-01 01,184
31,2017-11-01 01,123
32,2017-11-01 01,26
33,2017-11-01 01,20
1,2017-11-01 02,223
2,2017-11-01 02,1059
3,2017-11-01 02,67
4,2017-11-01 02,73
5,2017-11-01 02,108
6,2017-11-01 02,164
7,2017-11-01 02,52
8,2017-11-01 02,21
9,2017-11-01 02,164
10,2017-11-01 02,31
11,2017-11-01 02,184
12,2017-11-01 02,99
13,2017-11-01 02,20
14,2017-11-01 02,10
15,2017-11-01 02,7
16,2017-11-01 02,20
17,2017-11-01 02,103
18,2017-11-01 02,266
19,2017-11-01 02,112
20,2017-11-01 02,55
21,2017-11-01 02,330
22,2017-11-01 02,1
23,2017-11-01 02,404
24,2017-11-01 02,3
25,2017-11-01 02,653
26,2017-11-01 02,8
27,2017-11-01 02,20
28,2017-11-01 02,37
29,2017-11-01 02,30
30,2017-11-01 02,125
31,2017-11-01 02,84
32,2017-11-01 02,5
33,2017-11-01 02,20
1,2017-11-01 03,230
2,2017-11-01 03,988
3,2017-11-01 03,45
4,2017-11-01 03,75
5,2017-11-01 03,100
6,2017-11-01 03,171
7,2017-11-01 03,68
8,2017-11-01 03,20
9,2017-11-01 03,113
10,2017-11-01 03,20
11,2017-11-01 03,187
12,2017-11-01 03,59
13,2017-11-01 03,3
14,2017-11-01 03,20
15,2017-11-01 03,15
16,2017-11-01 03,20
17,2017-11-01 03,111
18,2017-11-01 03,234
19,2017-11-01 03,106
20,2017-11-01 03,12
21,2017-11-01 03,383
22,2017-11-01 03,4
23,2017-11-01 03,337
24,2017-11-01 03,20
25,2017-11-01 03,625
26,2017-11-01 03,14
27,2017-11-01 03,20
28,2017-11-01 03,39
29,2017-11-01 03,20
30,2017-11-01 03,160
31,2017-11-01 03,58
32,2017-11-01 03,20
33,2017-11-01 03,20
1,2017-11-01 04,192
2,2017-11-01 04,876
3,2017-11-01 04,26
4,2017-11-01 04,108
5,2017-11-01 04,79
6,2017-11-01 04,174
7,2017-11-01 04,70
8,2017-11-01 04,20
9,2017-11-01 04,118
10,2017-11-01 04,20
11,2017-11-01 04,116
12,2017-11-01 04,20
13,2017-11-01 04,7
14,2017-11-01 04,22
15,2017-11-01 04,3
16,2017-11-01 04,20
17,2017-11-01 04,94
18,2017-11-01 04,252
19,2017-11-01 04,111
20,2017-11-01 04,58
21,2017-11-01 04,450
22,2017-11-01 04,34
23,2017-11-01 04,397
24,2017-11-01 04,20
25,2017-11-01 04,512
26,2017-11-01 04,21
27,2017-11-01 04,2
28,2017-11-01 04,42
29,2017-11-01 04,20
30,2017-11-01 04,182
31,2017-11-01 04,92
32,2017-11-01 04,20
33,2017-11-01 04,1
1,2017-11-01 05,227
2,2017-11-01 05,1024
3,2017-11-01 05,12
4,2017-11-01 05,105
5,2017-11-01 05,71
6,2017-11-01 05,154
7,2017-11-01 05,62
8,2017-11-01 05,8
9,2017-11-01 05,117
10,2017-11-01 05,20
11,2017-11-01 05,151
12,2017-11-01 05,43
13,2017-11-01 05,19
14,2017-11-01 05,32
15,2017-11-01 05,19
16,2017-11-01 05,2
17,2017-11-01 05,72
18,2017-11-01 05,222
19,2017-11-01 05,121
20,2017-11-01 05,29
21,2017-11-01 05,509
22,2017-11-01 05,36
23,2017-11-01 05,477
24,2017-11-01 05,20
25,2017-11-01 05,544
26,2017-11-01 05,31
27,2017-11-01 05,20
28,2017-11-01 05,65
29,2017-11-01 05,20
30,2017-11-01 05,223
31,2017-11-01 05,97
32,2017-11-01 05,20
33,2017-11-01 05,9
1,2017-11-01 06,247
2,2017-11-01 06,779
3,2017-11-01 06,194
4,2017-11-01 06,153
5,2017-11-01 06,159
6,2017-11-01 06,217
7,2017-11-01 06,107
8,2017-11-01 06,338
9,2017-11-01 06,98
10,2017-11-01 06,118
11,2017-11-01 06,199
12,2017-11-01 06,452
13,2017-11-01 06,65
14,2017-11-01 06,74
15,2017-11-01 06,78
16,2017-11-01 06,60
17,2017-11-01 06,236
18,2017-11-01 06,300
19,2017-11-01 06,178
20,2017-11-01 06,80
21,2017-11-01 06,321
22,2017-11-01 06,48
23,2017-11-01 06,426
24,2017-11-01 06,112
25,2017-11-01 06,372
26,2017-11-01 06,107
27,2017-11-01 06,61
28,2017-11-01 06,168
29,2017-11-01 06,167
30,2017-11-01 06,272
31,2017-11-01 06,149
32,2017-11-01 06,60
33,2017-11-01 06,80
1,2017-11-01 07,523
2,2017-11-01 07,781
3,2017-11-01 07,924
4,2017-11-01 07,308
5,2017-11-01 07,403
6,2017-11-01 07,609
7,2017-11-01 07,249
8,2017-11-01 07,2497
9,2017-11-01 07,183
10,2017-11-01 07,1067
11,2017-11-01 07,639
12,2017-11-01 07,2783
13,2017-11-01 07,261
14,2017-11-01 07,271
15,2017-11-01 07,435
16,2017-11-01 07,272
17,2017-11-01 07,577
18,2017-11-01 07,450
19,2017-11-01 07,786
20,2017-11-01 07,190
21,2017-11-01 07,313
22,2017-11-01 07,274
23,2017-11-01 07,464
24,2017-11-01 07,545
25,2017-11-01 07,437
26,2017-11-01 07,364
27,2017-11-01 07,334
28,2017-11-01 07,452
29,2017-11-01 07,1418
30,2017-11-01 07,655
31,2017-11-01 07,946
32,2017-11-01 07,322
