loc_id,time_stamp,num_of_people
1,2017-11-01 00,509
2,2017-11-01 00,654
3,2017-11-01 00,121
4,2017-11-01 00,138
5,2017-11-01 00,333
6,2017-11-01 00,340
7,2017-11-01 00,119
8,2017-11-01 00,44
9,2017-11-01 00,307
10,2017-11-01 00,20
11,2017-11-01 00,456
12,2017-11-01 00,49
13,2017-11-01 00,81
14,2017-11-01 00,18
15,2017-11-01 00,20
16,2017-11-01 00,1
17,2017-11-01 00,405
18,2017-11-01 00,537
19,2017-11-01 00,265
20,2017-11-01 00,66
21,2017-11-01 00,558
22,2017-11-01 00,20
23,2017-11-01 00,549
24,2017-11-01 00,20
25,2017-11-01 00,559
26,2017-11-01 00,63
27,2017-11-01 00,3
28,2017-11-01 00,222
29,2017-11-01 00,37
30,2017-11-01 00,665
31,2017-11-01 00,152
32,2017-11-01 00,44
33,2017-11-01 00,1
1,2017-11-01 01,358
2,2017-11-01 01,849
3,2017-11-01 01,128
4,2017-11-01 01,65
5,2017-11-01 01,182
6,2017-11-01 01,210
7,2017-11-01 01,85
8,2017-11-01 01,41
9,2017-11-01 01,209
10,2017-11-01 01,6
11,2017-11-01 01,269
12,2017-11-01 01,57
13,2017-11-01 01,27
14,2017-11-01 01,18
15,2017-11-01 01,14
16,2017-11-01 01,10
17,2017-11-01 01,192
18,2017-11-01 01,357
19,2017-11-01 01,197
20,2017-11-01 01,77
21,2017-11-01 01,508
22,2017-11-01 01,20
23,2017-11-01 01,442
24,2017-11-01 01,8
25,2017-11-01 01,587
26,2017-11-01 01,19
27,2017-11-01 01,14
28,2017-11-01 01,90
29,2017-11-01 01,20
30,2017-11-01 01,330
31,2017-11-01 01,111
32,2017-11-01 01,66
33,2017-11-01 01,20
1,2017-11-01 02,253
2,2017-11-01 02,898
3,2017-11-01 02,123
4,2017-11-01 02,41
5,2017-11-01 02,131
6,2017-11-01 02,158
7,2017-11-01 02,38
8,2017-11-01 02,15
9,2017-11-01 02,157
10,2017-11-01 02,20
11,2017-11-01 02,175
12,2017-11-01 02,87
13,2017-11-01 02,6
14,2017-11-01 02,3
15,2017-11-01 02,20
16,2017-11-01 02,20
17,2017-11-01 02,135
18,2017-11-01 02,289
19,2017-11-01 02,159
20,2017-11-01 02,34
21,2017-11-01 02,429
22,2017-11-01 02,20
23,2017-11-01 02,374
24,2017-11-01 02,20
25,2017-11-01 02,544
26,2017-11-01 02,20
27,2017-11-01 02,11
28,2017-11-01 02,63
29,2017-11-01 02,20
30,2017-11-01 02,244
31,2017-11-01 02,92
32,2017-11-01 02,61
33,2017-11-01 02,20
1,2017-11-01 03,243
2,2017-11-01 03,834
3,2017-11-01 03,73
4,2017-11-01 03,33
5,2017-11-01 03,115
6,2017-11-01 03,147
7,2017-11-01 03,44
8,2017-11-01 03,20
9,2017-11-01 03,80
10,2017-11-01 03,20
11,2017-11-01 03,150
12,2017-11-01 03,15
13,2017-11-01 03,3
14,2017-11-01 03,20
15,2017-11-01 03,20
16,2017-11-01 03,20
17,2017-11-01 03,89
18,2017-11-01 03,225
19,2017-11-01 03,123
20,2017-11-01 03,44
21,2017-11-01 03,371
22,2017-11-01 03,20
23,2017-11-01 03,342
24,2017-11-01 03,20
25,2017-11-01 03,358
26,2017-11-01 03,20
27,2017-11-01 03,5
28,2017-11-01 03,41
29,2017-11-01 03,20
30,2017-11-01 03,329
31,2017-11-01 03,68
32,2017-11-01 03,37
33,2017-11-01 03,4
1,2017-11-01 04,213
2,2017-11-01 04,873
3,2017-11-01 04,90
4,2017-11-01 04,38
5,2017-11-01 04,126
6,2017-11-01 04,144
7,2017-11-01 04,44
8,2017-11-01 04,11
9,2017-11-01 04,48
10,2017-11-01 04,20
11,2017-11-01 04,121
12,2017-11-01 04,4
13,2017-11-01 04,2
14,2017-11-01 04,4
15,2017-11-01 04,20
16,2017-11-01 04,20
17,2017-11-01 04,92
18,2017-11-01 04,225
19,2017-11-01 04,125
20,2017-11-01 04,48
21,2017-11-01 04,382
22,2017-11-01 04,20
