loc_id,time_stamp,num_of_people
1,2017-12-01 00,603.2
2,2017-12-01 00,781.6
3,2017-12-01 00,172.8
4,2017-12-01 00,220.4
5,2017-12-01 00,275.4
6,2017-12-01 00,398
7,2017-12-01 00,198
8,2017-12-01 00,88.6
9,2017-12-01 00,434.6
10,2017-12-01 00,30.2
11,2017-12-01 00,405.6
12,2017-12-01 00,111.2
13,2017-12-01 00,72.6
14,2017-12-01 00,41
15,2017-12-01 00,21.4
16,2017-12-01 00,11.4
17,2017-12-01 00,406.2
18,2017-12-01 00,637
19,2017-12-01 00,398.8
20,2017-12-01 00,41.6
21,2017-12-01 00,420.8
22,2017-12-01 00,5.25
23,2017-12-01 00,532.6
24,2017-12-01 00,14.6
25,2017-12-01 00,507.8
26,2017-12-01 00,53.8
27,2017-12-01 00,23.4
28,2017-12-01 00,338.2
29,2017-12-01 00,39.2
30,2017-12-01 00,491.4
31,2017-12-01 00,217.6
32,2017-12-01 00,61.6
33,2017-12-01 00,20.4
1,2017-12-01 01,420.6
2,2017-12-01 01,865.4
3,2017-12-01 01,46.2
4,2017-12-01 01,174
5,2017-12-01 01,151.4
6,2017-12-01 01,189.8
7,2017-12-01 01,120
8,2017-12-01 01,24
9,2017-12-01 01,312.2
10,2017-12-01 01,9.8
11,2017-12-01 01,239.4
12,2017-12-01 01,40.6
13,2017-12-01 01,29.2
14,2017-12-01 01,45.6
15,2017-12-01 01,13
16,2017-12-01 01,6.8
17,2017-12-01 01,164.4
18,2017-12-01 01,368
19,2017-12-01 01,242.6
20,2017-12-01 01,23.6
21,2017-12-01 01,488.25
22,2017-12-01 01,4
23,2017-12-01 01,399.6
24,2017-12-01 01,3.6
25,2017-12-01 01,528.75
26,2017-12-01 01,30
27,2017-12-01 01,24.8
28,2017-12-01 01,173
29,2017-12-01 01,10.8
30,2017-12-01 01,436.8
31,2017-12-01 01,112
32,2017-12-01 01,11.2
33,2017-12-01 01,22.2
1,2017-12-01 02,230.1666666667
2,2017-12-01 02,904
3,2017-12-01 02,34.2
4,2017-12-01 02,134
5,2017-12-01 02,119.8
6,2017-12-01 02,187.8
7,2017-12-01 02,65.3333333333
8,2017-12-01 02,14.8
9,2017-12-01 02,229.8
10,2017-12-01 02,5.8
11,2017-12-01 02,229.6
12,2017-12-01 02,16.2
13,2017-12-01 02,18.2
14,2017-12-01 02,33.2
15,2017-12-01 02,11.2
16,2017-12-01 02,6.8
17,2017-12-01 02,96.5
18,2017-12-01 02,187.6666666667
19,2017-12-01 02,183.4
20,2017-12-01 02,32.4
21,2017-12-01 02,297.75
22,2017-12-01 02,3
23,2017-12-01 02,392
24,2017-12-01 02,3
25,2017-12-01 02,446
26,2017-12-01 02,11.2
27,2017-12-01 02,18.6
28,2017-12-01 02,107
29,2017-12-01 02,5.4
30,2017-12-01 02,321.6666666667
31,2017-12-01 02,81.8
32,2017-12-01 02,7.4
33,2017-12-01 02,16
1,2017-12-01 03,306.6666666667
2,2017-12-01 03,791.8333333333
3,2017-12-01 03,29
4,2017-12-01 03,67
5,2017-12-01 03,161.5
6,2017-12-01 03,149
7,2017-12-01 03,73.3333333333
8,2017-12-01 03,21.1666666667
9,2017-12-01 03,156.6666666667
10,2017-12-01 03,4
11,2017-12-01 03,177.3333333333
12,2017-12-01 03,22.1666666667
13,2017-12-01 03,14.5
14,2017-12-01 03,36.8333333333
15,2017-12-01 03,11.3333333333
16,2017-12-01 03,7.8333333333
17,2017-12-01 03,167.6666666667
18,2017-12-01 03,272.6666666667
19,2017-12-01 03,126.8333333333
20,2017-12-01 03,18.8333333333
21,2017-12-01 03,271.3333333333
22,2017-12-01 03,3.75
23,2017-12-01 03,313.3333333333
24,2017-12-01 03,3.75
25,2017-12-01 03,284.8333333333
26,2017-12-01 03,13.6666666667
27,2017-12-01 03,22.1666666667
28,2017-12-01 03,119.5
29,2017-12-01 03,4.1666666667
30,2017-12-01 03,406.8333333333
31,2017-12-01 03,50.3333333333
32,2017-12-01 03,6.8333333333
33,2017-12-01 03,22.8333333333
1,2017-12-01 04,273.3333333333
2,2017-12-01 04,937.8333333333
3,2017-12-01 04,31.6666666667
4,2017-12-01 04,101.1666666667
5,2017-12-01 04,164
6,2017-12-01 04,172.3333333333
7,2017-12-01 04,61.3333333333
8,2017-12-01 04,31.5
9,2017-12-01 04,144
10,2017-12-01 04,15
11,2017-12-01 04,213.6666666667
12,2017-12-01 04,33.3333333333
13,2017-12-01 04,20
14,2017-12-01 04,37.3333333333
15,2017-12-01 04,12.1666666667
16,2017-12-01 04,8.5
17,2017-12-01 04,117.8333333333
18,2017-12-01 04,233.5
19,2017-12-01 04,180.3333333333
20,2017-12-01 04,26.1666666667
21,2017-12-01 04,379
22,2017-12-01 04,3
23,2017-12-01 04,405.1666666667
24,2017-12-01 04,3.5
25,2017-12-01 04,402.1666666667
26,2017-12-01 04,23.3333333333
27,2017-12-01 04,27.8333333333
28,2017-12-01 04,87.1666666667
29,2017-12-01 04,20.1666666667
30,2017-12-01 04,409.8333333333
31,2017-12-01 04,60
32,2017-12-01 04,6.6666666667
33,2017-12-01 04,25.1666666667
1,2017-12-01 05,291.3333333333
2,2017-12-01 05,1000.6666666667
3,2017-12-01 05,44.5
4,2017-12-01 05,84.3333333333
5,2017-12-01 05,152.3333333333
6,2017-12-01 05,195.8333333333
7,2017-12-01 05,72.8333333333
8,2017-12-01 05,144.1666666667
9,2017-12-01 05,128.3333333333
10,2017-12-01 05,35.6666666667
11,2017-12-01 05,217.3333333333
12,2017-12-01 05,127.1666666667
13,2017-12-01 05,30
14,2017-12-01 05,35.6666666667
15,2017-12-01 05,18
16,2017-12-01 05,10.3333333333
17,2017-12-01 05,149.6666666667
18,2017-12-01 05,282.8333333333
19,2017-12-01 05,214.1666666667
20,2017-12-01 05,34.3333333333
21,2017-12-01 05,383.8333333333
22,2017-12-01 05,3.8
23,2017-12-01 05,461.1666666667
24,2017-12-01 05,11.1666666667
25,2017-12-01 05,347.3333333333
26,2017-12-01 05,22.3333333333
27,2017-12-01 05,22.1666666667
28,2017-12-01 05,134.1666666667
29,2017-12-01 05,54
30,2017-12-01 05,461.3333333333
31,2017-12-01 05,74.8333333333
32,2017-12-01 05,10.8333333333
33,2017-12-01 05,22.8333333333
1,2017-12-01 06,286
2,2017-12-01 06,711.1666666667
3,2017-12-01 06,111.1666666667
4,2017-12-01 06,193
5,2017-12-01 06,189
6,2017-12-01 06,222.5
7,2017-12-01 06,89.8333333333
8,2017-12-01 06,384.8333333333
9,2017-12-01 06,110.8333333333
10,2017-12-01 06,129.5
11,2017-12-01 06,326.6666666667
12,2017-12-01 06,404.5
13,2017-12-01 06,57.6666666667
14,2017-12-01 06,74.1666666667
15,2017-12-01 06,59.5
16,2017-12-01 06,54.5
17,2017-12-01 06,225.5
18,2017-12-01 06,328.3333333333
19,2017-12-01 06,263.8333333333
20,2017-12-01 06,53
21,2017-12-01 06,287.8333333333
22,2017-12-01 06,11.3333333333
23,2017-12-01 06,513
24,2017-12-01 06,121.3333333333
25,2017-12-01 06,299.5
26,2017-12-01 06,76
27,2017-12-01 06,72.5
28,2017-12-01 06,183.3333333333
