loc_id,time_stamp,num_of_people
1,2017-12-01 00,589.0
2,2017-12-01 00,687.25
3,2017-12-01 00,111.25
4,2017-12-01 00,228.25
5,2017-12-01 00,279.5
6,2017-12-01 00,454.0
7,2017-12-01 00,223.75
8,2017-12-01 00,97.75
9,2017-12-01 00,457.0
10,2017-12-01 00,30.5
11,2017-12-01 00,418.75
12,2017-12-01 00,121.5
13,2017-12-01 00,78.25
14,2017-12-01 00,48.5
15,2017-12-01 00,20.5
16,2017-12-01 00,10.5
17,2017-12-01 00,323.5
18,2017-12-01 00,645.25
19,2017-12-01 00,379.25
20,2017-12-01 00,37.25
21,2017-12-01 00,407.5
22,2017-12-01 00,5.0
23,2017-12-01 00,570.75
24,2017-12-01 00,7.5
25,2017-12-01 00,390.75
26,2017-12-01 00,56.5
27,2017-12-01 00,23.25
28,2017-12-01 00,275.25
29,2017-12-01 00,42.0
30,2017-12-01 00,527.0
31,2017-12-01 00,196.25
32,2017-12-01 00,20.5
33,2017-12-01 00,21.0
1,2017-12-01 01,419.0
2,2017-12-01 01,832.0
3,2017-12-01 01,45.75
4,2017-12-01 01,185.33333333333331
5,2017-12-01 01,143.75
6,2017-12-01 01,201.0
7,2017-12-01 01,122.25
8,2017-12-01 01,25.25
9,2017-12-01 01,293.75
10,2017-12-01 01,10.75
11,2017-12-01 01,251.0
12,2017-12-01 01,44.0
13,2017-12-01 01,31.75
14,2017-12-01 01,54.25
15,2017-12-01 01,13.25
16,2017-12-01 01,6.5
17,2017-12-01 01,152.25
18,2017-12-01 01,347.0
19,2017-12-01 01,212.5
20,2017-12-01 01,16.5
21,2017-12-01 01,495.66666666666674
22,2017-12-01 01,3.6666666666666665
23,2017-12-01 01,452.0
24,2017-12-01 01,3.5
25,2017-12-01 01,521.3333333333334
26,2017-12-01 01,34.25
27,2017-12-01 01,19.25
28,2017-12-01 01,151.25
29,2017-12-01 01,12.0
30,2017-12-01 01,479.25
31,2017-12-01 01,106.75
32,2017-12-01 01,12.0
33,2017-12-01 01,17.25
1,2017-12-01 02,220.2
2,2017-12-01 02,933.5
3,2017-12-01 02,36.5
4,2017-12-01 02,137.66666666666666
5,2017-12-01 02,116.75
6,2017-12-01 02,185.5
7,2017-12-01 02,64.2
8,2017-12-01 02,15.5
9,2017-12-01 02,199.25
10,2017-12-01 02,6.25
11,2017-12-01 02,210.75
12,2017-12-01 02,16.0
13,2017-12-01 02,19.75
14,2017-12-01 02,39.25
15,2017-12-01 02,11.75
16,2017-12-01 02,6.75
17,2017-12-01 02,91.4
18,2017-12-01 02,174.8
19,2017-12-01 02,188.75
20,2017-12-01 02,20.5
21,2017-12-01 02,303.6666666666667
22,2017-12-01 02,2.5
23,2017-12-01 02,398.0
24,2017-12-01 02,3.333333333333333
25,2017-12-01 02,460.0
26,2017-12-01 02,12.25
27,2017-12-01 02,17.75
28,2017-12-01 02,111.0
29,2017-12-01 02,5.75
30,2017-12-01 02,330.0
31,2017-12-01 02,76.25
32,2017-12-01 02,8.5
33,2017-12-01 02,15.5
1,2017-12-01 03,268.2
2,2017-12-01 03,769.0
3,2017-12-01 03,30.75
4,2017-12-01 03,63.0
5,2017-12-01 03,126.4
6,2017-12-01 03,142.8
7,2017-12-01 03,71.6
8,2017-12-01 03,21.6
9,2017-12-01 03,145.2
10,2017-12-01 03,3.4
11,2017-12-01 03,157.6
12,2017-12-01 03,22.2
13,2017-12-01 03,15.0
14,2017-12-01 03,42.4
15,2017-12-01 03,11.2
16,2017-12-01 03,7.2
17,2017-12-01 03,166.2
18,2017-12-01 03,289.6
19,2017-12-01 03,119.6
20,2017-12-01 03,14.2
21,2017-12-01 03,268.6
22,2017-12-01 03,3.333333333333333
23,2017-12-01 03,298.0
24,2017-12-01 03,2.6666666666666665
25,2017-12-01 03,279.4
26,2017-12-01 03,15.0
27,2017-12-01 03,16.6
28,2017-12-01 03,125.4
29,2017-12-01 03,3.8
30,2017-12-01 03,442.4
31,2017-12-01 03,50.0
32,2017-12-01 03,6.2
33,2017-12-01 03,15.6
1,2017-12-01 04,264.6
2,2017-12-01 04,952.6
3,2017-12-01 04,35.0
4,2017-12-01 04,100.4
5,2017-12-01 04,162.0
6,2017-12-01 04,177.6
7,2017-12-01 04,63.0
8,2017-12-01 04,32.6
9,2017-12-01 04,149.4
10,2017-12-01 04,12.8
11,2017-12-01 04,196.2
12,2017-12-01 04,33.4
13,2017-12-01 04,21.4
14,2017-12-01 04,43.2
15,2017-12-01 04,12.8
16,2017-12-01 04,8.6
17,2017-12-01 04,110.0
18,2017-12-01 04,212.4
19,2017-12-01 04,191.0
20,2017-12-01 04,18.0
21,2017-12-01 04,393.0
22,2017-12-01 04,2.333333333333333
23,2017-12-01 04,397.0
24,2017-12-01 04,3.4
25,2017-12-01 04,405.8
26,2017-12-01 04,25.6
27,2017-12-01 04,16.2
28,2017-12-01 04,88.0
29,2017-12-01 04,17.8
30,2017-12-01 04,408.0
31,2017-12-01 04,60.2
32,2017-12-01 04,7.2
33,2017-12-01 04,14.6
1,2017-12-01 05,289.6
2,2017-12-01 05,1011.2
3,2017-12-01 05,45.4
4,2017-12-01 05,88.2
5,2017-12-01 05,141.6
6,2017-12-01 05,201.8
7,2017-12-01 05,77.4
8,2017-12-01 05,114.0
9,2017-12-01 05,138.0
10,2017-12-01 05,34.6
11,2017-12-01 05,201.6
12,2017-12-01 05,113.2
13,2017-12-01 05,33.6
14,2017-12-01 05,40.2
15,2017-12-01 05,19.0
16,2017-12-01 05,10.0
17,2017-12-01 05,132.8
18,2017-12-01 05,268.8
19,2017-12-01 05,231.8
20,2017-12-01 05,26.8
21,2017-12-01 05,389.2
22,2017-12-01 05,3.0
23,2017-12-01 05,452.4
24,2017-12-01 05,11.4
25,2017-12-01 05,353.2
26,2017-12-01 05,24.2
27,2017-12-01 05,19.0
28,2017-12-01 05,132.8
29,2017-12-01 05,51.8
30,2017-12-01 05,491.4
31,2017-12-01 05,62.6
32,2017-12-01 05,10.8
33,2017-12-01 05,19.2
1,2017-12-01 06,282.6
2,2017-12-01 06,726.2
3,2017-12-01 06,109.4
4,2017-12-01 06,194.4
5,2017-12-01 06,194.2
6,2017-12-01 06,222.4
7,2017-12-01 06,90.8
8,2017-12-01 06,359.6
9,2017-12-01 06,111.8
10,2017-12-01 06,128.6
11,2017-12-01 06,314.8
12,2017-12-01 06,384.6
13,2017-12-01 06,52.6
14,2017-12-01 06,77.2
15,2017-12-01 06,59.0
16,2017-12-01 06,59.4
17,2017-12-01 06,212.2
18,2017-12-01 06,315.6
19,2017-12-01 06,283.8
20,2017-12-01 06,47.2
21,2017-12-01 06,283.8
22,2017-12-01 06,10.8
23,2017-12-01 06,516.8
24,2017-12-01 06,133.0
25,2017-12-01 06,305.2
26,2017-12-01 06,73.6
27,2017-12-01 06,68.8
28,2017-12-01 06,187.0
29,2017-12-01 06,173.2
30,2017-12-01 06,440.6
31,2017-12-01 06,153.0
32,2017-12-01 06,49.2
33,2017-12-01 06,75.2
1,2017-12-01 07,531.8
2,2017-12-01 07,746.8
3,2017-12-01 07,797.0
4,2017-12-01 07,281.2
5,2017-12-01 07,470.8
6,2017-12-01 07,629.2
7,2017-12-01 07,273.8
8,2017-12-01 07,2294.0
9,2017-12-01 07,235.4
10,2017-12-01 07,1094.8
11,2017-12-01 07,727.8
12,2017-12-01 07,2494.4
13,2017-12-01 07,266.8
14,2017-12-01 07,299.2
15,2017-12-01 07,366.8
16,2017-12-01 07,372.2
17,2017-12-01 07,587.4
18,2017-12-01 07,406.4
19,2017-12-01 07,779.6
20,2017-12-01 07,228.0
21,2017-12-01 07,313.0
22,2017-12-01 07,277.0
23,2017-12-01 07,556.4
24,2017-12-01 07,545.2
25,2017-12-01 07,450.4
26,2017-12-01 07,325.2
27,2017-12-01 07,302.0
28,2017-12-01 07,439.4
29,2017-12-01 07,1467.2
30,2017-12-01 07,605.0
31,2017-12-01 07,928.8
32,2017-12-01 07,276.0
33,2017-12-01 07,300.2
1,2017-12-01 08,756.6666666666665
2,2017-12-01 08,495.16666666666674
3,2017-12-01 08,1173.2
4,2017-12-01 08,579.6666666666666
5,2017-12-01 08,609.6666666666666
6,2017-12-01 08,716.3333333333335
7,2017-12-01 08,316.0
8,2017-12-01 08,3527.333333333333
9,2017-12-01 08,259.8333333333333
10,2017-12-01 08,1791.166666666667
11,2017-12-01 08,446.5
12,2017-12-01 08,4020.166666666666
13,2017-12-01 08,482.0
14,2017-12-01 08,460.83333333333326
15,2017-12-01 08,406.66666666666674
16,2017-12-01 08,581.1666666666666
17,2017-12-01 08,898.1666666666665
18,2017-12-01 08,503.16666666666674
19,2017-12-01 08,475.33333333333326
20,2017-12-01 08,1188.8333333333333
21,2017-12-01 08,733.3333333333335
22,2017-12-01 08,232.66666666666663
23,2017-12-01 08,261.3333333333333
24,2017-12-01 08,735.6666666666665
25,2017-12-01 08,962.0
26,2017-12-01 08,525.6666666666666
27,2017-12-01 08,820.8333333333335
28,2017-12-01 08,793.5
29,2017-12-01 08,2262.0
30,2017-12-01 08,704.5
31,2017-12-01 08,1249.0
32,2017-12-01 08,479.16666666666674
33,2017-12-01 08,714.5
1,2017-12-01 09,701.6666666666665
2,2017-12-01 09,541.6666666666666
3,2017-12-01 09,1182.6
4,2017-12-01 09,540.8333333333334
5,2017-12-01 09,562.0
6,2017-12-01 09,741.5
7,2017-12-01 09,316.1666666666667
8,2017-12-01 09,2939.166666666666
9,2017-12-01 09,260.8333333333333
10,2017-12-01 09,1016.1666666666665
11,2017-12-01 09,700.5
12,2017-12-01 09,3299.0
13,2017-12-01 09,450.0
14,2017-12-01 09,612.5
15,2017-12-01 09,771.1666666666665
16,2017-12-01 09,937.0
17,2017-12-01 09,854.0
18,2017-12-01 09,426.33333333333326
19,2017-12-01 09,471.83333333333326
20,2017-12-01 09,1813.833333333333
21,2017-12-01 09,724.3333333333335
22,2017-12-01 09,590.8333333333334
23,2017-12-01 09,485.66666666666674
24,2017-12-01 09,1159.0
25,2017-12-01 09,933.5
26,2017-12-01 09,534.8333333333334
27,2017-12-01 09,1425.5
28,2017-12-01 09,751.6666666666665
29,2017-12-01 09,1521.666666666667
30,2017-12-01 09,691.3333333333335
31,2017-12-01 09,1248.3333333333333
32,2017-12-01 09,410.16666666666674
33,2017-12-01 09,1188.1666666666667
1,2017-12-01 10,591.5
2,2017-12-01 10,490.0
3,2017-12-01 10,922.2
4,2017-12-01 10,427.66666666666674
5,2017-12-01 10,468.0
6,2017-12-01 10,589.8333333333334
7,2017-12-01 10,207.33333333333331
8,2017-12-01 10,2190.0
9,2017-12-01 10,156.0
10,2017-12-01 10,787.1666666666665
11,2017-12-01 10,497.16666666666674
