loc_id,time_stamp,data_mean_week_hour
1,2017-12-01 00,746.0
2,2017-12-01 00,877.6666666666665
3,2017-12-01 00,202.0
4,2017-12-01 00,212.33333333333331
5,2017-12-01 00,328.3333333333333
6,2017-12-01 00,427.0
7,2017-12-01 00,215.33333333333331
8,2017-12-01 00,101.0
9,2017-12-01 00,453.66666666666674
10,2017-12-01 00,29.33333333333333
11,2017-12-01 00,432.66666666666674
12,2017-12-01 00,111.0
13,2017-12-01 00,70.33333333333333
14,2017-12-01 00,28.33333333333333
15,2017-12-01 00,19.33333333333333
16,2017-12-01 00,9.333333333333334
17,2017-12-01 00,526.0
18,2017-12-01 00,691.3333333333335
19,2017-12-01 00,413.0
20,2017-12-01 00,45.33333333333334
21,2017-12-01 00,375.33333333333326
22,2017-12-01 00,7.0
23,2017-12-01 00,507.66666666666674
24,2017-12-01 00,19.33333333333333
25,2017-12-01 00,565.3333333333334
26,2017-12-01 00,49.66666666666666
27,2017-12-01 00,28.33333333333333
28,2017-12-01 00,472.0
29,2017-12-01 00,34.0
30,2017-12-01 00,592.0
31,2017-12-01 00,237.66666666666663
32,2017-12-01 00,87.0
33,2017-12-01 00,20.666666666666668
1,2017-12-01 01,427.33333333333326
2,2017-12-01 01,904.3333333333335
3,2017-12-01 01,36.66666666666666
4,2017-12-01 01,148.0
5,2017-12-01 01,171.66666666666666
6,2017-12-01 01,203.66666666666663
7,2017-12-01 01,124.66666666666669
8,2017-12-01 01,27.66666666666667
9,2017-12-01 01,348.33333333333326
10,2017-12-01 01,9.0
11,2017-12-01 01,245.0
12,2017-12-01 01,38.0
13,2017-12-01 01,26.0
14,2017-12-01 01,25.33333333333333
15,2017-12-01 01,14.666666666666664
16,2017-12-01 01,6.0
17,2017-12-01 01,189.33333333333331
18,2017-12-01 01,388.66666666666674
19,2017-12-01 01,277.0
20,2017-12-01 01,27.66666666666667
21,2017-12-01 01,410.0
22,2017-12-01 01,5.5
23,2017-12-01 01,342.3333333333333
24,2017-12-01 01,5.333333333333333
25,2017-12-01 01,480.0
26,2017-12-01 01,27.0
27,2017-12-01 01,30.0
28,2017-12-01 01,244.0
29,2017-12-01 01,10.0
30,2017-12-01 01,569.3333333333334
31,2017-12-01 01,94.0
32,2017-12-01 01,9.666666666666666
33,2017-12-01 01,24.66666666666667
1,2017-12-01 02,224.0
2,2017-12-01 02,965.0
3,2017-12-01 02,19.666666666666668
4,2017-12-01 02,111.5
5,2017-12-01 02,141.33333333333334
6,2017-12-01 02,194.0
7,2017-12-01 02,73.0
8,2017-12-01 02,18.33333333333333
9,2017-12-01 02,263.3333333333333
10,2017-12-01 02,6.0
11,2017-12-01 02,255.66666666666663
12,2017-12-01 02,20.33333333333333
13,2017-12-01 02,18.666666666666668
14,2017-12-01 02,24.33333333333333
15,2017-12-01 02,11.666666666666664
16,2017-12-01 02,5.666666666666668
17,2017-12-01 02,108.25
18,2017-12-01 02,179.0
19,2017-12-01 02,232.33333333333331
20,2017-12-01 02,36.333333333333336
21,2017-12-01 02,302.5
22,2017-12-01 02,3.6666666666666665
23,2017-12-01 02,340.6666666666667
24,2017-12-01 02,3.6666666666666665
25,2017-12-01 02,370.5
26,2017-12-01 02,12.333333333333336
27,2017-12-01 02,18.666666666666668
28,2017-12-01 02,134.33333333333334
29,2017-12-01 02,6.0
30,2017-12-01 02,403.25
31,2017-12-01 02,74.33333333333333
32,2017-12-01 02,6.0
33,2017-12-01 02,16.333333333333332
1,2017-12-01 03,332.25
2,2017-12-01 03,755.0
3,2017-12-01 03,16.333333333333332
4,2017-12-01 03,56.5
5,2017-12-01 03,184.25
6,2017-12-01 03,151.75
7,2017-12-01 03,70.0
8,2017-12-01 03,24.5
9,2017-12-01 03,144.75
10,2017-12-01 03,4.5
11,2017-12-01 03,189.5
12,2017-12-01 03,21.75
13,2017-12-01 03,14.0
14,2017-12-01 03,36.75
15,2017-12-01 03,12.0
16,2017-12-01 03,8.0
17,2017-12-01 03,213.75
18,2017-12-01 03,276.0
19,2017-12-01 03,141.75
20,2017-12-01 03,21.0
21,2017-12-01 03,193.0
22,2017-12-01 03,5.5
23,2017-12-01 03,266.25
24,2017-12-01 03,3.75
25,2017-12-01 03,189.0
26,2017-12-01 03,13.25
27,2017-12-01 03,25.25
28,2017-12-01 03,156.0
29,2017-12-01 03,5.0
30,2017-12-01 03,501.25
31,2017-12-01 03,39.5
32,2017-12-01 03,6.0
33,2017-12-01 03,26.25
1,2017-12-01 04,276.0
2,2017-12-01 04,919.25
3,2017-12-01 04,21.25
4,2017-12-01 04,90.25
5,2017-12-01 04,149.0
6,2017-12-01 04,182.25
7,2017-12-01 04,61.75
8,2017-12-01 04,34.75
9,2017-12-01 04,121.75
10,2017-12-01 04,15.75
11,2017-12-01 04,236.25
12,2017-12-01 04,35.75
13,2017-12-01 04,21.0
14,2017-12-01 04,36.5
15,2017-12-01 04,13.0
16,2017-12-01 04,7.25
17,2017-12-01 04,126.0
18,2017-12-01 04,277.0
19,2017-12-01 04,212.5
20,2017-12-01 04,30.5
21,2017-12-01 04,360.0
22,2017-12-01 04,4.5
23,2017-12-01 04,415.5
24,2017-12-01 04,3.25
25,2017-12-01 04,349.25
26,2017-12-01 04,21.25
27,2017-12-01 04,33.25
28,2017-12-01 04,105.0
29,2017-12-01 04,21.25
30,2017-12-01 04,544.0
31,2017-12-01 04,46.75
32,2017-12-01 04,6.5
33,2017-12-01 04,31.0
1,2017-12-01 05,305.25
2,2017-12-01 05,1029.0
