loc_id,time_stamp,num_of_people
1,2017-11-01 00,520
2,2017-11-01 00,751
3,2017-11-01 00,128
4,2017-11-01 00,200
5,2017-11-01 00,230
6,2017-11-01 00,376
7,2017-11-01 00,132
8,2017-11-01 00,125
9,2017-11-01 00,392
10,2017-11-01 00,40
11,2017-11-01 00,461
12,2017-11-01 00,119
13,2017-11-01 00,34
14,2017-11-01 00,6
15,2017-11-01 00,20
16,2017-11-01 00,20
17,2017-11-01 00,364
18,2017-11-01 00,527
19,2017-11-01 00,294
20,2017-11-01 00,38
21,2017-11-01 00,786
22,2017-11-01 00,20
23,2017-11-01 00,665
24,2017-11-01 00,20
25,2017-11-01 00,772
26,2017-11-01 00,36
27,2017-11-01 00,20
28,2017-11-01 00,228
29,2017-11-01 00,14
30,2017-11-01 00,361
31,2017-11-01 00,248
32,2017-11-01 00,3
33,2017-11-01 00,20
1,2017-11-01 01,280
2,2017-11-01 01,939
3,2017-11-01 01,69
4,2017-11-01 01,121
5,2017-11-01 01,113
6,2017-11-01 01,200
7,2017-11-01 01,75
8,2017-11-01 01,227
9,2017-11-01 01,229
10,2017-11-01 01,77
11,2017-11-01 01,227
12,2017-11-01 01,161
13,2017-11-01 01,7
14,2017-11-01 01,11
15,2017-11-01 01,14
16,2017-11-01 01,20
17,2017-11-01 01,123
18,2017-11-01 01,308
19,2017-11-01 01,160
20,2017-11-01 01,36
21,2017-11-01 01,581
22,2017-11-01 01,14
23,2017-11-01 01,434
24,2017-11-01 01,2
25,2017-11-01 01,813
26,2017-11-01 01,26
27,2017-11-01 01,8
28,2017-11-01 01,49
29,2017-11-01 01,9
30,2017-11-01 01,181
31,2017-11-01 01,115
32,2017-11-01 01,19
33,2017-11-01 01,4
1,2017-11-01 02,193
2,2017-11-01 02,978
3,2017-11-01 02,62
4,2017-11-01 02,73
5,2017-11-01 02,80
6,2017-11-01 02,171
7,2017-11-01 02,37
8,2017-11-01 02,96
9,2017-11-01 02,134
10,2017-11-01 02,3
11,2017-11-01 02,163
12,2017-11-01 02,20
13,2017-11-01 02,20
14,2017-11-01 02,4
15,2017-11-01 02,9
16,2017-11-01 02,20
17,2017-11-01 02,68
18,2017-11-01 02,224
19,2017-11-01 02,100
20,2017-11-01 02,20
21,2017-11-01 02,525
22,2017-11-01 02,5
23,2017-11-01 02,333
24,2017-11-01 02,2
25,2017-11-01 02,767
26,2017-11-01 02,20
27,2017-11-01 02,20
28,2017-11-01 02,31
29,2017-11-01 02,20
30,2017-11-01 02,97
31,2017-11-01 02,88
32,2017-11-01 02,9
33,2017-11-01 02,20
1,2017-11-01 03,181
2,2017-11-01 03,982
3,2017-11-01 03,46
4,2017-11-01 03,64
5,2017-11-01 03,73
6,2017-11-01 03,158
7,2017-11-01 03,63
8,2017-11-01 03,63
9,2017-11-01 03,85
10,2017-11-01 03,20
11,2017-11-01 03,156
12,2017-11-01 03,20
13,2017-11-01 03,20
14,2017-11-01 03,19
15,2017-11-01 03,12
16,2017-11-01 03,20
17,2017-11-01 03,65
18,2017-11-01 03,262
19,2017-11-01 03,86
