loc_id,time_stamp,num_of_people
1,2017-12-01 00,579.072
2,2017-12-01 00,750.336
3,2017-12-01 00,165.888
4,2017-12-01 00,211.584
5,2017-12-01 00,264.38399999999996
6,2017-12-01 00,382.08
7,2017-12-01 00,190.07999999999998
8,2017-12-01 00,85.056
9,2017-12-01 00,417.216
10,2017-12-01 00,28.991999999999997
11,2017-12-01 00,389.37600000000003
12,2017-12-01 00,106.752
13,2017-12-01 00,69.696
14,2017-12-01 00,39.36
15,2017-12-01 00,20.543999999999997
16,2017-12-01 00,10.943999999999999
17,2017-12-01 00,389.952
18,2017-12-01 00,611.52
19,2017-12-01 00,382.848
20,2017-12-01 00,39.936
21,2017-12-01 00,403.968
22,2017-12-01 00,5.04
23,2017-12-01 00,511.296
24,2017-12-01 00,14.016
25,2017-12-01 00,487.488
26,2017-12-01 00,51.647999999999996
27,2017-12-01 00,22.464
28,2017-12-01 00,324.67199999999997
29,2017-12-01 00,37.632
30,2017-12-01 00,471.74399999999997
31,2017-12-01 00,208.896
32,2017-12-01 00,59.135999999999996
33,2017-12-01 00,19.584
1,2017-12-01 01,403.776
2,2017-12-01 01,830.784
3,2017-12-01 01,44.352000000000004
4,2017-12-01 01,167.04
5,2017-12-01 01,145.344
6,2017-12-01 01,182.208
7,2017-12-01 01,115.19999999999999
8,2017-12-01 01,23.04
9,2017-12-01 01,299.712
10,2017-12-01 01,9.408
11,2017-12-01 01,229.82399999999998
12,2017-12-01 01,38.976
13,2017-12-01 01,28.032
14,2017-12-01 01,43.775999999999996
15,2017-12-01 01,12.48
16,2017-12-01 01,6.528
17,2017-12-01 01,157.824
18,2017-12-01 01,353.28
19,2017-12-01 01,232.896
20,2017-12-01 01,22.656
21,2017-12-01 01,468.71999999999997
22,2017-12-01 01,3.84
23,2017-12-01 01,383.616
24,2017-12-01 01,3.456
25,2017-12-01 01,507.59999999999997
26,2017-12-01 01,28.799999999999997
27,2017-12-01 01,23.808
28,2017-12-01 01,166.07999999999998
29,2017-12-01 01,10.368
30,2017-12-01 01,419.328
31,2017-12-01 01,107.52
32,2017-12-01 01,10.751999999999999
33,2017-12-01 01,21.311999999999998
1,2017-12-01 02,257.664
2,2017-12-01 02,867.8399999999999
3,2017-12-01 02,32.832
4,2017-12-01 02,128.64
5,2017-12-01 02,115.008
6,2017-12-01 02,180.288
7,2017-12-01 02,73.92
8,2017-12-01 02,14.208
9,2017-12-01 02,220.608
10,2017-12-01 02,5.568
11,2017-12-01 02,220.416
12,2017-12-01 02,15.552
13,2017-12-01 02,17.471999999999998
14,2017-12-01 02,31.872
15,2017-12-01 02,10.751999999999999
16,2017-12-01 02,6.528
17,2017-12-01 02,110.01599999999999
18,2017-12-01 02,212.544
19,2017-12-01 02,176.064
20,2017-12-01 02,31.104
21,2017-12-01 02,285.84
22,2017-12-01 02,2.88
23,2017-12-01 02,376.32
24,2017-12-01 02,2.88
25,2017-12-01 02,428.15999999999997
26,2017-12-01 02,10.751999999999999
27,2017-12-01 02,17.856
28,2017-12-01 02,102.72
29,2017-12-01 02,5.184
30,2017-12-01 02,365.76
31,2017-12-01 02,78.52799999999999
32,2017-12-01 02,7.104
33,2017-12-01 02,15.36
1,2017-12-01 03,309.696
2,2017-12-01 03,895.2959999999999
3,2017-12-01 03,27.84
