date,AQI,rate,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017-01-01,470,严重污染,454,516,8,6.7,141,6
2017-01-02,248,重度污染,198,332,13,3.8,102,38
2017-01-03,348,严重污染,298,386,17,5.9,144,17
2017-01-04,389,严重污染,339,435,18,7.4,150,13
2017-01-05,270,重度污染,220,303,16,5.3,109,11
2017-01-06,248,重度污染,198,199,25,4.3,108,14
2017-01-07,216,重度污染,166,171,18,3.3,82,10
2017-01-08,54,良,34,58,10,0.9,34,55
2017-01-09,62,良,36,74,7,0.8,39,49
2017-01-10,45,优,25,45,8,0.7,36,61
2017-01-11,94,良,57,83,19,1.6,75,18
2017-01-12,62,良,41,61,12,0.9,49,48
2017-01-13,34,优,8,22,5,0.4,22,68
2017-01-14,57,良,20,42,11,0.9,45,50
2017-01-15,73,良,53,71,11,1,50,31
2017-01-16,123,轻度污染,93,106,18,1.7,67,8
2017-01-17,178,中度污染,134,153,21,2.1,73,19
2017-01-18,64,良,38,60,10,0.8,51,38
2017-01-19,69,良,44,87,14,1.2,37,67
2017-01-20,45,优,25,41,9,0.8,36,59
2017-01-21,46,优,24,46,9,0.7,29,72
2017-01-22,53,良,25,37,12,0.8,42,50
2017-01-23,62,良,36,51,14,1,49,44
2017-01-24,118,轻度污染,89,107,29,2.1,76,28
2017-01-25,228,重度污染,178,185,39,3.3,94,29
2017-01-26,202,重度污染,152,113,26,2.5,61,70
2017-01-27,104,轻度污染,78,133,25,0.8,31,76
2017-01-28,395,严重污染,345,423,84,2.7,71,26
2017-01-29,56,良,30,61,9,0.6,15,71
2017-01-30,43,优,29,43,11,0.6,22,72
2017-01-31,102,轻度污染,76,82,27,1.3,42,60
2017-02-01,55,良,38,59,16,0.6,28,67
2017-02-02,108,轻度污染,81,105,30,1.6,63,50
2017-02-03,216,重度污染,166,196,45,2.7,87,49
2017-02-04,295,重度污染,245,300,49,3.2,93,55
2017-02-05,43,优,12,18,7,0.5,25,85
2017-02-06,38,优,15,28,8,0.5,30,70
2017-02-07,107,轻度污染,80,98,21,1.6,62,37
2017-02-08,42,优,29,41,7,0.7,25,80
2017-02-09,41,优,7,22,3,0.3,12,81
2017-02-10,43,优,7,23,3,0.3,17,85
2017-02-11,73,良,53,73,21,0.9,49,75
2017-02-12,140,轻度污染,107,138,42,2.4,81,41
2017-02-13,113,轻度污染,85,118,25,2.1,70,67
2017-02-14,233,重度污染,183,184,31,2.9,99,19
2017-02-15,282,重度污染,232,185,38,3.2,110,46
2017-02-16,129,轻度污染,98,41,18,1.3,52,68
2017-02-17,49,优,24,49,8,0.6,32,78
2017-02-18,117,轻度污染,88,124,27,1.7,77,50
2017-02-19,124,轻度污染,94,138,23,1.4,59,84
2017-02-20,37,优,12,34,5,0.5,27,74
2017-02-21,83,良,61,90,15,1.3,58,33
2017-02-22,100,良,75,38,7,1,40,71
2017-02-23,43,优,19,34,7,0.6,34,77
2017-02-24,58,良,25,39,9,0.8,46,75
2017-02-25,43,优,11,23,6,0.5,32,85
2017-02-26,68,良,29,49,10,0.8,54,71
2017-02-27,99,良,66,96,17,1.4,79,52
2017-02-28,43,优,14,29,6,0.5,34,86
2017-03-01,47,优,8,41,3,0.3,13,93
2017-03-02,68,良,40,80,13,0.9,54,68
2017-03-03,109,轻度污染,82,142,23,1.4,68,59
2017-03-04,115,轻度污染,87,111,26,1.6,74,81
2017-03-05,42,优,12,33,4,0.4,19,84
2017-03-06,45,优,16,45,6,0.6,34,80
2017-03-07,40,优,7,24,3,0.3,15,80
2017-03-08,45,优,10,30,3,0.4,24,90
2017-03-09,49,优,13,35,4,0.5,39,82
2017-03-10,80,良,34,66,12,0.8,64,85
2017-03-11,66,良,44,81,15,0.8,48,87
2017-03-12,44,优,7,28,3,0.3,13,87
2017-03-13,44,优,11,30,5,0.4,32,87
2017-03-14,54,良,21,52,8,0.6,43,85
2017-03-15,88,良,65,97,22,1.1,69,76
2017-03-16,148,轻度污染,113,156,25,1.3,87,80
2017-03-17,163,中度污染,124,167,19,1.1,71,77
2017-03-18,195,中度污染,146,179,16,1.2,68,135
2017-03-19,272,重度污染,222,248,33,2,81,145
2017-03-20,180,中度污染,136,196,19,1.4,73,60
2017-03-21,115,轻度污染,87,122,7,0.8,47,98
2017-03-22,179,中度污染,135,174,19,1.3,80,74
2017-03-23,159,中度污染,121,116,6,1.6,59,54
2017-03-24,82,良,60,0,2,1,49,49
2017-03-25,49,优,34,29,3,0.8,35,83
2017-03-26,45,优,12,28,3,0.3,23,90
2017-03-27,45,优,17,37,3,0.4,35,90
2017-03-28,82,良,60,95,9,0.6,51,101
2017-03-29,148,轻度污染,113,140,11,0.9,64,106
2017-03-30,114,轻度污染,86,134,16,1.2,56,82
2017-03-31,48,优,20,48,4,0.4,34,89
2017-04-01,69,良,31,78,7,0.6,55,86
2017-04-02,93,良,68,113,14,1.1,74,96
2017-04-03,165,中度污染,125,172,21,1.2,78,154
2017-04-04,163,中度污染,124,149,19,1.1,60,100
2017-04-05,83,良,61,76,5,0.6,29,128
2017-04-06,129,轻度污染,98,134,6,0.9,45,125
2017-04-07,102,轻度污染,76,123,8,0.8,48,74
2017-04-08,104,轻度污染,78,138,7,1,63,60
2017-04-09,87,良,64,104,7,0.9,47,95
2017-04-10,89,良,66,120,9,0.7,59,91
2017-04-11,59,良,27,68,4,0.4,34,95
2017-04-12,71,良,29,92,5,0.6,52,93
2017-04-13,92,良,54,134,14,1.1,66,76
2017-04-14,93,良,59,136,6,0.9,67,98
2017-04-15,71,良,36,92,5,0.5,52,117
2017-04-16,128,轻度污染,97,178,17,1,72,107
2017-04-17,162,中度污染,123,219,8,0.9,56,94
2017-04-18,66,良,24,82,2,0.3,22,97
2017-04-19,89,良,44,119,7,0.8,71,35
2017-04-20,70,良,37,90,3,0.7,44,89
2017-04-21,57,良,19,63,2,0.3,23,102
2017-04-22,87,良,45,124,8,0.5,44,120
2017-04-23,63,良,24,76,4,0.4,24,113
2017-04-24,67,良,34,84,5,0.5,31,111
2017-04-25,41,优,13,41,3,0.3,26,76
2017-04-26,52,良,14,41,3,0.3,30,102
2017-04-27,55,良,15,50,2,0.3,35,105
2017-04-28,63,良,23,68,3,0.4,39,115
2017-04-29,79,良,40,107,3,0.4,43,124
2017-04-30,108,轻度污染,50,165,5,0.5,44,136
2017-05-01,81,良,39,111,8,0.7,46,121
2017-05-02,129,轻度污染,61,134,10,1,53,191
2017-05-03,93,良,69,118,9,0.8,47,118
2017-05-04,500,严重污染,359,820,2,0.3,23,100
2017-05-05,411,严重污染,172,511,4,0.3,24,89
2017-05-06,74,良,33,97,3,0.4,37,112
2017-05-07,82,良,28,78,5,0.4,41,138
2017-05-08,102,轻度污染,56,114,8,0.6,55,162
2017-05-09,100,良,44,97,7,0.5,26,160
2017-05-10,79,良,39,75,4,0.5,32,134
2017-05-11,92,良,30,134,3,0.3,32,98
2017-05-12,109,轻度污染,45,168,5,0.4,26,142
2017-05-13,63,良,19,76,2,0.3,18,90
2017-05-14,68,良,12,38,2,0.3,16,121
2017-05-15,80,良,22,65,7,0.6,26,136
2017-05-16,127,轻度污染,43,91,10,0.6,31,189
2017-05-17,184,中度污染,63,121,9,0.7,37,249
2017-05-18,201,重度污染,81,147,11,0.8,51,270
2017-05-19,185,中度污染,82,153,9,0.8,40,250
2017-05-20,169,中度污染,57,128,9,0.7,38,234
2017-05-21,113,轻度污染,56,93,15,0.9,27,174
2017-05-22,54,良,37,58,7,1.1,37,52
2017-05-23,70,良,19,40,3,0.4,36,123
2017-05-24,82,良,17,55,4,0.4,46,138
2017-05-25,100,良,21,84,6,0.6,39,160
