time_stamp,temperature,pressure,humidity,wind_direction,wind_speed,weather
2017-01-30 16:00:00,-1.6,1026.1,14,231,2.5,Sunny/clear
2017-01-30 17:00:00,-2,1025.9,16,234,1.9,Sunny/clear
2017-01-30 18:00:00,-2.9,1025.6,18,242,1.2,Sunny/clear
2017-01-30 19:00:00,-3,1025.2,20,254,1.1,Sunny/clear
2017-01-30 20:00:00,-3.8,1024.3,23,999017,0,Sunny/clear
2017-01-30 21:00:00,-3.7,1023.9,24,76,0.5,Sunny/clear
2017-01-30 22:00:00,-3.8,1023.4,29,999017,0.2,Sunny/clear
2017-01-30 23:00:00,-4.3,1023.6,29,238,0.3,Sunny/clear
2017-01-31 00:00:00,-5.3,1023.7,31,999017,0.2,Sunny/clear
2017-01-31 01:00:00,-3.9,1023.7,35,226,0.7,Sunny/clear
2017-01-31 02:00:00,0.7,1023.5,15,5,0.6,Sunny/clear
2017-01-31 03:00:00,1.1,1023.4,14,199,0.9,Sunny/clear
2017-01-31 04:00:00,3.3,1022.3,12,187,0.6,Sunny/clear
2017-01-31 05:00:00,4.7,1020.9,12,223,1,Sunny/clear
2017-01-31 06:00:00,5.5,1020.2,11,267,1.3,Sunny/clear
2017-01-31 07:00:00,5.6,1019.8,11,225,2.3,Sunny/clear
2017-01-31 08:00:00,5,1020.1,12,212,2.7,Sunny/clear
2017-01-31 09:00:00,3.9,1021.1,13,191,1.8,Sunny/clear
2017-01-31 10:00:00,1.2,1021.9,17,252,0.9,Sunny/clear
2017-01-31 11:00:00,-1.2,1022.8,24,236,0.8,Sunny/clear
2017-01-31 12:00:00,-4,1023.7,29,4,0.5,Sunny/clear
2017-01-31 13:00:00,-1.3,1024.9,20,57,0.8,Sunny/clear
2017-01-31 14:00:00,-0.3,1025.8,18,19,1.8,Sunny/clear
2017-01-31 15:00:00,0.1,1026.9,18,13,2.6,Sunny/clear
2017-01-31 16:00:00,-0.8,1027.8,19,30,1.7,Sunny/clear
2017-01-31 17:00:00,-1,1028.5,20,21,2.5,Sunny/clear
2017-01-31 18:00:00,-1.4,1029.2,19,22,2.2,Sunny/clear
2017-01-31 19:00:00,-1.7,1029.9,19,42,2.7,Sunny/clear
2017-01-31 20:00:00,-2,1030.4,19,29,2.3,Sunny/clear
2017-01-31 21:00:00,-2.2,1031.3,20,27,2.4,Sunny/clear
2017-01-31 22:00:00,-3,1032.2,21,36,2.1,Sunny/clear
2017-01-31 23:00:00,-4.7,1032.8,27,69,1,Sunny/clear
2017-02-01 00:00:00,-5.5,1033.9,30,50,1.1,Sunny/clear
2017-02-01 01:00:00,-3.5,1034.2,23,49,2.7,Sunny/clear
2017-02-01 02:00:00,-0.7,1034.1,17,40,3.2,Sunny/clear
2017-02-01 03:00:00,1.1,1033.9,14,34,2.1,Sunny/clear
2017-02-01 04:00:00,2.5,1033.1,13,46,1.8,Sunny/clear
2017-02-01 05:00:00,4.4,1032.1,9,172,1.2,Sunny/clear
2017-02-01 06:00:00,5.5,1031.2,9,101,1.3,Sunny/clear
2017-02-01 07:00:00,4.9,1030.8,10,219,2.2,Sunny/clear
2017-02-01 08:00:00,4.8,1030.5,11,193,2,Sunny/clear
2017-02-01 09:00:00,2.8,1030.4,14,220,2.9,Sunny/clear
2017-02-01 10:00:00,0.9,1030.3,18,227,2.3,Sunny/clear
2017-02-01 11:00:00,0.3,1030.3,20,217,1.9,Sunny/clear
2017-02-01 12:00:00,-2.5,1029.8,27,229,1.5,Sunny/clear
2017-02-01 13:00:00,-4.6,1029.7,42,235,1.2,Sunny/clear
2017-02-01 14:00:00,-5.6,1029.5,39,271,0.6,Sunny/clear
2017-02-01 15:00:00,-6.5,1029.3,43,43,0.6,Sunny/clear
2017-02-01 16:00:00,-7.9,1029.1,55,6,0.3,Haze
2017-02-01 17:00:00,-8.5,1029,60,45,0.4,Sunny/clear
2017-02-01 18:00:00,-8.9,1028.8,62,326,0.3,Sunny/clear
2017-02-01 19:00:00,-9.7,1028.3,70,292,0.4,Sunny/clear
2017-02-01 20:00:00,-10.2,1028,73,999017,0.1,Sunny/clear
2017-02-01 21:00:00,-10.1,1027.6,74,28,1.1,Sunny/clear
2017-02-01 22:00:00,-8.1,1027.2,49,49,1,Sunny/clear
2017-02-01 23:00:00,-9.3,1027,57,999017,0.1,Sunny/clear
2017-02-02 00:00:00,-10,1027.4,61,208,0.4,Sunny/clear
2017-02-02 01:00:00,-5.1,1027.2,41,32,1.3,Sunny/clear
