date,AQI,rate,PM2.5,PM10,SO2,CO,NO2,O3_8h
2017-01-01,470,2,454,516,8,6.7,141,6
2017-01-02,248,1,198,332,13,3.8,102,38
2017-01-03,348,2,298,386,17,5.9,144,17
2017-01-04,389,2,339,435,18,7.4,150,13
2017-01-05,270,1,220,303,16,5.3,109,11
2017-01-06,248,1,198,199,25,4.3,108,14
2017-01-07,216,1,166,171,18,3.3,82,10
2017-01-08,54,5,34,58,10,0.9,34,55
2017-01-09,62,5,36,74,7,0.8,39,49
2017-01-10,45,6,25,45,8,0.7,36,61
2017-01-11,94,5,57,83,19,1.6,75,18
2017-01-12,62,5,41,61,12,0.9,49,48
2017-01-13,34,6,8,22,5,0.4,22,68
2017-01-14,57,5,20,42,11,0.9,45,50
2017-01-15,73,5,53,71,11,1.0,50,31
2017-01-16,123,4,93,106,18,1.7,67,8
2017-01-17,178,3,134,153,21,2.1,73,19
2017-01-18,64,5,38,60,10,0.8,51,38
2017-01-19,69,5,44,87,14,1.2,37,67
2017-01-20,45,6,25,41,9,0.8,36,59
2017-01-21,46,6,24,46,9,0.7,29,72
2017-01-22,53,5,25,37,12,0.8,42,50
2017-01-23,62,5,36,51,14,1.0,49,44
2017-01-24,118,4,89,107,29,2.1,76,28
2017-01-25,228,1,178,185,39,3.3,94,29
2017-01-26,202,1,152,113,26,2.5,61,70
2017-01-27,104,4,78,133,25,0.8,31,76
2017-01-28,395,2,345,423,84,2.7,71,26
2017-01-29,56,5,30,61,9,0.6,15,71
2017-01-30,43,6,29,43,11,0.6,22,72
2017-01-31,102,4,76,82,27,1.3,42,60
2017-02-01,55,5,38,59,16,0.6,28,67
2017-02-02,108,4,81,105,30,1.6,63,50
2017-02-03,216,1,166,196,45,2.7,87,49
2017-02-04,295,1,245,300,49,3.2,93,55
2017-02-05,43,6,12,18,7,0.5,25,85
2017-02-06,38,6,15,28,8,0.5,30,70
2017-02-07,107,4,80,98,21,1.6,62,37
2017-02-08,42,6,29,41,7,0.7,25,80
2017-02-09,41,6,7,22,3,0.3,12,81
2017-02-10,43,6,7,23,3,0.3,17,85
2017-02-11,73,5,53,73,21,0.9,49,75
2017-02-12,140,4,107,138,42,2.4,81,41
2017-02-13,113,4,85,118,25,2.1,70,67
2017-02-14,233,1,183,184,31,2.9,99,19
2017-02-15,282,1,232,185,38,3.2,110,46
2017-02-16,129,4,98,41,18,1.3,52,68
2017-02-17,49,6,24,49,8,0.6,32,78
2017-02-18,117,4,88,124,27,1.7,77,50
2017-02-19,124,4,94,138,23,1.4,59,84
2017-02-20,37,6,12,34,5,0.5,27,74
2017-02-21,83,5,61,90,15,1.3,58,33
2017-02-22,100,5,75,38,7,1.0,40,71
2017-02-23,43,6,19,34,7,0.6,34,77
2017-02-24,58,5,25,39,9,0.8,46,75
2017-02-25,43,6,11,23,6,0.5,32,85
2017-02-26,68,5,29,49,10,0.8,54,71
2017-02-27,99,5,66,96,17,1.4,79,52
2017-02-28,43,6,14,29,6,0.5,34,86
2017-03-01,47,6,8,41,3,0.3,13,93
2017-03-02,68,5,40,80,13,0.9,54,68
2017-03-03,109,4,82,142,23,1.4,68,59
2017-03-04,115,4,87,111,26,1.6,74,81
2017-03-05,42,6,12,33,4,0.4,19,84
2017-03-06,45,6,16,45,6,0.6,34,80
2017-03-07,40,6,7,24,3,0.3,15,80
2017-03-08,45,6,10,30,3,0.4,24,90
2017-03-09,49,6,13,35,4,0.5,39,82
2017-03-10,80,5,34,66,12,0.8,64,85
2017-03-11,66,5,44,81,15,0.8,48,87
2017-03-12,44,6,7,28,3,0.3,13,87
2017-03-13,44,6,11,30,5,0.4,32,87
2017-03-14,54,5,21,52,8,0.6,43,85
2017-03-15,88,5,65,97,22,1.1,69,76
2017-03-16,148,4,113,156,25,1.3,87,80
2017-03-17,163,3,124,167,19,1.1,71,77
2017-03-18,195,3,146,179,16,1.2,68,135
2017-03-19,272,1,222,248,33,2.0,81,145
2017-03-20,180,3,136,196,19,1.4,73,60
2017-03-21,115,4,87,122,7,0.8,47,98
2017-03-22,179,3,135,174,19,1.3,80,74
2017-03-23,159,3,121,116,6,1.6,59,54
2017-03-24,82,5,60,0,2,1.0,49,49
2017-03-25,49,6,34,29,3,0.8,35,83
2017-03-26,45,6,12,28,3,0.3,23,90
2017-03-27,45,6,17,37,3,0.4,35,90
2017-03-28,82,5,60,95,9,0.6,51,101
2017-03-29,148,4,113,140,11,0.9,64,106
2017-03-30,114,4,86,134,16,1.2,56,82
2017-03-31,48,6,20,48,4,0.4,34,89
2017-04-01,69,5,31,78,7,0.6,55,86
2017-04-02,93,5,68,113,14,1.1,74,96
2017-04-03,165,3,125,172,21,1.2,78,154
