loc_id,time_stamp,num_of_people
1,2017-12-01 00,597.168
2,2017-12-01 00,773.784
3,2017-12-01 00,171.072
4,2017-12-01 00,218.196
5,2017-12-01 00,272.64599999999996
6,2017-12-01 00,394.02
7,2017-12-01 00,196.02
8,2017-12-01 00,87.714
9,2017-12-01 00,430.254
10,2017-12-01 00,29.898
11,2017-12-01 00,401.54400000000004
12,2017-12-01 00,110.08800000000001
13,2017-12-01 00,71.874
14,2017-12-01 00,40.589999999999996
15,2017-12-01 00,21.186
16,2017-12-01 00,11.286
17,2017-12-01 00,402.138
18,2017-12-01 00,630.63
19,2017-12-01 00,394.812
20,2017-12-01 00,41.184
21,2017-12-01 00,416.592
22,2017-12-01 00,5.1975
23,2017-12-01 00,527.274
24,2017-12-01 00,14.453999999999999
25,2017-12-01 00,502.722
26,2017-12-01 00,53.26199999999999
27,2017-12-01 00,23.165999999999997
28,2017-12-01 00,334.818
29,2017-12-01 00,38.808
30,2017-12-01 00,486.486
31,2017-12-01 00,215.424
32,2017-12-01 00,60.984
33,2017-12-01 00,20.195999999999998
1,2017-12-01 01,416.394
2,2017-12-01 01,856.746
3,2017-12-01 01,45.738
4,2017-12-01 01,172.26
5,2017-12-01 01,149.886
6,2017-12-01 01,187.90200000000002
7,2017-12-01 01,118.8
8,2017-12-01 01,23.759999999999998
9,2017-12-01 01,309.078
10,2017-12-01 01,9.702
11,2017-12-01 01,237.006
12,2017-12-01 01,40.194
13,2017-12-01 01,28.907999999999998
14,2017-12-01 01,45.144
15,2017-12-01 01,12.87
16,2017-12-01 01,6.732
17,2017-12-01 01,162.756
18,2017-12-01 01,364.32
19,2017-12-01 01,240.17399999999998
20,2017-12-01 01,23.364
21,2017-12-01 01,483.3675
22,2017-12-01 01,3.96
23,2017-12-01 01,395.60400000000004
24,2017-12-01 01,10003.564
25,2017-12-01 01,523.4625
26,2017-12-01 01,29.7
27,2017-12-01 01,24.552
28,2017-12-01 01,171.27
29,2017-12-01 01,10.692
30,2017-12-01 01,432.432
31,2017-12-01 01,110.88
32,2017-12-01 01,11.088
33,2017-12-01 01,21.977999999999998
1,2017-12-01 02,227.865000000033
2,2017-12-01 02,894.96
3,2017-12-01 02,33.858000000000004
4,2017-12-01 02,132.66
5,2017-12-01 02,118.60199999999999
6,2017-12-01 02,185.922
7,2017-12-01 02,64.67999999996701
8,2017-12-01 02,14.652000000000001
9,2017-12-01 02,227.502
10,2017-12-01 02,5.742
11,2017-12-01 02,227.304
12,2017-12-01 02,16.038
13,2017-12-01 02,18.018
14,2017-12-01 02,32.868
15,2017-12-01 02,11.088
16,2017-12-01 02,6.732
17,2017-12-01 02,95.535
18,2017-12-01 02,185.790000000033
19,2017-12-01 02,181.566
20,2017-12-01 02,32.076
21,2017-12-01 02,294.7725
22,2017-12-01 02,2.9699999999999998
23,2017-12-01 02,388.08
24,2017-12-01 02,2.9699999999999998
25,2017-12-01 02,441.54
26,2017-12-01 02,11.088
27,2017-12-01 02,18.414
28,2017-12-01 02,105.92999999999999
29,2017-12-01 02,5.346
30,2017-12-01 02,318.450000000033
31,2017-12-01 02,80.982
32,2017-12-01 02,7.3260000000000005
33,2017-12-01 02,15.84
1,2017-12-01 03,303.600000000033
2,2017-12-01 03,783.9149999999671
3,2017-12-01 03,28.71
4,2017-12-01 03,66.33
5,2017-12-01 03,159.885
6,2017-12-01 03,147.51
7,2017-12-01 03,72.599999999967
8,2017-12-01 03,20.955000000033
9,2017-12-01 03,155.100000000033
10,2017-12-01 03,3.96
11,2017-12-01 03,175.559999999967
12,2017-12-01 03,21.945000000032998
13,2017-12-01 03,14.355
14,2017-12-01 03,36.464999999967
15,2017-12-01 03,11.219999999967
16,2017-12-01 03,7.7549999999670005
17,2017-12-01 03,165.990000000033
18,2017-12-01 03,269.94000000003297
19,2017-12-01 03,125.564999999967
20,2017-12-01 03,18.644999999967002
21,2017-12-01 03,268.619999999967
22,2017-12-01 03,3.7125
23,2017-12-01 03,310.199999999967
24,2017-12-01 03,3.7125
25,2017-12-01 03,281.984999999967
26,2017-12-01 03,13.530000000033
27,2017-12-01 03,21.945000000032998
28,2017-12-01 03,118.30499999999999
29,2017-12-01 03,4.125000000033
30,2017-12-01 03,402.764999999967
31,2017-12-01 03,49.829999999966994
32,2017-12-01 03,6.764999999967
33,2017-12-01 03,22.604999999967
1,2017-12-01 04,270.599999999967
2,2017-12-01 04,928.4549999999671
3,2017-12-01 04,31.350000000033
4,2017-12-01 04,100.155000000033
5,2017-12-01 04,162.35999999999999
6,2017-12-01 04,170.60999999996702
7,2017-12-01 04,60.719999999966994
8,2017-12-01 04,31.185
9,2017-12-01 04,142.56
10,2017-12-01 04,14.85
11,2017-12-01 04,211.530000000033
12,2017-12-01 04,32.999999999966995
13,2017-12-01 04,19.8
14,2017-12-01 04,36.959999999966996
15,2017-12-01 04,12.045000000033001
16,2017-12-01 04,8.415
17,2017-12-01 04,116.654999999967
18,2017-12-01 04,231.165
19,2017-12-01 04,178.529999999967
20,2017-12-01 04,25.905000000033
21,2017-12-01 04,375.21
22,2017-12-01 04,2.9699999999999998
23,2017-12-01 04,401.115000000033
24,2017-12-01 04,3.465
25,2017-12-01 04,398.145000000033
26,2017-12-01 04,23.099999999967
27,2017-12-01 04,27.554999999967002
28,2017-12-01 04,86.295000000033
29,2017-12-01 04,19.965000000032997
30,2017-12-01 04,405.734999999967
31,2017-12-01 04,59.4
32,2017-12-01 04,6.600000000032999
33,2017-12-01 04,24.915000000033
1,2017-12-01 05,288.419999999967
