loc_id,time_stamp,num_of_people
1,2017-12-01 00,609.2320000000001
2,2017-12-01 00,789.416
3,2017-12-01 00,174.52800000000002
4,2017-12-01 00,222.604
5,2017-12-01 00,278.154
6,2017-12-01 00,401.98
7,2017-12-01 00,199.98
8,2017-12-01 00,89.48599999999999
9,2017-12-01 00,438.946
10,2017-12-01 00,30.502
11,2017-12-01 00,409.656
12,2017-12-01 00,112.312
13,2017-12-01 00,73.326
14,2017-12-01 00,41.410000000000004
15,2017-12-01 00,21.613999999999997
16,2017-12-01 00,11.514000000000001
17,2017-12-01 00,410.262
18,2017-12-01 00,643.37
19,2017-12-01 00,402.788
20,2017-12-01 00,42.016000000000005
21,2017-12-01 00,425.00800000000004
22,2017-12-01 00,5.3025
23,2017-12-01 00,537.926
24,2017-12-01 00,14.746
25,2017-12-01 00,512.878
26,2017-12-01 00,54.338
27,2017-12-01 00,23.634
28,2017-12-01 00,341.582
29,2017-12-01 00,39.592000000000006
30,2017-12-01 00,496.31399999999996
31,2017-12-01 00,219.77599999999998
32,2017-12-01 00,62.216
33,2017-12-01 00,20.604
1,2017-12-01 01,424.80600000000004
2,2017-12-01 01,874.054
3,2017-12-01 01,46.662000000000006
4,2017-12-01 01,175.74
5,2017-12-01 01,152.91400000000002
6,2017-12-01 01,191.698
7,2017-12-01 01,121.2
8,2017-12-01 01,24.240000000000002
9,2017-12-01 01,315.322
10,2017-12-01 01,9.898000000000001
11,2017-12-01 01,241.794
12,2017-12-01 01,41.006
13,2017-12-01 01,29.492
14,2017-12-01 01,46.056000000000004
15,2017-12-01 01,13.13
16,2017-12-01 01,6.867999999999999
17,2017-12-01 01,166.044
18,2017-12-01 01,371.68
19,2017-12-01 01,245.026
20,2017-12-01 01,23.836000000000002
21,2017-12-01 01,493.1325
22,2017-12-01 01,4.04
23,2017-12-01 01,403.596
24,2017-12-01 01,10003.636
25,2017-12-01 01,534.0375
26,2017-12-01 01,30.3
27,2017-12-01 01,25.048000000000002
28,2017-12-01 01,174.73
29,2017-12-01 01,10.908000000000001
30,2017-12-01 01,441.168
31,2017-12-01 01,113.12
32,2017-12-01 01,11.312
33,2017-12-01 01,22.422
1,2017-12-01 02,232.46833333336699
2,2017-12-01 02,913.04
3,2017-12-01 02,34.542
