loc_id,time_stamp,num_of_people
1,2017-06-01 00,169
2,2017-06-01 00,301
3,2017-06-01 00,65
4,2017-06-01 00,83
5,2017-06-01 00,190
6,2017-06-01 00,111
7,2017-06-01 00,97
8,2017-06-01 00,76
9,2017-06-01 00,128
10,2017-06-01 00,48
11,2017-06-01 00,280
12,2017-06-01 00,66
13,2017-06-01 00,44
14,2017-06-01 00,30
15,2017-06-01 00,36
16,2017-06-01 00,31
17,2017-06-01 00,179
18,2017-06-01 00,385
19,2017-06-01 00,155
20,2017-06-01 00,41
21,2017-06-01 00,160
22,2017-06-01 00,28
23,2017-06-01 00,276
24,2017-06-01 00,31
25,2017-06-01 00,156
26,2017-06-01 00,38
27,2017-06-01 00,33
28,2017-06-01 00,114
29,2017-06-01 00,79
30,2017-06-01 00,308
31,2017-06-01 00,94
32,2017-06-01 00,43
33,2017-06-01 00,33
1,2017-06-01 01,134
2,2017-06-01 01,290
3,2017-06-01 01,42
4,2017-06-01 01,57
5,2017-06-01 01,157
6,2017-06-01 01,86
7,2017-06-01 01,92
8,2017-06-01 01,38
9,2017-06-01 01,102
10,2017-06-01 01,37
11,2017-06-01 01,226
12,2017-06-01 01,35
13,2017-06-01 01,28
14,2017-06-01 01,30
15,2017-06-01 01,31
16,2017-06-01 01,31
17,2017-06-01 01,107
18,2017-06-01 01,336
19,2017-06-01 01,112
20,2017-06-01 01,30
21,2017-06-01 01,97
22,2017-06-01 01,27
23,2017-06-01 01,261
24,2017-06-01 01,30
25,2017-06-01 01,126
26,2017-06-01 01,29
27,2017-06-01 01,30
28,2017-06-01 01,79
29,2017-06-01 01,72
30,2017-06-01 01,302
31,2017-06-01 01,66
32,2017-06-01 01,28
33,2017-06-01 01,31
1,2017-06-01 02,99
2,2017-06-01 02,300
3,2017-06-01 02,32
4,2017-06-01 02,46
5,2017-06-01 02,119
6,2017-06-01 02,69
7,2017-06-01 02,76
8,2017-06-01 02,35
9,2017-06-01 02,101
10,2017-06-01 02,32
11,2017-06-01 02,201
12,2017-06-01 02,31
13,2017-06-01 02,28
14,2017-06-01 02,29
15,2017-06-01 02,31
16,2017-06-01 02,31
17,2017-06-01 02,64
18,2017-06-01 02,229
19,2017-06-01 02,83
20,2017-06-01 02,29
21,2017-06-01 02,82
22,2017-06-01 02,27
23,2017-06-01 02,195
24,2017-06-01 02,30
25,2017-06-01 02,89
26,2017-06-01 02,28
27,2017-06-01 02,31
28,2017-06-01 02,66
29,2017-06-01 02,60
30,2017-06-01 02,238
31,2017-06-01 02,63
32,2017-06-01 02,28
33,2017-06-01 02,31
1,2017-06-01 03,121
2,2017-06-01 03,304
3,2017-06-01 03,34
4,2017-06-01 03,41
5,2017-06-01 03,138
6,2017-06-01 03,56
7,2017-06-01 03,78
8,2017-06-01 03,34
9,2017-06-01 03,98
10,2017-06-01 03,32
11,2017-06-01 03,140
12,2017-06-01 03,32
13,2017-06-01 03,28
14,2017-06-01 03,30
15,2017-06-01 03,31
16,2017-06-01 03,31
17,2017-06-01 03,69
18,2017-06-01 03,251
19,2017-06-01 03,70
20,2017-06-01 03,29
21,2017-06-01 03,70
22,2017-06-01 03,27
23,2017-06-01 03,158
24,2017-06-01 03,30
25,2017-06-01 03,74
26,2017-06-01 03,28
27,2017-06-01 03,30
28,2017-06-01 03,56
29,2017-06-01 03,49
30,2017-06-01 03,238
31,2017-06-01 03,54
32,2017-06-01 03,28
33,2017-06-01 03,30
1,2017-06-01 04,117
2,2017-06-01 04,298
3,2017-06-01 04,33
4,2017-06-01 04,50
5,2017-06-01 04,151
6,2017-06-01 04,62
7,2017-06-01 04,72
8,2017-06-01 04,62
9,2017-06-01 04,104
10,2017-06-01 04,36
11,2017-06-01 04,147
12,2017-06-01 04,52
13,2017-06-01 04,28
14,2017-06-01 04,29
15,2017-06-01 04,31
16,2017-06-01 04,31
17,2017-06-01 04,80
18,2017-06-01 04,218
19,2017-06-01 04,73
20,2017-06-01 04,29
21,2017-06-01 04,73
22,2017-06-01 04,27
23,2017-06-01 04,144
24,2017-06-01 04,30
25,2017-06-01 04,89
26,2017-06-01 04,28
27,2017-06-01 04,29
28,2017-06-01 04,60
29,2017-06-01 04,67
30,2017-06-01 04,304
31,2017-06-01 04,58
32,2017-06-01 04,28
33,2017-06-01 04,31
1,2017-06-01 05,132
2,2017-06-01 05,316
3,2017-06-01 05,47
4,2017-06-01 05,54
5,2017-06-01 05,146
6,2017-06-01 05,62
7,2017-06-01 05,77
8,2017-06-01 05,134
9,2017-06-01 05,126
10,2017-06-01 05,90
11,2017-06-01 05,146
12,2017-06-01 05,144
13,2017-06-01 05,37
14,2017-06-01 05,30
15,2017-06-01 05,35
16,2017-06-01 05,31
17,2017-06-01 05,81
18,2017-06-01 05,268
19,2017-06-01 05,74
20,2017-06-01 05,31
21,2017-06-01 05,93
22,2017-06-01 05,27
23,2017-06-01 05,141
24,2017-06-01 05,32
25,2017-06-01 05,91
26,2017-06-01 05,36
27,2017-06-01 05,35
28,2017-06-01 05,68
29,2017-06-01 05,125
30,2017-06-01 05,304
31,2017-06-01 05,78
32,2017-06-01 05,28
33,2017-06-01 05,38
1,2017-06-01 06,185
2,2017-06-01 06,298
3,2017-06-01 06,151
4,2017-06-01 06,77
5,2017-06-01 06,172
6,2017-06-01 06,102
7,2017-06-01 06,93
8,2017-06-01 06,291
9,2017-06-01 06,103
10,2017-06-01 06,150
11,2017-06-01 06,219
12,2017-06-01 06,305
13,2017-06-01 06,54
14,2017-06-01 06,49
15,2017-06-01 06,85
16,2017-06-01 06,74
17,2017-06-01 06,118
18,2017-06-01 06,258
19,2017-06-01 06,93
20,2017-06-01 06,50
21,2017-06-01 06,116
22,2017-06-01 06,34
23,2017-06-01 06,144
24,2017-06-01 06,74
25,2017-06-01 06,149
26,2017-06-01 06,60
27,2017-06-01 06,77
28,2017-06-01 06,103
29,2017-06-01 06,225
30,2017-06-01 06,300
31,2017-06-01 06,187
32,2017-06-01 06,55
33,2017-06-01 06,90
1,2017-06-01 07,330
2,2017-06-01 07,456
3,2017-06-01 07,540
4,2017-06-01 07,235
5,2017-06-01 07,318
6,2017-06-01 07,256
7,2017-06-01 07,171
8,2017-06-01 07,1259
9,2017-06-01 07,173
10,2017-06-01 07,532
11,2017-06-01 07,368
12,2017-06-01 07,1397
13,2017-06-01 07,133
14,2017-06-01 07,196
15,2017-06-01 07,274
16,2017-06-01 07,243
17,2017-06-01 07,370
18,2017-06-01 07,349
19,2017-06-01 07,343
20,2017-06-01 07,191
21,2017-06-01 07,312
22,2017-06-01 07,100
23,2017-06-01 07,211
24,2017-06-01 07,275
25,2017-06-01 07,364
26,2017-06-01 07,143
27,2017-06-01 07,200
28,2017-06-01 07,305
29,2017-06-01 07,772
30,2017-06-01 07,453
31,2017-06-01 07,718
32,2017-06-01 07,206
33,2017-06-01 07,241
1,2017-06-01 08,536
2,2017-06-01 08,466
3,2017-06-01 08,1185
4,2017-06-01 08,478
5,2017-06-01 08,479
6,2017-06-01 08,470
7,2017-06-01 08,294
8,2017-06-01 08,2306
9,2017-06-01 08,269
10,2017-06-01 08,1137
11,2017-06-01 08,522
12,2017-06-01 08,2391
13,2017-06-01 08,290
14,2017-06-01 08,298
15,2017-06-01 08,405
16,2017-06-01 08,488
17,2017-06-01 08,752
18,2017-06-01 08,412
19,2017-06-01 08,320
20,2017-06-01 08,872
21,2017-06-01 08,620
22,2017-06-01 08,204
23,2017-06-01 08,336
24,2017-06-01 08,341
25,2017-06-01 08,709
26,2017-06-01 08,301
27,2017-06-01 08,430
28,2017-06-01 08,640
29,2017-06-01 08,1438
30,2017-06-01 08,503
31,2017-06-01 08,1120
32,2017-06-01 08,457
33,2017-06-01 08,421
1,2017-06-01 09,442
2,2017-06-01 09,409
3,2017-06-01 09,768
4,2017-06-01 09,305
5,2017-06-01 09,373
6,2017-06-01 09,399
7,2017-06-01 09,269
8,2017-06-01 09,1652
9,2017-06-01 09,260
10,2017-06-01 09,507
11,2017-06-01 09,487
12,2017-06-01 09,1719
13,2017-06-01 09,162
14,2017-06-01 09,302
15,2017-06-01 09,578
16,2017-06-01 09,500
17,2017-06-01 09,502
18,2017-06-01 09,456
19,2017-06-01 09,278
20,2017-06-01 09,896
21,2017-06-01 09,483
22,2017-06-01 09,242
23,2017-06-01 09,297
24,2017-06-01 09,378
25,2017-06-01 09,535
26,2017-06-01 09,166
27,2017-06-01 09,465
28,2017-06-01 09,402
29,2017-06-01 09,689
30,2017-06-01 09,495
31,2017-06-01 09,919
32,2017-06-01 09,292
33,2017-06-01 09,471
1,2017-06-01 10,322
2,2017-06-01 10,342
3,2017-06-01 10,711
4,2017-06-01 10,228
5,2017-06-01 10,317
6,2017-06-01 10,329
7,2017-06-01 10,232
8,2017-06-01 10,1216
9,2017-06-01 10,230
10,2017-06-01 10,416
11,2017-06-01 10,410
12,2017-06-01 10,1243
13,2017-06-01 10,109
14,2017-06-01 10,265
15,2017-06-01 10,379
16,2017-06-01 10,450
17,2017-06-01 10,354
18,2017-06-01 10,322
19,2017-06-01 10,265
20,2017-06-01 10,643
21,2017-06-01 10,301
22,2017-06-01 10,227
23,2017-06-01 10,277
24,2017-06-01 10,353
25,2017-06-01 10,357
26,2017-06-01 10,117
27,2017-06-01 10,383
28,2017-06-01 10,290
29,2017-06-01 10,593
30,2017-06-01 10,397
31,2017-06-01 10,802
32,2017-06-01 10,240
33,2017-06-01 10,400
1,2017-06-01 11,463
2,2017-06-01 11,550
3,2017-06-01 11,1189
4,2017-06-01 11,352
5,2017-06-01 11,394
6,2017-06-01 11,533
7,2017-06-01 11,293
8,2017-06-01 11,2956
9,2017-06-01 11,278
10,2017-06-01 11,1843
11,2017-06-01 11,579
12,2017-06-01 11,3236
13,2017-06-01 11,174
14,2017-06-01 11,318
15,2017-06-01 11,436
16,2017-06-01 11,553
17,2017-06-01 11,600
18,2017-06-01 11,337
19,2017-06-01 11,413
20,2017-06-01 11,1274
21,2017-06-01 11,519
22,2017-06-01 11,349
23,2017-06-01 11,392
24,2017-06-01 11,521
25,2017-06-01 11,620
26,2017-06-01 11,229
27,2017-06-01 11,426
28,2017-06-01 11,506
29,2017-06-01 11,2200
30,2017-06-01 11,517
31,2017-06-01 11,1425
32,2017-06-01 11,382
33,2017-06-01 11,499
1,2017-06-01 12,603
2,2017-06-01 12,712
3,2017-06-01 12,1741
4,2017-06-01 12,534
5,2017-06-01 12,501
6,2017-06-01 12,829
7,2017-06-01 12,320
8,2017-06-01 12,3335
9,2017-06-01 12,308
10,2017-06-01 12,2625
11,2017-06-01 12,741
12,2017-06-01 12,3334
13,2017-06-01 12,284
14,2017-06-01 12,313
15,2017-06-01 12,489
16,2017-06-01 12,543
17,2017-06-01 12,956
18,2017-06-01 12,515
19,2017-06-01 12,529
20,2017-06-01 12,965
21,2017-06-01 12,703
22,2017-06-01 12,284
23,2017-06-01 12,489
24,2017-06-01 12,507
25,2017-06-01 12,888
26,2017-06-01 12,387
27,2017-06-01 12,308
28,2017-06-01 12,701
29,2017-06-01 12,2942
30,2017-06-01 12,768
31,2017-06-01 12,2039
32,2017-06-01 12,568
33,2017-06-01 12,394
1,2017-06-01 13,474
2,2017-06-01 13,605
3,2017-06-01 13,1119
4,2017-06-01 13,392
5,2017-06-01 13,406
6,2017-06-01 13,543
7,2017-06-01 13,284
8,2017-06-01 13,1765
9,2017-06-01 13,286
10,2017-06-01 13,804
11,2017-06-01 13,592
12,2017-06-01 13,1759
13,2017-06-01 13,222
14,2017-06-01 13,269
15,2017-06-01 13,427
16,2017-06-01 13,534
17,2017-06-01 13,648
18,2017-06-01 13,431
19,2017-06-01 13,498
20,2017-06-01 13,610
21,2017-06-01 13,533
22,2017-06-01 13,281
23,2017-06-01 13,380
24,2017-06-01 13,348
25,2017-06-01 13,585
26,2017-06-01 13,259
27,2017-06-01 13,298
28,2017-06-01 13,535
29,2017-06-01 13,1313
30,2017-06-01 13,537
31,2017-06-01 13,1423
32,2017-06-01 13,353
33,2017-06-01 13,365
1,2017-06-01 14,370
2,2017-06-01 14,394
3,2017-06-01 14,849
4,2017-06-01 14,351
5,2017-06-01 14,347
6,2017-06-01 14,449
7,2017-06-01 14,213
8,2017-06-01 14,1436
9,2017-06-01 14,212
10,2017-06-01 14,455
11,2017-06-01 14,526
12,2017-06-01 14,1326
13,2017-06-01 14,223
14,2017-06-01 14,254
15,2017-06-01 14,363
16,2017-06-01 14,598
17,2017-06-01 14,541
18,2017-06-01 14,480
19,2017-06-01 14,249
20,2017-06-01 14,895
21,2017-06-01 14,532
22,2017-06-01 14,244
23,2017-06-01 14,346
24,2017-06-01 14,292
25,2017-06-01 14,553
26,2017-06-01 14,223
27,2017-06-01 14,333
28,2017-06-01 14,452
29,2017-06-01 14,633
30,2017-06-01 14,467
31,2017-06-01 14,1023
32,2017-06-01 14,303
33,2017-06-01 14,353
1,2017-06-01 15,337
2,2017-06-01 15,481
3,2017-06-01 15,739
4,2017-06-01 15,256
5,2017-06-01 15,309
6,2017-06-01 15,415
7,2017-06-01 15,245
8,2017-06-01 15,1418
9,2017-06-01 15,252
10,2017-06-01 15,669
11,2017-06-01 15,493
12,2017-06-01 15,1260
13,2017-06-01 15,197
14,2017-06-01 15,215
15,2017-06-01 15,486
16,2017-06-01 15,666
17,2017-06-01 15,423
18,2017-06-01 15,431
19,2017-06-01 15,338
20,2017-06-01 15,784
21,2017-06-01 15,368
22,2017-06-01 15,343
23,2017-06-01 15,307
24,2017-06-01 15,332
25,2017-06-01 15,470
26,2017-06-01 15,209
27,2017-06-01 15,525
28,2017-06-01 15,326
29,2017-06-01 15,921
30,2017-06-01 15,499
31,2017-06-01 15,1024
32,2017-06-01 15,237
33,2017-06-01 15,522
1,2017-06-01 16,330
2,2017-06-01 16,399
3,2017-06-01 16,638
4,2017-06-01 16,224
5,2017-06-01 16,303
6,2017-06-01 16,292
7,2017-06-01 16,216
8,2017-06-01 16,1399
9,2017-06-01 16,213
10,2017-06-01 16,789
11,2017-06-01 16,416
12,2017-06-01 16,1302
13,2017-06-01 16,138
14,2017-06-01 16,209
15,2017-06-01 16,333
16,2017-06-01 16,553
17,2017-06-01 16,370
18,2017-06-01 16,297
19,2017-06-01 16,248
20,2017-06-01 16,631
21,2017-06-01 16,303
22,2017-06-01 16,214
23,2017-06-01 16,321
24,2017-06-01 16,289
25,2017-06-01 16,428
26,2017-06-01 16,185
27,2017-06-01 16,530
28,2017-06-01 16,295
29,2017-06-01 16,821
30,2017-06-01 16,424
31,2017-06-01 16,810
32,2017-06-01 16,256
33,2017-06-01 16,526
1,2017-06-01 17,546
2,2017-06-01 17,672
3,2017-06-01 17,1455
4,2017-06-01 17,408
5,2017-06-01 17,479
6,2017-06-01 17,552
7,2017-06-01 17,308
8,2017-06-01 17,2998
9,2017-06-01 17,298
10,2017-06-01 17,2013
11,2017-06-01 17,691
12,2017-06-01 17,2979
13,2017-06-01 17,254
14,2017-06-01 17,335
15,2017-06-01 17,484
16,2017-06-01 17,776
