loc_id,time_stamp,num_of_people
1,2017-11-01 00,393
2,2017-11-01 00,535
3,2017-11-01 00,127
4,2017-11-01 00,160
5,2017-11-01 00,233
6,2017-11-01 00,256
7,2017-11-01 00,92
8,2017-11-01 00,68
9,2017-11-01 00,229
10,2017-11-01 00,40
11,2017-11-01 00,382
12,2017-11-01 00,73
13,2017-11-01 00,66
14,2017-11-01 00,46
15,2017-11-01 00,19
16,2017-11-01 00,10
17,2017-11-01 00,363
18,2017-11-01 00,435
19,2017-11-01 00,193
20,2017-11-01 00,68
21,2017-11-01 00,481
22,2017-11-01 00,5
23,2017-11-01 00,411
24,2017-11-01 00,7
25,2017-11-01 00,555
26,2017-11-01 00,45
27,2017-11-01 00,18
28,2017-11-01 00,235
29,2017-11-01 00,54
30,2017-11-01 00,400
31,2017-11-01 00,212
32,2017-11-01 00,51
33,2017-11-01 00,16
1,2017-11-01 01,193
2,2017-11-01 01,570
3,2017-11-01 01,108
4,2017-11-01 01,77
5,2017-11-01 01,119
6,2017-11-01 01,143
7,2017-11-01 01,65
8,2017-11-01 01,24
9,2017-11-01 01,135
10,2017-11-01 01,6
11,2017-11-01 01,226
12,2017-11-01 01,40
13,2017-11-01 01,15
14,2017-11-01 01,42
15,2017-11-01 01,12
16,2017-11-01 01,9
17,2017-11-01 01,130
18,2017-11-01 01,280
19,2017-11-01 01,155
20,2017-11-01 01,43
21,2017-11-01 01,300
22,2017-11-01 01,3
23,2017-11-01 01,304
24,2017-11-01 01,4
25,2017-11-01 01,420
26,2017-11-01 01,16
27,2017-11-01 01,17
28,2017-11-01 01,74
29,2017-11-01 01,6
30,2017-11-01 01,212
31,2017-11-01 01,104
32,2017-11-01 01,74
33,2017-11-01 01,16
1,2017-11-01 02,177
2,2017-11-01 02,587
3,2017-11-01 02,100
4,2017-11-01 02,55
5,2017-11-01 02,108
6,2017-11-01 02,143
7,2017-11-01 02,47
8,2017-11-01 02,14
9,2017-11-01 02,107
10,2017-11-01 02,4
11,2017-11-01 02,179
12,2017-11-01 02,29
13,2017-11-01 02,10
14,2017-11-01 02,40
15,2017-11-01 02,9
16,2017-11-01 02,7
17,2017-11-01 02,105
18,2017-11-01 02,275
19,2017-11-01 02,125
20,2017-11-01 02,25
21,2017-11-01 02,300
22,2017-11-01 02,3
23,2017-11-01 02,290
24,2017-11-01 02,2
25,2017-11-01 02,396
26,2017-11-01 02,11
27,2017-11-01 02,22
28,2017-11-01 02,61
29,2017-11-01 02,3
30,2017-11-01 02,245
31,2017-11-01 02,106
32,2017-11-01 02,75
33,2017-11-01 02,15
1,2017-11-01 03,166
2,2017-11-01 03,528
3,2017-11-01 03,90
4,2017-11-01 03,45
5,2017-11-01 03,91
