loc_id,time_stamp,data_mean_week_hour
1,2017-12-01 00,389.0
2,2017-12-01 00,637.5
3,2017-12-01 00,129.0
4,2017-12-01 00,232.5
5,2017-12-01 00,196.0
6,2017-12-01 00,354.5
7,2017-12-01 00,172.0
8,2017-12-01 00,70.0
9,2017-12-01 00,406.0
10,2017-12-01 00,31.5
11,2017-12-01 00,365.0
12,2017-12-01 00,111.5
13,2017-12-01 00,76.0
14,2017-12-01 00,60.0
15,2017-12-01 00,24.5
16,2017-12-01 00,14.5
17,2017-12-01 00,226.5
18,2017-12-01 00,555.5
19,2017-12-01 00,377.5
20,2017-12-01 00,36.0
21,2017-12-01 00,489.0
22,2017-12-01 00,3.5
23,2017-12-01 00,570.0
24,2017-12-01 00,7.5
25,2017-12-01 00,421.5
26,2017-12-01 00,60.0
27,2017-12-01 00,16.0
28,2017-12-01 00,137.5
29,2017-12-01 00,47.0
30,2017-12-01 00,340.5
31,2017-12-01 00,187.5
32,2017-12-01 00,23.5
33,2017-12-01 00,20.0
1,2017-12-01 01,410.5
2,2017-12-01 01,807.0
3,2017-12-01 01,60.5
4,2017-12-01 01,200.0
5,2017-12-01 01,121.0
6,2017-12-01 01,169.0
7,2017-12-01 01,113.0
8,2017-12-01 01,18.5
9,2017-12-01 01,258.0
10,2017-12-01 01,11.0
11,2017-12-01 01,231.0
12,2017-12-01 01,44.5
13,2017-12-01 01,34.0
14,2017-12-01 01,76.0
15,2017-12-01 01,10.5
16,2017-12-01 01,8.0
17,2017-12-01 01,127.0
18,2017-12-01 01,337.0
19,2017-12-01 01,191.0
20,2017-12-01 01,17.5
21,2017-12-01 01,566.5
22,2017-12-01 01,2.5
23,2017-12-01 01,485.5
24,2017-12-01 01,1.0
25,2017-12-01 01,577.5
26,2017-12-01 01,34.5
27,2017-12-01 01,17.0
28,2017-12-01 01,66.5
29,2017-12-01 01,12.0
30,2017-12-01 01,238.0
31,2017-12-01 01,139.0
32,2017-12-01 01,13.5
33,2017-12-01 01,18.5
1,2017-12-01 02,242.5
2,2017-12-01 02,812.5
3,2017-12-01 02,56.0
4,2017-12-01 02,156.5
5,2017-12-01 02,87.5
6,2017-12-01 02,178.5
7,2017-12-01 02,50.0
8,2017-12-01 02,9.5
9,2017-12-01 02,179.5
10,2017-12-01 02,5.5
11,2017-12-01 02,190.5
12,2017-12-01 02,10.0
13,2017-12-01 02,17.5
14,2017-12-01 02,46.5
15,2017-12-01 02,10.5
16,2017-12-01 02,8.5
17,2017-12-01 02,73.0
18,2017-12-01 02,205.0
19,2017-12-01 02,110.0
20,2017-12-01 02,26.5
21,2017-12-01 02,293.0
22,2017-12-01 02,2.0
23,2017-12-01 02,469.0
24,2017-12-01 02,1.0
25,2017-12-01 02,521.5
26,2017-12-01 02,9.5
27,2017-12-01 02,18.5
28,2017-12-01 02,66.0
29,2017-12-01 02,4.5
30,2017-12-01 02,158.5
31,2017-12-01 02,93.0
32,2017-12-01 02,9.5
33,2017-12-01 02,15.5
1,2017-12-01 03,255.5
2,2017-12-01 03,865.5
3,2017-12-01 03,48.0
4,2017-12-01 03,88.0
5,2017-12-01 03,116.0
6,2017-12-01 03,143.5
7,2017-12-01 03,80.0
8,2017-12-01 03,14.5
9,2017-12-01 03,180.5
10,2017-12-01 03,3.0
11,2017-12-01 03,153.0
12,2017-12-01 03,23.0
13,2017-12-01 03,15.5
14,2017-12-01 03,37.0
15,2017-12-01 03,10.0
16,2017-12-01 03,7.5
17,2017-12-01 03,75.5
18,2017-12-01 03,266.0
19,2017-12-01 03,97.0
20,2017-12-01 03,14.5
21,2017-12-01 03,428.0
22,2017-12-01 03,2.0
23,2017-12-01 03,407.5
24,2017-12-01 03,
25,2017-12-01 03,476.5
26,2017-12-01 03,14.5
27,2017-12-01 03,16.0
28,2017-12-01 03,46.5
29,2017-12-01 03,2.5
30,2017-12-01 03,218.0
31,2017-12-01 03,72.0
32,2017-12-01 03,8.5
33,2017-12-01 03,16.0
1,2017-12-01 04,268.0
2,2017-12-01 04,975.0
3,2017-12-01 04,52.5
4,2017-12-01 04,123.0
5,2017-12-01 04,194.0
6,2017-12-01 04,152.5
7,2017-12-01 04,60.5
8,2017-12-01 04,25.0
9,2017-12-01 04,188.5
10,2017-12-01 04,13.5
11,2017-12-01 04,168.5
12,2017-12-01 04,28.5
13,2017-12-01 04,18.0
14,2017-12-01 04,39.0
15,2017-12-01 04,10.5
16,2017-12-01 04,11.0
17,2017-12-01 04,101.5
18,2017-12-01 04,146.5
19,2017-12-01 04,116.0
20,2017-12-01 04,17.5
21,2017-12-01 04,417.0
22,2017-12-01 04,1.5
23,2017-12-01 04,384.5
24,2017-12-01 04,4.0
25,2017-12-01 04,508.0
26,2017-12-01 04,27.5
27,2017-12-01 04,17.0
28,2017-12-01 04,51.5
29,2017-12-01 04,18.0
30,2017-12-01 04,141.5
31,2017-12-01 04,86.5
32,2017-12-01 04,7.0
33,2017-12-01 04,13.5
1,2017-12-01 05,263.5
2,2017-12-01 05,944.0
3,2017-12-01 05,79.0
4,2017-12-01 05,105.5
5,2017-12-01 05,102.5
6,2017-12-01 05,144.0
7,2017-12-01 05,70.0
8,2017-12-01 05,62.0
9,2017-12-01 05,180.5
10,2017-12-01 05,25.5
11,2017-12-01 05,175.0
12,2017-12-01 05,66.0
13,2017-12-01 05,43.0
14,2017-12-01 05,22.5
15,2017-12-01 05,19.0
16,2017-12-01 05,11.0
17,2017-12-01 05,81.5
18,2017-12-01 05,189.0
19,2017-12-01 05,140.0
20,2017-12-01 05,17.5
21,2017-12-01 05,370.5
22,2017-12-01 05,1.5
23,2017-12-01 05,477.0
24,2017-12-01 05,6.5
25,2017-12-01 05,447.5
26,2017-12-01 05,35.5
27,2017-12-01 05,16.0
28,2017-12-01 05,60.0
29,2017-12-01 05,43.5
30,2017-12-01 05,303.0
31,2017-12-01 05,96.0
32,2017-12-01 05,16.5
33,2017-12-01 05,17.5
1,2017-12-01 06,263.5
2,2017-12-01 06,670.5
3,2017-12-01 06,88.5
