loc_id,time_stamp,num_of_people
1,2017-12-01 00,660.0
2,2017-12-01 00,750.0
3,2017-12-01 00,128.0
4,2017-12-01 00,189.0
5,2017-12-01 00,259.0
6,2017-12-01 00,371.0
7,2017-12-01 00,206.0
8,2017-12-01 00,78.0
9,2017-12-01 00,418.0
10,2017-12-01 00,29.0
11,2017-12-01 00,419.0
12,2017-12-01 00,89.0
13,2017-12-01 00,54.0
14,2017-12-01 00,42.0
15,2017-12-01 00,23.0
16,2017-12-01 00,8.0
17,2017-12-01 00,394.0
18,2017-12-01 00,623.0
19,2017-12-01 00,392.0
20,2017-12-01 00,47.0
21,2017-12-01 00,474.0
22,2017-12-01 00,5.0
23,2017-12-01 00,563.0
24,2017-12-01 00,9.0
25,2017-12-01 00,565.0
26,2017-12-01 00,43.0
27,2017-12-01 00,24.0
28,2017-12-01 00,232.0
29,2017-12-01 00,28.0
30,2017-12-01 00,407.0
31,2017-12-01 00,242.0
32,2017-12-01 00,19.0
33,2017-12-01 00,21.0
1,2017-12-01 01,427.0
2,2017-12-01 01,957.0
3,2017-12-01 01,38.0
4,2017-12-01 01,148.0
5,2017-12-01 01,151.0
6,2017-12-01 01,162.0
7,2017-12-01 01,111.0
8,2017-12-01 01,20.0
9,2017-12-01 01,356.0
10,2017-12-01 01,10.0
11,2017-12-01 01,232.0
12,2017-12-01 01,36.0
13,2017-12-01 01,32.0
14,2017-12-01 01,34.0
15,2017-12-01 01,11.0
16,2017-12-01 01,6.0
17,2017-12-01 01,165.0
18,2017-12-01 01,420.0
19,2017-12-01 01,207.0
20,2017-12-01 01,17.0
21,2017-12-01 01,430.0
22,2017-12-01 01,4.0
23,2017-12-01 01,414.0
24,2017-12-01 01,4.0
25,2017-12-01 01,510.5
26,2017-12-01 01,34.0
27,2017-12-01 01,21.0
28,2017-12-01 01,112.0
29,2017-12-01 01,11.0
30,2017-12-01 01,307.0
31,2017-12-01 01,84.0
32,2017-12-01 01,10.0
33,2017-12-01 01,17.0
1,2017-12-01 02,256.5
2,2017-12-01 02,786.0
3,2017-12-01 02,20.0
4,2017-12-01 02,111.5
5,2017-12-01 02,112.0
6,2017-12-01 02,184.0
7,2017-12-01 02,57.5
8,2017-12-01 02,12.0
9,2017-12-01 02,290.0
10,2017-12-01 02,6.0
11,2017-12-01 02,227.0
12,2017-12-01 02,14.0
13,2017-12-01 02,13.0
14,2017-12-01 02,19.0
15,2017-12-01 02,10.0
16,2017-12-01 02,6.0
17,2017-12-01 02,104.0
18,2017-12-01 02,205.0
19,2017-12-01 02,162.0
20,2017-12-01 02,24.0
21,2017-12-01 02,302.5
22,2017-12-01 02,2.0
23,2017-12-01 02,368.0
24,2017-12-01 02,3.0
25,2017-12-01 02,448.0
26,2017-12-01 02,12.0
27,2017-12-01 02,22.0
28,2017-12-01 02,82.0
29,2017-12-01 02,4.0
30,2017-12-01 02,221.5
31,2017-12-01 02,75.0
32,2017-12-01 02,4.0
33,2017-12-01 02,17.0
1,2017-12-01 03,255.5
2,2017-12-01 03,791.0
3,2017-12-01 03,18.0
4,2017-12-01 03,81.5
5,2017-12-01 03,116.0
6,2017-12-01 03,143.5
7,2017-12-01 03,75.0
8,2017-12-01 03,16.5
9,2017-12-01 03,145.5
10,2017-12-01 03,4.5
11,2017-12-01 03,181.5
12,2017-12-01 03,18.5
13,2017-12-01 03,13.0
14,2017-12-01 03,34.0
15,2017-12-01 03,11.5
16,2017-12-01 03,8.5
17,2017-12-01 03,113.0
18,2017-12-01 03,247.5
19,2017-12-01 03,133.5
