loc_id,time_stamp,num_of_people
1,2017-12-01 00,603.2
2,2017-12-01 00,781.6
3,2017-12-01 00,172.8
4,2017-12-01 00,220.4
5,2017-12-01 00,275.4
6,2017-12-01 00,398.0
7,2017-12-01 00,198.0
8,2017-12-01 00,88.6
9,2017-12-01 00,434.6
10,2017-12-01 00,30.2
11,2017-12-01 00,405.6
12,2017-12-01 00,111.2
13,2017-12-01 00,72.6
14,2017-12-01 00,41.0
15,2017-12-01 00,21.4
16,2017-12-01 00,11.4
17,2017-12-01 00,406.2
18,2017-12-01 00,637.0
19,2017-12-01 00,398.8
20,2017-12-01 00,41.6
21,2017-12-01 00,420.8
22,2017-12-01 00,5.25
23,2017-12-01 00,532.6
24,2017-12-01 00,14.6
25,2017-12-01 00,507.8
26,2017-12-01 00,53.8
27,2017-12-01 00,23.4
28,2017-12-01 00,338.2
29,2017-12-01 00,39.2
30,2017-12-01 00,491.4
31,2017-12-01 00,217.6
32,2017-12-01 00,61.6
33,2017-12-01 00,20.4
1,2017-12-01 01,420.6
2,2017-12-01 01,865.4
3,2017-12-01 01,46.2
4,2017-12-01 01,174.0
5,2017-12-01 01,151.4
6,2017-12-01 01,189.8
7,2017-12-01 01,120.0
8,2017-12-01 01,24.0
9,2017-12-01 01,312.2
10,2017-12-01 01,9.8
11,2017-12-01 01,239.4
12,2017-12-01 01,40.6
13,2017-12-01 01,29.2
14,2017-12-01 01,45.6
15,2017-12-01 01,13.0
16,2017-12-01 01,6.8
17,2017-12-01 01,164.4
18,2017-12-01 01,368.0
19,2017-12-01 01,242.6
20,2017-12-01 01,23.6
21,2017-12-01 01,488.25
22,2017-12-01 01,4.0
23,2017-12-01 01,399.6
24,2017-12-01 01,3.6
25,2017-12-01 01,528.75
26,2017-12-01 01,30.0
27,2017-12-01 01,24.8
28,2017-12-01 01,173.0
29,2017-12-01 01,10.8
30,2017-12-01 01,436.8
31,2017-12-01 01,112.0
32,2017-12-01 01,11.2
33,2017-12-01 01,22.2
1,2017-12-01 02,268.4
2,2017-12-01 02,904.0
3,2017-12-01 02,34.2
4,2017-12-01 02,134.0
5,2017-12-01 02,119.8
6,2017-12-01 02,187.8
7,2017-12-01 02,77.0
8,2017-12-01 02,14.8
9,2017-12-01 02,229.8
10,2017-12-01 02,5.8
11,2017-12-01 02,229.6
12,2017-12-01 02,16.2
13,2017-12-01 02,18.2
14,2017-12-01 02,33.2
15,2017-12-01 02,11.2
16,2017-12-01 02,6.8
17,2017-12-01 02,114.6
18,2017-12-01 02,221.4
19,2017-12-01 02,183.4
20,2017-12-01 02,32.4
21,2017-12-01 02,297.75
22,2017-12-01 02,3.0
23,2017-12-01 02,392.0
24,2017-12-01 02,3.0
25,2017-12-01 02,446.0
26,2017-12-01 02,11.2
27,2017-12-01 02,18.6
28,2017-12-01 02,107.0
29,2017-12-01 02,5.4
30,2017-12-01 02,381.0
31,2017-12-01 02,81.8
32,2017-12-01 02,7.4
33,2017-12-01 02,16.0
1,2017-12-01 03,322.6
2,2017-12-01 03,932.6
3,2017-12-01 03,29.0
4,2017-12-01 03,79.0
5,2017-12-01 03,186.2
6,2017-12-01 03,163.8
7,2017-12-01 03,72.4
8,2017-12-01 03,23.8
9,2017-12-01 03,180.4
10,2017-12-01 03,4.0
11,2017-12-01 03,194.2
12,2017-12-01 03,24.8
13,2017-12-01 03,15.8
14,2017-12-01 03,30.2
15,2017-12-01 03,11.2
16,2017-12-01 03,7.8
17,2017-12-01 03,174.2
18,2017-12-01 03,269.8
19,2017-12-01 03,148.0
20,2017-12-01 03,20.8
21,2017-12-01 03,297.4
22,2017-12-01 03,3.75
23,2017-12-01 03,368.0
24,2017-12-01 03,4.666666666666667
25,2017-12-01 03,314.2
26,2017-12-01 03,14.8
27,2017-12-01 03,24.0
28,2017-12-01 03,142.2
29,2017-12-01 03,4.8
30,2017-12-01 03,437.0
31,2017-12-01 03,58.0
32,2017-12-01 03,7.6
33,2017-12-01 03,24.6
1,2017-12-01 04,283.8
2,2017-12-01 04,993.0
3,2017-12-01 04,34.4
4,2017-12-01 04,111.6
5,2017-12-01 04,168.6
6,2017-12-01 04,160.4
7,2017-12-01 04,55.8
8,2017-12-01 04,25.8
9,2017-12-01 04,149.8
10,2017-12-01 04,14.8
11,2017-12-01 04,204.4
12,2017-12-01 04,29.0
13,2017-12-01 04,18.4
14,2017-12-01 04,32.8
15,2017-12-01 04,12.0
16,2017-12-01 04,8.2
17,2017-12-01 04,130.2
18,2017-12-01 04,215.8
19,2017-12-01 04,150.0
20,2017-12-01 04,28.6
21,2017-12-01 04,339.6
22,2017-12-01 04,3.0
23,2017-12-01 04,375.8
24,2017-12-01 04,3.8
25,2017-12-01 04,395.0
26,2017-12-01 04,24.8
27,2017-12-01 04,30.0
28,2017-12-01 04,95.8
29,2017-12-01 04,20.2
30,2017-12-01 04,432.8
31,2017-12-01 04,62.2
32,2017-12-01 04,6.4
33,2017-12-01 04,26.8
1,2017-12-01 05,290.0
2,2017-12-01 05,1019.6
3,2017-12-01 05,50.2
4,2017-12-01 05,91.2
5,2017-12-01 05,148.2
6,2017-12-01 05,189.4
7,2017-12-01 05,67.2
8,2017-12-01 05,110.8
9,2017-12-01 05,129.8
10,2017-12-01 05,37.4
11,2017-12-01 05,211.0
12,2017-12-01 05,92.6
13,2017-12-01 05,30.0
14,2017-12-01 05,29.8
15,2017-12-01 05,18.8
16,2017-12-01 05,10.0
17,2017-12-01 05,164.0
18,2017-12-01 05,269.2
19,2017-12-01 05,181.2
20,2017-12-01 05,30.2
21,2017-12-01 05,328.4
22,2017-12-01 05,4.5
23,2017-12-01 05,449.0
24,2017-12-01 05,12.6
25,2017-12-01 05,343.8
26,2017-12-01 05,24.4
27,2017-12-01 05,21.0
28,2017-12-01 05,145.8
29,2017-12-01 05,57.8
30,2017-12-01 05,497.4
31,2017-12-01 05,81.6
32,2017-12-01 05,12.0
33,2017-12-01 05,22.8
1,2017-12-01 06,286.2
2,2017-12-01 06,709.2
3,2017-12-01 06,107.0
4,2017-12-01 06,210.4
5,2017-12-01 06,181.8
6,2017-12-01 06,220.8
7,2017-12-01 06,80.6
8,2017-12-01 06,382.4
9,2017-12-01 06,106.6
10,2017-12-01 06,130.4
11,2017-12-01 06,319.2
12,2017-12-01 06,398.4
13,2017-12-01 06,58.2
14,2017-12-01 06,65.2
15,2017-12-01 06,61.8
16,2017-12-01 06,57.0
17,2017-12-01 06,232.2
18,2017-12-01 06,336.0
19,2017-12-01 06,240.0
20,2017-12-01 06,54.8
21,2017-12-01 06,263.0
22,2017-12-01 06,11.6
23,2017-12-01 06,507.4
24,2017-12-01 06,115.6
25,2017-12-01 06,302.6
26,2017-12-01 06,75.2
27,2017-12-01 06,72.2
28,2017-12-01 06,192.0
29,2017-12-01 06,172.4
30,2017-12-01 06,466.0
31,2017-12-01 06,159.8
32,2017-12-01 06,48.4
33,2017-12-01 06,77.2
1,2017-12-01 07,533.0
2,2017-12-01 07,757.2
3,2017-12-01 07,744.25
4,2017-12-01 07,280.6
5,2017-12-01 07,445.2
6,2017-12-01 07,633.0
7,2017-12-01 07,278.8
