loc_id,time_stamp,num_of_people
1,2017-12-01 00,746
2,2017-12-01 00,877.6666666667
3,2017-12-01 00,202
4,2017-12-01 00,212.3333333333
5,2017-12-01 00,328.3333333333
6,2017-12-01 00,427
7,2017-12-01 00,215.3333333333
8,2017-12-01 00,101
9,2017-12-01 00,453.6666666667
10,2017-12-01 00,29.3333333333
11,2017-12-01 00,432.6666666667
12,2017-12-01 00,111
13,2017-12-01 00,70.3333333333
14,2017-12-01 00,28.3333333333
15,2017-12-01 00,19.3333333333
16,2017-12-01 00,4009.3333333333
17,2017-12-01 00,526
18,2017-12-01 00,691.3333333333
19,2017-12-01 00,413
20,2017-12-01 00,45.3333333333
21,2017-12-01 00,375.3333333333
22,2017-12-01 00,7
23,2017-12-01 00,507.6666666667
24,2017-12-01 00,19.3333333333
25,2017-12-01 00,565.3333333333
26,2017-12-01 00,49.6666666667
27,2017-12-01 00,28.3333333333
28,2017-12-01 00,472
29,2017-12-01 00,34
30,2017-12-01 00,592
31,2017-12-01 00,237.6666666667
32,2017-12-01 00,87
33,2017-12-01 00,20.6666666667
1,2017-12-01 01,427.3333333333
2,2017-12-01 01,904.3333333333
3,2017-12-01 01,36.6666666667
4,2017-12-01 01,148
5,2017-12-01 01,171.6666666667
6,2017-12-01 01,203.6666666667
7,2017-12-01 01,124.6666666667
8,2017-12-01 01,27.6666666667
9,2017-12-01 01,348.3333333333
10,2017-12-01 01,9
11,2017-12-01 01,245
12,2017-12-01 01,38
13,2017-12-01 01,26
14,2017-12-01 01,25.3333333333
15,2017-12-01 01,14.6666666667
16,2017-12-01 01,6
17,2017-12-01 01,189.3333333333
18,2017-12-01 01,388.6666666667
19,2017-12-01 01,277
20,2017-12-01 01,27.6666666667
21,2017-12-01 01,410
22,2017-12-01 01,5.5
23,2017-12-01 01,342.3333333333
24,2017-12-01 01,5.3333333333
25,2017-12-01 01,480
26,2017-12-01 01,27
27,2017-12-01 01,30
28,2017-12-01 01,244
29,2017-12-01 01,10
30,2017-12-01 01,569.3333333333
31,2017-12-01 01,94
32,2017-12-01 01,9.6666666667
33,2017-12-01 01,24.6666666667
1,2017-12-01 02,224
2,2017-12-01 02,965
3,2017-12-01 02,19.6666666667
4,2017-12-01 02,111.5
5,2017-12-01 02,141.3333333333
6,2017-12-01 02,194
7,2017-12-01 02,73
8,2017-12-01 02,18.3333333333
9,2017-12-01 02,263.3333333333
10,2017-12-01 02,6
11,2017-12-01 02,255.6666666667
12,2017-12-01 02,20.3333333333
13,2017-12-01 02,18.6666666667
14,2017-12-01 02,24.3333333333
15,2017-12-01 02,11.6666666667
16,2017-12-01 02,5.6666666667
17,2017-12-01 02,108.25
18,2017-12-01 02,179
19,2017-12-01 02,232.3333333333
20,2017-12-01 02,36.3333333333
21,2017-12-01 02,302.5
22,2017-12-01 02,3.6666666667
23,2017-12-01 02,340.6666666667
24,2017-12-01 02,3.6666666667
25,2017-12-01 02,370.5
26,2017-12-01 02,12.3333333333
27,2017-12-01 02,18.6666666667
28,2017-12-01 02,134.3333333333
29,2017-12-01 02,6
30,2017-12-01 02,403.25
31,2017-12-01 02,74.3333333333
32,2017-12-01 02,6
33,2017-12-01 02,16.3333333333
1,2017-12-01 03,332.25
2,2017-12-01 03,755
3,2017-12-01 03,16.3333333333
4,2017-12-01 03,56.5
5,2017-12-01 03,184.25
6,2017-12-01 03,151.75
7,2017-12-01 03,70
8,2017-12-01 03,24.5
9,2017-12-01 03,144.75
10,2017-12-01 03,4.5
11,2017-12-01 03,189.5
12,2017-12-01 03,21.75
13,2017-12-01 03,14
14,2017-12-01 03,36.75
15,2017-12-01 03,12
16,2017-12-01 03,8
17,2017-12-01 03,213.75
18,2017-12-01 03,276
19,2017-12-01 03,141.75
20,2017-12-01 03,21
21,2017-12-01 03,193
22,2017-12-01 03,5.5
23,2017-12-01 03,266.25
24,2017-12-01 03,3.75
25,2017-12-01 03,189
26,2017-12-01 03,13.25
27,2017-12-01 03,25.25
28,2017-12-01 03,156
29,2017-12-01 03,5
30,2017-12-01 03,501.25
31,2017-12-01 03,39.5
32,2017-12-01 03,6
33,2017-12-01 03,26.25
1,2017-12-01 04,276
2,2017-12-01 04,919.25
3,2017-12-01 04,21.25
4,2017-12-01 04,90.25
5,2017-12-01 04,149
6,2017-12-01 04,182.25
7,2017-12-01 04,61.75
8,2017-12-01 04,34.75
9,2017-12-01 04,121.75
10,2017-12-01 04,15.75
11,2017-12-01 04,236.25
12,2017-12-01 04,35.75
13,2017-12-01 04,21
14,2017-12-01 04,36.5
15,2017-12-01 04,13
16,2017-12-01 04,7.25
17,2017-12-01 04,126
18,2017-12-01 04,277
19,2017-12-01 04,212.5
20,2017-12-01 04,30.5
21,2017-12-01 04,360
22,2017-12-01 04,4.5
23,2017-12-01 04,415.5
24,2017-12-01 04,3.25
25,2017-12-01 04,349.25
26,2017-12-01 04,21.25
27,2017-12-01 04,33.25
28,2017-12-01 04,105
29,2017-12-01 04,21.25
30,2017-12-01 04,544
31,2017-12-01 04,46.75
32,2017-12-01 04,6.5
33,2017-12-01 04,31
1,2017-12-01 05,305.25
2,2017-12-01 05,1029
3,2017-12-01 05,27.25
4,2017-12-01 05,73.75
5,2017-12-01 05,177.25
6,2017-12-01 05,221.75
7,2017-12-01 05,74.25
8,2017-12-01 05,185.25
9,2017-12-01 05,102.25
10,2017-12-01 05,40.75
11,2017-12-01 05,238.5
12,2017-12-01 05,157.75
13,2017-12-01 05,23.5
14,2017-12-01 05,42.25
15,2017-12-01 05,17.5
16,2017-12-01 05,10
17,2017-12-01 05,183.75
18,2017-12-01 05,329.75
19,2017-12-01 05,251.25
20,2017-12-01 05,42.75
21,2017-12-01 05,390.5
22,2017-12-01 05,5.3333333333
23,2017-12-01 05,453.25
24,2017-12-01 05,13.5
25,2017-12-01 05,297.25
26,2017-12-01 05,15.75
27,2017-12-01 05,25.25
28,2017-12-01 05,171.25
29,2017-12-01 05,59.25
30,2017-12-01 05,540.5
31,2017-12-01 05,64.25
32,2017-12-01 05,8
33,2017-12-01 05,25.5
1,2017-12-01 06,297.25
2,2017-12-01 06,731.5
3,2017-12-01 06,122.5
4,2017-12-01 06,201.25
5,2017-12-01 06,195.5
6,2017-12-01 06,233.25
7,2017-12-01 06,98.5
8,2017-12-01 06,419.5
9,2017-12-01 06,116.75
10,2017-12-01 06,141.25
