loc_id,time_stamp,num_of_people
1,2017-12-01 00,591.1360000000001
2,2017-12-01 00,765.968
3,2017-12-01 00,169.344
4,2017-12-01 00,215.992
5,2017-12-01 00,269.892
6,2017-12-01 00,390.04
7,2017-12-01 00,194.04
8,2017-12-01 00,86.82799999999999
9,2017-12-01 00,425.908
10,2017-12-01 00,29.596
11,2017-12-01 00,397.488
12,2017-12-01 00,108.976
13,2017-12-01 00,71.148
14,2017-12-01 00,40.18
15,2017-12-01 00,20.971999999999998
16,2017-12-01 00,11.172
17,2017-12-01 00,398.07599999999996
18,2017-12-01 00,624.26
19,2017-12-01 00,390.824
20,2017-12-01 00,40.768
21,2017-12-01 00,412.384
22,2017-12-01 00,5.145
23,2017-12-01 00,521.948
24,2017-12-01 00,14.308
25,2017-12-01 00,497.644
26,2017-12-01 00,52.724
27,2017-12-01 00,22.932
28,2017-12-01 00,331.436
29,2017-12-01 00,38.416000000000004
30,2017-12-01 00,481.57199999999995
31,2017-12-01 00,213.248
32,2017-12-01 00,60.368
33,2017-12-01 00,19.991999999999997
1,2017-12-01 01,412.188
2,2017-12-01 01,848.092
3,2017-12-01 01,45.276
4,2017-12-01 01,170.52
5,2017-12-01 01,148.372
6,2017-12-01 01,186.00400000000002
7,2017-12-01 01,117.6
8,2017-12-01 01,23.52
9,2017-12-01 01,305.95599999999996
10,2017-12-01 01,9.604000000000001
11,2017-12-01 01,234.612
12,2017-12-01 01,39.788000000000004
13,2017-12-01 01,28.616
14,2017-12-01 01,44.688
15,2017-12-01 01,12.74
16,2017-12-01 01,6.664
17,2017-12-01 01,161.112
18,2017-12-01 01,360.64
19,2017-12-01 01,237.748
20,2017-12-01 01,23.128
21,2017-12-01 01,478.485
22,2017-12-01 01,3.92
23,2017-12-01 01,391.608
24,2017-12-01 01,10003.528
25,2017-12-01 01,518.175
26,2017-12-01 01,29.4
27,2017-12-01 01,24.304
28,2017-12-01 01,169.54
29,2017-12-01 01,10.584
30,2017-12-01 01,428.064
31,2017-12-01 01,109.75999999999999
32,2017-12-01 01,10.975999999999999
33,2017-12-01 01,21.756
