loc_id,time_stamp,num_of_people
1,2017-12-01 00,603200.0
2,2017-12-01 00,781600.0
3,2017-12-01 00,172800.0
4,2017-12-01 00,220400.0
5,2017-12-01 00,275400.0
6,2017-12-01 00,398000.0
7,2017-12-01 00,198000.0
8,2017-12-01 00,88600.0
9,2017-12-01 00,434600.0
10,2017-12-01 00,30200.0
11,2017-12-01 00,405600.0
12,2017-12-01 00,111200.0
13,2017-12-01 00,72600.0
14,2017-12-01 00,41000.0
15,2017-12-01 00,21400.0
16,2017-12-01 00,11400.0
17,2017-12-01 00,406200.0
18,2017-12-01 00,637000.0
19,2017-12-01 00,398800.0
20,2017-12-01 00,41600.0
21,2017-12-01 00,420800.0
22,2017-12-01 00,5250.0
23,2017-12-01 00,532600.0
24,2017-12-01 00,14600.0
25,2017-12-01 00,507800.0
26,2017-12-01 00,53800.0
27,2017-12-01 00,23400.0
28,2017-12-01 00,338200.0
29,2017-12-01 00,39200.0
30,2017-12-01 00,491400.0
31,2017-12-01 00,217600.0
32,2017-12-01 00,61600.0
33,2017-12-01 00,20400.0
1,2017-12-01 01,420600.0
2,2017-12-01 01,865400.0
3,2017-12-01 01,46200.0
4,2017-12-01 01,174000.0
5,2017-12-01 01,151400.0
6,2017-12-01 01,189800.0
7,2017-12-01 01,120000.0
8,2017-12-01 01,24000.0
9,2017-12-01 01,312200.0
10,2017-12-01 01,9800.0
11,2017-12-01 01,239400.0
12,2017-12-01 01,40600.0
13,2017-12-01 01,29200.0
14,2017-12-01 01,45600.0
15,2017-12-01 01,13000.0
16,2017-12-01 01,6800.0
17,2017-12-01 01,164400.0
18,2017-12-01 01,368000.0
19,2017-12-01 01,242600.0
20,2017-12-01 01,23600.0
21,2017-12-01 01,488250.0
22,2017-12-01 01,4000.0
23,2017-12-01 01,399600.0
24,2017-12-01 01,3600.0
25,2017-12-01 01,528750.0
26,2017-12-01 01,30000.0
27,2017-12-01 01,24800.0
28,2017-12-01 01,173000.0
29,2017-12-01 01,10800.0
30,2017-12-01 01,436800.0
31,2017-12-01 01,112000.0
32,2017-12-01 01,11200.0
33,2017-12-01 01,22200.0
1,2017-12-01 02,268400.0
2,2017-12-01 02,904000.0
3,2017-12-01 02,34200.0
4,2017-12-01 02,134000.0
5,2017-12-01 02,119800.0
6,2017-12-01 02,187800.0
7,2017-12-01 02,77000.0
8,2017-12-01 02,14800.0
9,2017-12-01 02,229800.0
10,2017-12-01 02,5800.0
11,2017-12-01 02,229600.0
12,2017-12-01 02,16200.0
13,2017-12-01 02,18200.0
14,2017-12-01 02,33200.0
15,2017-12-01 02,11200.0
16,2017-12-01 02,6800.0
17,2017-12-01 02,114600.0
18,2017-12-01 02,221400.0
19,2017-12-01 02,183400.0
20,2017-12-01 02,32400.0
21,2017-12-01 02,297750.0
22,2017-12-01 02,3000.0
23,2017-12-01 02,392000.0
24,2017-12-01 02,3000.0
25,2017-12-01 02,446000.0
26,2017-12-01 02,11200.0
27,2017-12-01 02,18600.0
28,2017-12-01 02,107000.0
29,2017-12-01 02,5400.0
30,2017-12-01 02,381000.0
31,2017-12-01 02,81800.0
32,2017-12-01 02,7400.0
33,2017-12-01 02,16000.0
1,2017-12-01 03,322600.0
2,2017-12-01 03,932600.0
3,2017-12-01 03,29000.0
4,2017-12-01 03,79000.0
5,2017-12-01 03,186200.0
6,2017-12-01 03,163800.0
7,2017-12-01 03,72400.0
8,2017-12-01 03,23800.0
9,2017-12-01 03,180400.0
10,2017-12-01 03,4000.0
11,2017-12-01 03,194200.0
12,2017-12-01 03,24800.0
13,2017-12-01 03,15800.0
14,2017-12-01 03,30200.0
15,2017-12-01 03,11200.0
16,2017-12-01 03,7800.0
17,2017-12-01 03,174200.0
18,2017-12-01 03,269800.0
19,2017-12-01 03,148000.0
20,2017-12-01 03,20800.0
21,2017-12-01 03,297400.0
22,2017-12-01 03,3750.0
23,2017-12-01 03,368000.0
24,2017-12-01 03,4666.666666666667
25,2017-12-01 03,314200.0
26,2017-12-01 03,14800.0
27,2017-12-01 03,24000.0
28,2017-12-01 03,142200.0
29,2017-12-01 03,4800.0
30,2017-12-01 03,437000.0
31,2017-12-01 03,58000.0
32,2017-12-01 03,7600.0
33,2017-12-01 03,24600.0
1,2017-12-01 04,283800.0
2,2017-12-01 04,993000.0
3,2017-12-01 04,34400.0
4,2017-12-01 04,111600.0
5,2017-12-01 04,168600.0
6,2017-12-01 04,160400.0
7,2017-12-01 04,55800.0
8,2017-12-01 04,25800.0
9,2017-12-01 04,149800.0
10,2017-12-01 04,14800.0
11,2017-12-01 04,204400.0
12,2017-12-01 04,29000.0
13,2017-12-01 04,18400.0
14,2017-12-01 04,32800.0
15,2017-12-01 04,12000.0
16,2017-12-01 04,8200.0
17,2017-12-01 04,130199.99999999999
18,2017-12-01 04,215800.0
19,2017-12-01 04,150000.0
20,2017-12-01 04,28600.0
21,2017-12-01 04,339600.0
22,2017-12-01 04,3000.0
23,2017-12-01 04,375800.0
24,2017-12-01 04,3800.0
25,2017-12-01 04,395000.0
26,2017-12-01 04,24800.0
27,2017-12-01 04,30000.0
28,2017-12-01 04,95800.0
29,2017-12-01 04,20200.0
30,2017-12-01 04,432800.0
31,2017-12-01 04,62200.0
32,2017-12-01 04,6400.0
33,2017-12-01 04,26800.0
1,2017-12-01 05,290000.0
2,2017-12-01 05,1019600.0
3,2017-12-01 05,50200.0
4,2017-12-01 05,91200.0
5,2017-12-01 05,148200.0
6,2017-12-01 05,189400.0
7,2017-12-01 05,67200.0
8,2017-12-01 05,110800.0
9,2017-12-01 05,129800.00000000001
10,2017-12-01 05,37400.0
11,2017-12-01 05,211000.0
12,2017-12-01 05,92600.0
13,2017-12-01 05,30000.0
14,2017-12-01 05,29800.0
15,2017-12-01 05,18800.0
16,2017-12-01 05,10000.0
17,2017-12-01 05,164000.0
18,2017-12-01 05,269200.0
19,2017-12-01 05,181200.0
20,2017-12-01 05,30200.0
21,2017-12-01 05,328400.0
22,2017-12-01 05,4500.0
23,2017-12-01 05,449000.0
24,2017-12-01 05,12600.0
25,2017-12-01 05,343800.0
26,2017-12-01 05,24400.0
27,2017-12-01 05,21000.0
28,2017-12-01 05,145800.0
29,2017-12-01 05,57800.0
30,2017-12-01 05,497400.0
31,2017-12-01 05,81600.0
32,2017-12-01 05,12000.0
33,2017-12-01 05,22800.0
1,2017-12-01 06,286200.0
2,2017-12-01 06,709200.0
3,2017-12-01 06,107000.0
4,2017-12-01 06,210400.0
5,2017-12-01 06,181800.0
6,2017-12-01 06,220800.0
7,2017-12-01 06,80600.0
8,2017-12-01 06,382400.0
9,2017-12-01 06,106600.0
10,2017-12-01 06,130400.0
11,2017-12-01 06,319200.0
12,2017-12-01 06,398400.0
13,2017-12-01 06,58200.0
14,2017-12-01 06,65200.0
15,2017-12-01 06,61800.0
16,2017-12-01 06,57000.0
17,2017-12-01 06,232200.0
18,2017-12-01 06,336000.0
19,2017-12-01 06,240000.0
20,2017-12-01 06,54800.0
21,2017-12-01 06,263000.0
22,2017-12-01 06,11600.0
23,2017-12-01 06,507400.0
24,2017-12-01 06,115600.0
25,2017-12-01 06,302600.0
26,2017-12-01 06,75200.0
27,2017-12-01 06,72200.0
28,2017-12-01 06,192000.0
29,2017-12-01 06,172400.0
30,2017-12-01 06,466000.0
31,2017-12-01 06,159800.0
32,2017-12-01 06,48400.0
33,2017-12-01 06,77200.0
1,2017-12-01 07,533000.0
2,2017-12-01 07,757200.0
3,2017-12-01 07,744250.0
4,2017-12-01 07,280600.0
5,2017-12-01 07,445200.0
6,2017-12-01 07,633000.0
7,2017-12-01 07,278800.0
8,2017-12-01 07,2267600.0
9,2017-12-01 07,242000.0
10,2017-12-01 07,1042800.0
11,2017-12-01 07,682000.0
12,2017-12-01 07,2496600.0
13,2017-12-01 07,245200.0
14,2017-12-01 07,266600.0
15,2017-12-01 07,349600.0
16,2017-12-01 07,370600.0
17,2017-12-01 07,587400.0
18,2017-12-01 07,425200.0
19,2017-12-01 07,770800.0
20,2017-12-01 07,244000.0
21,2017-12-01 07,318400.0
22,2017-12-01 07,281200.0
23,2017-12-01 07,544600.0
24,2017-12-01 07,497000.0
25,2017-12-01 07,458800.0
26,2017-12-01 07,299800.0
27,2017-12-01 07,299800.0
28,2017-12-01 07,444400.0
29,2017-12-01 07,1398600.0
30,2017-12-01 07,628000.0
31,2017-12-01 07,915200.0
32,2017-12-01 07,260200.0
33,2017-12-01 07,287800.0
1,2017-12-01 08,748333.3333333335
2,2017-12-01 08,482333.33333333326
3,2017-12-01 08,1163400.0
4,2017-12-01 08,585500.0
5,2017-12-01 08,584666.6666666666
6,2017-12-01 08,719666.6666666665
7,2017-12-01 08,317833.3333333333
8,2017-12-01 08,3440833.333333333
9,2017-12-01 08,259833.3333333333
10,2017-12-01 08,1766333.333333333
11,2017-12-01 08,438500.0
12,2017-12-01 08,3940000.0
13,2017-12-01 08,493166.66666666674
14,2017-12-01 08,440666.66666666674
15,2017-12-01 08,429500.0
16,2017-12-01 08,550833.3333333334
17,2017-12-01 08,883000.0
18,2017-12-01 08,510333.33333333326
19,2017-12-01 08,466666.66666666674
20,2017-12-01 08,1222500.0
21,2017-12-01 08,734166.6666666665
22,2017-12-01 08,234500.0
23,2017-12-01 08,280833.3333333333
