time_stamp,loc_id,phone_num,date,hour,week
2017-10-10 00:00:00,1,696,2017-10-10,0,1
2017-10-10 01:00:00,1,364,2017-10-10,1,1
2017-10-10 02:00:00,1,350,2017-10-10,2,1
2017-10-10 03:00:00,1,323,2017-10-10,3,1
2017-10-10 04:00:00,1,326,2017-10-10,4,1
2017-10-10 05:00:00,1,303,2017-10-10,5,1
2017-10-10 06:00:00,1,409,2017-10-10,6,1
2017-10-10 07:00:00,1,580,2017-10-10,7,1
2017-10-10 08:00:00,1,555,2017-10-10,8,1
2017-10-10 09:00:00,1,771,2017-10-10,9,1
2017-10-10 10:00:00,1,408,2017-10-10,10,1
2017-10-10 11:00:00,1,756,2017-10-10,11,1
2017-10-10 12:00:00,1,1307,2017-10-10,12,1
2017-10-10 13:00:00,1,769,2017-10-10,13,1
2017-10-10 14:00:00,1,316,2017-10-10,14,1
2017-10-10 15:00:00,1,477,2017-10-10,15,1
2017-10-10 16:00:00,1,350,2017-10-10,16,1
2017-10-10 17:00:00,1,653,2017-10-10,17,1
2017-10-10 18:00:00,1,817,2017-10-10,18,1
2017-10-10 19:00:00,1,634,2017-10-10,19,1
2017-10-10 20:00:00,1,539,2017-10-10,20,1
2017-10-10 21:00:00,1,483,2017-10-10,21,1
2017-10-10 22:00:00,1,328,2017-10-10,22,1
2017-10-10 23:00:00,1,301,2017-10-10,23,1
2017-10-11 00:00:00,1,655,2017-10-11,0,2
2017-10-11 01:00:00,1,197,2017-10-11,1,2
2017-10-11 02:00:00,1,218,2017-10-11,2,2
2017-10-11 03:00:00,1,203,2017-10-11,3,2
2017-10-11 04:00:00,1,268,2017-10-11,4,2
2017-10-11 05:00:00,1,264,2017-10-11,5,2
2017-10-11 06:00:00,1,326,2017-10-11,6,2
2017-10-11 07:00:00,1,617,2017-10-11,7,2
2017-10-11 08:00:00,1,578,2017-10-11,8,2
2017-10-11 09:00:00,1,709,2017-10-11,9,2
2017-10-11 10:00:00,1,529,2017-10-11,10,2
2017-10-11 11:00:00,1,846,2017-10-11,11,2
2017-10-11 12:00:00,1,1166,2017-10-11,12,2
2017-10-11 13:00:00,1,735,2017-10-11,13,2
2017-10-11 14:00:00,1,619,2017-10-11,14,2
2017-10-11 15:00:00,1,509,2017-10-11,15,2
2017-10-11 16:00:00,1,672,2017-10-11,16,2
2017-10-11 17:00:00,1,877,2017-10-11,17,2
2017-10-11 18:00:00,1,802,2017-10-11,18,2
2017-10-11 19:00:00,1,460,2017-10-11,19,2
2017-10-11 20:00:00,1,571,2017-10-11,20,2
2017-10-11 21:00:00,1,479,2017-10-11,21,2
2017-10-11 22:00:00,1,472,2017-10-11,22,2
2017-10-11 23:00:00,1,429,2017-10-11,23,2
2017-10-12 00:00:00,1,844,2017-10-12,0,3
2017-10-12 01:00:00,1,497,2017-10-12,1,3
2017-10-12 02:00:00,1,364,2017-10-12,2,3
2017-10-12 03:00:00,1,293,2017-10-12,3,3
2017-10-12 04:00:00,1,339,2017-10-12,4,3
2017-10-12 05:00:00,1,402,2017-10-12,5,3
2017-10-12 06:00:00,1,438,2017-10-12,6,3
2017-10-12 07:00:00,1,530,2017-10-12,7,3
2017-10-12 08:00:00,1,638,2017-10-12,8,3
2017-10-12 09:00:00,1,766,2017-10-12,9,3
2017-10-12 10:00:00,1,622,2017-10-12,10,3
2017-10-12 11:00:00,1,763,2017-10-12,11,3
2017-10-12 12:00:00,1,1315,2017-10-12,12,3
2017-10-12 13:00:00,1,857,2017-10-12,13,3
2017-10-12 14:00:00,1,728,2017-10-12,14,3
2017-10-12 15:00:00,1,651,2017-10-12,15,3
2017-10-12 16:00:00,1,503,2017-10-12,16,3
2017-10-12 17:00:00,1,869,2017-10-12,17,3
2017-10-12 18:00:00,1,867,2017-10-12,18,3
2017-10-12 19:00:00,1,679,2017-10-12,19,3
2017-10-12 20:00:00,1,685,2017-10-12,20,3
2017-10-12 21:00:00,1,654,2017-10-12,21,3
2017-10-12 22:00:00,1,603,2017-10-12,22,3
2017-10-12 23:00:00,1,451,2017-10-12,23,3
2017-10-13 00:00:00,1,329,2017-10-13,0,4
2017-10-13 01:00:00,1,331,2017-10-13,1,4
2017-10-13 02:00:00,1,278,2017-10-13,2,4
2017-10-13 03:00:00,1,276,2017-10-13,3,4
2017-10-13 04:00:00,1,279,2017-10-13,4,4
2017-10-13 05:00:00,1,260,2017-10-13,5,4
2017-10-13 06:00:00,1,299,2017-10-13,6,4
2017-10-13 07:00:00,1,626,2017-10-13,7,4
2017-10-13 08:00:00,1,954,2017-10-13,8,4
2017-10-13 09:00:00,1,845,2017-10-13,9,4
2017-10-13 10:00:00,1,924,2017-10-13,10,4
2017-10-13 11:00:00,1,973,2017-10-13,11,4
2017-10-13 12:00:00,1,1232,2017-10-13,12,4
2017-10-13 13:00:00,1,1294,2017-10-13,13,4
2017-10-13 14:00:00,1,820,2017-10-13,14,4
2017-10-13 15:00:00,1,1448,2017-10-13,15,4
2017-10-13 16:00:00,1,1016,2017-10-13,16,4
2017-10-13 17:00:00,1,1031,2017-10-13,17,4
2017-10-13 18:00:00,1,943,2017-10-13,18,4
2017-10-13 19:00:00,1,805,2017-10-13,19,4
2017-10-13 20:00:00,1,636,2017-10-13,20,4
2017-10-13 21:00:00,1,673,2017-10-13,21,4
2017-10-13 22:00:00,1,779,2017-10-13,22,4
2017-10-13 23:00:00,1,442,2017-10-13,23,4
2017-10-14 00:00:00,1,434,2017-10-14,0,5
2017-10-14 01:00:00,1,552,2017-10-14,1,5
2017-10-14 02:00:00,1,358,2017-10-14,2,5
2017-10-14 03:00:00,1,353,2017-10-14,3,5
2017-10-14 04:00:00,1,395,2017-10-14,4,5
2017-10-14 05:00:00,1,429,2017-10-14,5,5
2017-10-14 06:00:00,1,354,2017-10-14,6,5
2017-10-14 07:00:00,1,372,2017-10-14,7,5
2017-10-14 08:00:00,1,708,2017-10-14,8,5
2017-10-14 09:00:00,1,864,2017-10-14,9,5
2017-10-14 10:00:00,1,628,2017-10-14,10,5
2017-10-14 11:00:00,1,836,2017-10-14,11,5
2017-10-14 12:00:00,1,1186,2017-10-14,12,5
2017-10-14 13:00:00,1,912,2017-10-14,13,5
2017-10-14 14:00:00,1,647,2017-10-14,14,5
2017-10-14 15:00:00,1,694,2017-10-14,15,5
2017-10-14 16:00:00,1,627,2017-10-14,16,5
2017-10-14 17:00:00,1,711,2017-10-14,17,5
2017-10-14 18:00:00,1,1052,2017-10-14,18,5
2017-10-14 19:00:00,1,466,2017-10-14,19,5
2017-10-14 20:00:00,1,399,2017-10-14,20,5
2017-10-14 21:00:00,1,415,2017-10-14,21,5
2017-10-14 22:00:00,1,376,2017-10-14,22,5
2017-10-14 23:00:00,1,141,2017-10-14,23,5
2017-10-15 00:00:00,1,206,2017-10-15,0,6
2017-10-15 01:00:00,1,429,2017-10-15,1,6
2017-10-15 02:00:00,1,382,2017-10-15,2,6
2017-10-15 03:00:00,1,346,2017-10-15,3,6
2017-10-15 04:00:00,1,245,2017-10-15,4,6
2017-10-15 05:00:00,1,276,2017-10-15,5,6
2017-10-15 06:00:00,1,216,2017-10-15,6,6
2017-10-15 07:00:00,1,267,2017-10-15,7,6
2017-10-15 08:00:00,1,470,2017-10-15,8,6
2017-10-15 09:00:00,1,453,2017-10-15,9,6
2017-10-15 10:00:00,1,446,2017-10-15,10,6
2017-10-15 11:00:00,1,603,2017-10-15,11,6
2017-10-15 12:00:00,1,980,2017-10-15,12,6
2017-10-15 13:00:00,1,608,2017-10-15,13,6
2017-10-15 14:00:00,1,477,2017-10-15,14,6
2017-10-15 15:00:00,1,436,2017-10-15,15,6
2017-10-15 16:00:00,1,447,2017-10-15,16,6
2017-10-15 17:00:00,1,664,2017-10-15,17,6
2017-10-15 18:00:00,1,937,2017-10-15,18,6
2017-10-15 19:00:00,1,876,2017-10-15,19,6
2017-10-15 20:00:00,1,859,2017-10-15,20,6
2017-10-15 21:00:00,1,507,2017-10-15,21,6
2017-10-15 22:00:00,1,506,2017-10-15,22,6
2017-10-15 23:00:00,1,325,2017-10-15,23,6
2017-10-16 00:00:00,1,712,2017-10-16,0,0
2017-10-16 01:00:00,1,473,2017-10-16,1,0
2017-10-16 02:00:00,1,525,2017-10-16,2,0
2017-10-16 03:00:00,1,417,2017-10-16,3,0
2017-10-16 04:00:00,1,294,2017-10-16,4,0
2017-10-16 05:00:00,1,303,2017-10-16,5,0
2017-10-16 06:00:00,1,329,2017-10-16,6,0
2017-10-16 07:00:00,1,522,2017-10-16,7,0
2017-10-16 08:00:00,1,673,2017-10-16,8,0
2017-10-16 09:00:00,1,744,2017-10-16,9,0
2017-10-16 10:00:00,1,477,2017-10-16,10,0
2017-10-16 11:00:00,1,876,2017-10-16,11,0
2017-10-16 12:00:00,1,1134,2017-10-16,12,0
2017-10-16 13:00:00,1,943,2017-10-16,13,0
2017-10-16 14:00:00,1,409,2017-10-16,14,0
2017-10-16 15:00:00,1,632,2017-10-16,15,0
2017-10-16 16:00:00,1,468,2017-10-16,16,0
2017-10-16 17:00:00,1,1077,2017-10-16,17,0
2017-10-16 18:00:00,1,796,2017-10-16,18,0
2017-10-16 19:00:00,1,673,2017-10-16,19,0
2017-10-16 20:00:00,1,505,2017-10-16,20,0
2017-10-16 21:00:00,1,465,2017-10-16,21,0
2017-10-16 22:00:00,1,474,2017-10-16,22,0
2017-10-16 23:00:00,1,311,2017-10-16,23,0
2017-10-17 00:00:00,1,508,2017-10-17,0,1
2017-10-17 01:00:00,1,271,2017-10-17,1,1
2017-10-17 02:00:00,1,255,2017-10-17,2,1
2017-10-17 03:00:00,1,311,2017-10-17,3,1
2017-10-17 04:00:00,1,259,2017-10-17,4,1
2017-10-17 05:00:00,1,367,2017-10-17,5,1
2017-10-17 06:00:00,1,270,2017-10-17,6,1
2017-10-17 07:00:00,1,588,2017-10-17,7,1
2017-10-17 08:00:00,1,636,2017-10-17,8,1
2017-10-17 09:00:00,1,613,2017-10-17,9,1
2017-10-17 10:00:00,1,432,2017-10-17,10,1
2017-10-17 11:00:00,1,693,2017-10-17,11,1
2017-10-17 12:00:00,1,1220,2017-10-17,12,1
2017-10-17 13:00:00,1,778,2017-10-17,13,1
2017-10-17 14:00:00,1,403,2017-10-17,14,1
2017-10-17 15:00:00,1,552,2017-10-17,15,1
2017-10-17 16:00:00,1,415,2017-10-17,16,1
2017-10-17 17:00:00,1,899,2017-10-17,17,1
2017-10-17 18:00:00,1,640,2017-10-17,18,1
2017-10-17 19:00:00,1,539,2017-10-17,19,1
2017-10-17 20:00:00,1,721,2017-10-17,20,1
2017-10-17 21:00:00,1,531,2017-10-17,21,1
2017-10-17 22:00:00,1,522,2017-10-17,22,1
2017-10-17 23:00:00,1,359,2017-10-17,23,1
2017-10-18 00:00:00,1,560,2017-10-18,0,2
2017-10-18 01:00:00,1,306,2017-10-18,1,2
2017-10-18 02:00:00,1,253,2017-10-18,2,2
2017-10-18 03:00:00,1,197,2017-10-18,3,2
2017-10-18 04:00:00,1,179,2017-10-18,4,2
2017-10-18 05:00:00,1,185,2017-10-18,5,2
2017-10-18 06:00:00,1,221,2017-10-18,6,2
2017-10-18 07:00:00,1,614,2017-10-18,7,2
2017-10-18 08:00:00,1,616,2017-10-18,8,2
2017-10-18 09:00:00,1,622,2017-10-18,9,2
2017-10-18 10:00:00,1,533,2017-10-18,10,2
2017-10-18 11:00:00,1,900,2017-10-18,11,2
2017-10-18 12:00:00,1,1199,2017-10-18,12,2
2017-10-18 13:00:00,1,751,2017-10-18,13,2
2017-10-18 14:00:00,1,519,2017-10-18,14,2
2017-10-18 15:00:00,1,440,2017-10-18,15,2
2017-10-18 16:00:00,1,567,2017-10-18,16,2
2017-10-18 17:00:00,1,877,2017-10-18,17,2
2017-10-18 18:00:00,1,603,2017-10-18,18,2
2017-10-18 19:00:00,1,520,2017-10-18,19,2
2017-10-18 20:00:00,1,490,2017-10-18,20,2
2017-10-18 21:00:00,1,496,2017-10-18,21,2
2017-10-18 22:00:00,1,595,2017-10-18,22,2
2017-10-18 23:00:00,1,299,2017-10-18,23,2
2017-10-19 00:00:00,1,475,2017-10-19,0,3
2017-10-19 01:00:00,1,272,2017-10-19,1,3
2017-10-19 02:00:00,1,223,2017-10-19,2,3
2017-10-19 03:00:00,1,165,2017-10-19,3,3
2017-10-19 04:00:00,1,204,2017-10-19,4,3
2017-10-19 05:00:00,1,237,2017-10-19,5,3
2017-10-19 06:00:00,1,257,2017-10-19,6,3
2017-10-19 07:00:00,1,575,2017-10-19,7,3
2017-10-19 08:00:00,1,653,2017-10-19,8,3
2017-10-19 09:00:00,1,623,2017-10-19,9,3
2017-10-19 10:00:00,1,591,2017-10-19,10,3
2017-10-19 11:00:00,1,956,2017-10-19,11,3
2017-10-19 12:00:00,1,1347,2017-10-19,12,3
2017-10-19 13:00:00,1,1072,2017-10-19,13,3
2017-10-19 14:00:00,1,473,2017-10-19,14,3
2017-10-19 15:00:00,1,525,2017-10-19,15,3
2017-10-19 16:00:00,1,487,2017-10-19,16,3
2017-10-19 17:00:00,1,798,2017-10-19,17,3
2017-10-19 18:00:00,1,913,2017-10-19,18,3
2017-10-19 19:00:00,1,600,2017-10-19,19,3
2017-10-19 20:00:00,1,494,2017-10-19,20,3
2017-10-19 21:00:00,1,460,2017-10-19,21,3
